Ranked Venues - Harbor Freight Tools / Florida - Total - Oct 01, 2020 - Sep 30,2021,,,,,,
Rank,Name,Total Visits,lat,lng,Chain,Plotted,Percentile,State Rank
43,"Aldi / 538 Winfield-Dunn Parkway, Sevierville, TN, United States",123710,35.87664721,-83.57311051,Aldi,50,14%,43/50
44,"Aldi / 1701 Mallory Ln, Brentwood, TN, United States",111783,35.96600337,-86.81492761,Aldi,50,12%,44/50
45,"Aldi / 2020 Gunbarrel Rd, Ste 154, Chattanooga, TN, United States",111000,35.03330199,-85.15127354,Aldi,50,10%,45/50
46,"Aldi / 725 US Hwy 321 N, Lenoir City, TN, United States",110231,35.81132905,-84.26264718,Aldi,50,8%,46/50
47,"Aldi / 209 S Royal Oaks Blvd, Franklin, TN, United States",100641,35.9119882,-86.83186755,Aldi,50,6%,47/50
48,"Aldi / 4917 Main St, Spring Hill, TN, United States",87978,35.77640868,-86.91756284,Aldi,50,4%,48/50
49,"Aldi / 5416 Millertown Pike, Knoxville, TN, United States",75673,36.0346995,-83.8691897,Aldi,50,2%,49/50
50,"Aldi / 571 Village Green Dr, Gallatin, TN, United States",58457,36.37820842,-86.47454437,Aldi,50,0%,50/50
1,"Food City / 3064 Teaster Lane, Pigeon Forge, TN, United States",1043456,35.79435553,-83.55747936,Food City,78,98%,Jan-78
2,"Food City / 1205 N Eastman Rd, Kingsport, TN, United States",862608,36.53011279,-82.5282532,Food City,78,97%,Feb-78
3,"Food City / 123 W Highway 25 70, Dandridge, TN, United States",833614,36.01673984,-83.42583433,Food City,78,96%,Mar-78
4,"Food City / 920 N State of Franklin Rd, Johnson City, TN, United States",824889,36.32371615,-82.39347546,Food City,78,94%,Apr-78
5,"Food City / 741 Dolly Parton Pkwy, Sevierville, TN, United States",743464,35.8634271,-83.54972959,Food City,78,93%,May-78
6,"Food City / 300 Clinchfield St, Kingsport, TN, United States",730040,36.55205239,-82.56630435,Food City,78,92%,Jun-78
7,"Food City / 920 Broad St, Elizabethton, TN, United States",728760,36.35127511,-82.20918975,Food City,78,91%,Jul-78
8,"Food City / 2946 Winfield Dunn Parkway, Kodak, TN, United States",683141,35.96383495,-83.59202146,Food City,78,89%,Aug-78
9,"Food City / 7510  Asheville Hwy, Knoxville, TN, United States",666403,36.01949153,-83.77822517,Food City,78,88%,Sep-78
10,"Food City / 8634 TN-58, Harrison, TN, United States",656638,35.16973171,-85.07545131,Food City,78,87%,Oct-78
11,"Food City / 255 Ocoee Crossing NW, Cleveland, TN, United States",643829,35.19338107,-84.85553154,Food City,78,85%,Nov-78
12,"Food City / 5970  Highway 11  E, Piney Flats, TN, United States",636458,36.42617255,-82.31945261,Food City,78,84%,Dec-78
13,"Food City / 11503 Chapman Highway, Seymour, TN, United States",627174,35.86878809,-83.7561587,Food City,78,83%,13/78
14,"Food City / 1410 N Broad St, Tazewell, TN, United States",619825,36.44850804,-83.57731775,Food City,78,82%,14/78
15,"Food City / 1287 E Main St, Rogersville, TN, United States",603749,36.41558372,-82.99040308,Food City,78,80%,15/78
16,"Food City / 1507 Odell Ave, Jefferson City, TN, United States",598749,36.11720901,-83.48724367,Food City,78,79%,16/78
17,"Food City / 1715 West Broadway Avenue, Maryville, TN, United States",597254,35.73634642,-83.99378014,Food City,78,78%,17/78
18,"Food City / 2712 Loves Creek Rd, Knoxville, TN, United States",587508,36.03647875,-83.86911193,Food City,78,76%,18/78
19,"Food City / 420 Market Street, Dayton, TN, United States",585286,35.48214356,-85.02393685,Food City,78,75%,19/78
20,"Food City / 301 Jaybird Rd, Morristown, TN, United States",565956,36.23626333,-83.24342134,Food City,78,74%,20/78
