PROPERTY_ID,MARKETID,MARKET_NAME,SUBMARKET_CODE,SUBMARKET_NAME,COUNTY_NAME,PROPERTY_NAME,PROPERTY_PRIORNAMES,PROPERTY_ADDRESS,PROPERTY_CITY,PROPERTY_STATE,PROPERTY_ZIPCODE,PROPERTY_LATITUDE,PROPERTY_LONGITUDE,PROPERTY_PHONE,PROPERTY_UNITS,PROPERTY_SQFT,PROPERTY_ACRES,PROPERTY_IMPRATING,PROPERTY_LOCRATING,PROPERTY_STATUS,PROPERTY_DATE_PLANNED,PROPERTY_DATE_UNDERCONSTRUCTION,PROPERTY_DATE_RENTUP,PROPERTY_DATECOMPLETED,PROPERTY_MIXEDUSE,PROPERTY_MIXEDUSE_NOTES,PROPERTY_STUDENTHOUSING,PROPERTY_AFFORDABLEHOUSING,PROPERTY_MILITARYHOUSING,PROPERTY_AGERESTRICTED,PROPERTY_FRACTUREDCONDO,PROPERTY_ADAPTIVEREUSE,PROPERTY_SINGLEFAMILYRENTAL,PROPERTY_CURRENT_OCCUPANCY,PROPERTY_CURRENT_RENT,PROPERTY_MATRIX_URL
15_1188936,15,Miami,11,Miami - Liberty City,Miami-Dade,Lincoln Gardens Phase II,,4771 NW 24th Court,Miami,FL,33142,25.817595,-80.237374,,77,0,,,C-,Prospective,,,,,,,,A,,A,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=15&PropertyID=1188936
15_1202301,15,Miami,20,Opa-locka,Miami-Dade,Providence,"Pinks, The",13300 Alexandria Drive,Opa-locka,FL,33054,25.894868,-80.255493,7863558175,72,50900,1.84,C,C,Completed,,,,1/1/72 0:00,FALSE,,N,N,N,N,,,,90.3,1482,matrix.pi-ei.com/PropertyDetail/All?MarketID=15&PropertyID=1202301
15_1203,15,Miami,22,North Miami,Miami-Dade,Prestige Place,"Royal Place, Royal Properties, Royal Place",14050 NE 6th Avenue,North Miami,FL,33161,25.9046575,-80.1876373,3052227954,56,47794,1.19,C+,C-,Completed,,,,1/1/67 0:00,FALSE,,N,N,N,N,,,,92.9,1355,matrix.pi-ei.com/PropertyDetail/All?MarketID=15&PropertyID=1203
15_1210,15,Miami,31,Homestead,Miami-Dade,Venice at Crystal Lakes Condos,,3520 NE 5th Street,Homestead,FL,33035,25.475265,-80.424437,3058939955,70,69777,5.65,A,B-,Completed,,,,1/1/07 0:00,FALSE,,N,N,N,N,P,,,100,1685,matrix.pi-ei.com/PropertyDetail/All?MarketID=15&PropertyID=1210
15_1211,15,Miami,4,Miami - Little Havana,Miami-Dade,Villa Aurora,,1398 SW 1st Street,Miami,FL,33135,25.7721686,-80.2175785,3053718300,76,62500,0.64,B,C+,Completed,,,,1/1/09 0:00,FALSE,,N,A,N,N,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=15&PropertyID=1211
15_1218,15,Miami,23,North Miami Beach,Miami-Dade,Waterview,,1720 South Glades Drive,North Miami Beach,FL,33162,25.927809,-80.165436,3059447388,68,49980,1.77,C,C,Completed,,,,1/1/61 0:00,FALSE,,N,N,N,N,,,,100,1471,matrix.pi-ei.com/PropertyDetail/All?MarketID=15&PropertyID=1218
15_1220,15,Miami,4,Miami - Little Havana,Miami-Dade,Rivermont House,,789 NW 13th Avenue,Miami,FL,33125,25.78153,-80.2159663,3055471982,76,49400,1.26,C,C+,Completed,,,,1/1/59 0:00,FALSE,,N,A,N,N,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=15&PropertyID=1220
15_1272395,15,Miami,28,Kendall,Miami-Dade,9400 Richmond Drive,,9400 Richmond Drive,Palmetto Bay,FL,33157,25.61364512,-80.34546125,,50,0,1.08,,C,Prospective,,,,,,,N,,N,,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=15&PropertyID=1272395
15_1285623,15,Miami,18,Hialeah,Miami-Dade,Russ Allen Redevelopment,,1550 West 44th Place,Hialeah,FL,33012,25.861543,-80.313273,,74,0,,,C+,Prospective,,,,,,,N,A,N,,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=15&PropertyID=1285623
15_1309,15,Miami,18,Hialeah,Miami-Dade,Sunside,,315 West 20th Street,Hialeah,FL,33010,25.839976,-80.288338,3055586280,78,45840,1.18,C,C,Completed,,,,1/1/68 0:00,FALSE,,N,N,N,N,,,,100,1281,matrix.pi-ei.com/PropertyDetail/All?MarketID=15&PropertyID=1309
15_1315016,15,Miami,20,Opa-locka,Miami-Dade,11700 E Golf Drive Townhomes,,11700 East Golf Drive,Miami,FL,33167,25.88007755,-80.2360261,,75,0,,,C,Prospective,,,,,,,,,,,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=15&PropertyID=1315016
