Rank,Name,State,Lat,Long,Total_Visits,client_coords,num_nearby_Burlington,num_nearby_Kohl's,num_nearby_Lowe's,num_nearby_Ross_Dress_for_Less,num_nearby_The_Home_Depot,num_nearby_Walmart,num_nearby_HomeGoods,num_nearby_T.J._Maxx,num_nearby_Marshalls,tot_visits_nearby_Burlington,tot_visits_nearby_Kohl's,tot_visits_nearby_Lowe's,tot_visits_nearby_Ross_Dress_for_Less,tot_visits_nearby_The_Home_Depot,tot_visits_nearby_Walmart,tot_visits_nearby_HomeGoods,tot_visits_nearby_T.J._Maxx,tot_visits_nearby_Marshalls
32,T.J. Maxx,FL,27.9343907,-82.5041293,433619,"27.9343907,-82.5041293",4,0,3,3,4,6,0,1,2,1058415,,2119331,1085375,3516343,9947021,,335513,884125
33,T.J. Maxx,FL,28.98319412,-81.2970863,433588,"28.98319412,-81.2970863",0,1,3,2,1,2,0,0,0,,437769,2037373,843913,815805,4074925,,,
34,T.J. Maxx,FL,26.05054556,-80.1584286,432420,"26.05054556,-80.1584286",9,2,3,15,9,10,2,5,6,3166333,760931,1894589,4550097,9886969,19410159,793028,1797490,1799321
35,T.J. Maxx,FL,28.09657182,-82.50415771,426394,"28.09657182,-82.50415771",4,1,5,8,5,10,3,1,2,901239,404724,3676406,2354627,4899489,17087944,995451,335513,820566
36,T.J. Maxx,FL,27.3912488,-82.45129698,425778,"27.3912488,-82.45129698",2,1,3,3,4,5,2,2,2,635888,381637,2224142,928384,3953521,8383436,748322,542232,787620
37,T.J. Maxx,FL,26.4087816,-81.80781382,424396,"26.4087816,-81.80781382",1,0,2,2,2,3,2,0,2,195488,,1398600,396186,2013657,5006633,527225,,798000
38,T.J. Maxx,FL,28.24525552,-82.3519224,422295,"28.24525552,-82.3519224",1,0,2,4,2,4,2,0,2,204168,,1516215,955846,1536300,8017906,598855,,703338
39,T.J. Maxx,FL,27.17634489,-80.23343587,420282,"27.17634489,-80.23343587",0,1,2,1,2,2,1,0,1,,391326,1074543,327486,1542510,4452758,412995,,403317
40,T.J. Maxx,FL,26.67048683,-80.20063747,420064,"26.67048683,-80.20063747",2,1,2,6,5,6,1,2,2,836341,437250,1252510,2287839,5347757,10477567,339550,1274464,1122800
41,T.J. Maxx,FL,26.00591221,-80.29370672,417530,"26.00591221,-80.29370672",8,3,4,17,12,11,4,5,5,3241687,1273048,2695278,6151846,13836862,22766210,1485509,2178544,1851952
42,T.J. Maxx,FL,30.17392564,-81.62531711,414246,"30.17392564,-81.62531711",3,2,3,4,4,9,1,2,2,779063,833361,2025418,1286366,2686163,15539425,463562,518376,553069
43,T.J. Maxx,FL,27.26705026,-80.42612145,412044,"27.26705026,-80.42612145",1,1,2,2,3,3,1,0,0,478284,391326,1114662,467613,2289659,6165629,287583,,
44,T.J. Maxx,FL,27.30044557,-82.51561173,407702,"27.30044557,-82.51561173",2,2,2,2,2,3,2,2,2,425756,615779,1302600,615873,1981882,4763104,748322,560308,787620
45,T.J. Maxx,FL,28.65402248,-81.23824259,407213,"28.65402248,-81.23824259",2,2,4,10,5,4,1,3,4,830281,936137,2593605,2841548,3944013,8236089,349056,1742116,1147828
46,T.J. Maxx,FL,26.09446672,-80.24687382,404350,"26.09446672,-80.24687382",9,3,5,17,11,11,3,5,5,3333142,1273048,3050623,5563781,11114887,21033286,1141573,2047027,1632532
47,T.J. Maxx,FL,28.3437306,-81.61100861,403661,"28.3437306,-81.61100861",2,0,1,4,1,5,1,1,3,607720,,571068,1749013,608231,14470672,329864,276207,955385
48,T.J. Maxx,FL,24.56895824,-81.76467933,398704,"24.56895824,-81.76467933",0,0,0,1,1,0,0,0,0,,,,443499,640588,,,,
49,T.J. Maxx,FL,29.21491333,-81.09462894,394250,"29.21491333,-81.09462894",1,1,2,3,2,3,0,0,2,438345,380662,1671354,868497,1258859,6577650,,,1019061
50,T.J. Maxx,FL,28.14520774,-82.74282158,393258,"28.14520774,-82.74282158",0,2,3,4,2,5,2,2,2,,1026377,1958912,1145167,1853713,9211996,760243,921644,973011
51,T.J. Maxx,FL,26.36939616,-80.18476253,388285,"26.36939616,-80.18476253",2,2,3,8,7,8,4,3,5,845900,908392,2285727,2758116,7314006,14260500,1618352,1239543,1721296
52,T.J. Maxx,FL,30.62725796,-81.54318296,384661,"30.62725796,-81.54318296",0,1,1,1,1,2,1,0,0,,175047,515039,207485,505402,2105647,240966,,
53,T.J. Maxx,FL,27.03686694,-82.21180891,372532,"27.03686694,-82.21180891",1,1,2,2,3,3,1,0,1,267525,359070,995565,501116,2095959,5903960,342255,,376088
54,T.J. Maxx,FL,27.53392359,-82.5001003,361127,"27.53392359,-82.5001003",1,0,2,1,2,6,1,1,1,343628,,1456303,312511,1971639,11049909,207024,134530,305582
55,T.J. Maxx,FL,25.93157044,-80.13307806,358812,"25.93157044,-80.13307806",7,1,1,11,5,7,2,3,5,2534837,348749,670550,3773112,6951102,14464251,641027,982598,1811852
56,T.J. Maxx,FL,25.84220634,-80.36722567,358548,"25.84220634,-80.36722567",6,2,2,10,9,6,1,3,6,3465029,868912,1571774,4628260,11960029,15980804,343936,1538138,2201646
57,T.J. Maxx,FL,25.77152352,-80.3586794,357749,"25.77152352,-80.3586794",6,2,2,12,12,6,1,5,5,3232345,851945,1496295,5299263,15184310,15477546,111883,3011343,2128803
58,T.J. Maxx,FL,28.23810502,-80.72728213,350150,"28.23810502,-80.72728213",0,1,1,2,2,3,1,1,0,,434068,824054,600443,1769985,5593682,522058,436561,
59,T.J. Maxx,FL,28.46601142,-81.45315319,345585,"28.46601142,-81.45315319",6,1,5,17,4,8,3,3,7,1993184,451703,3364852,5833495,3042018,17565339,684794,997100,2673087
60,T.J. Maxx,FL,26.24607539,-80.25473906,344990,"26.24607539,-80.25473906",6,3,6,12,9,10,4,3,8,2710193,1320574,3975641,4260261,8879499,18751631,1511366,1678319,2764583
61,T.J. Maxx,FL,26.62472624,-81.94223871,342542,"26.62472624,-81.94223871",2,2,4,3,4,5,2,2,1,725143,1050241,3031260,1091087,4470097,9493122,785083,701488,393505
62,T.J. Maxx,FL,27.78777098,-82.72691369,339013,"27.78777098,-82.72691369",2,1,3,3,5,5,3,2,3,536999,464864,2113924,789809,4739247,9779342,1083240,976582,595359
63,T.J. Maxx,FL,25.64533932,-80.33584156,337427,"25.64533932,-80.33584156",3,2,1,10,9,5,1,3,4,1212974,851945,653898,4487245,11563650,11170975,111883,2088856,1557773
64,T.J. Maxx,FL,30.19218922,-81.74298135,335570,"30.19218922,-81.74298135",2,2,5,3,5,8,1,2,3,552741,720218,3278126,922476,3571225,14794459,249352,597052,821652
65,T.J. Maxx,FL,27.99824863,-82.56452435,335513,"27.99824863,-82.56452435",4,1,4,7,5,10,1,2,3,1058415,404724,2713974,2126710,4614721,16286589,396596,860013,1301513
66,T.J. Maxx,FL,28.53867377,-81.73534444,335203,"28.53867377,-81.73534444",1,1,2,2,1,2,1,0,1,251441,363451,1581239,780847,786932,3838096,224992,,650072
67,T.J. Maxx,FL,26.93601626,-80.09159423,333353,"26.93601626,-80.09159423",1,1,1,2,2,2,1,1,2,248532,282832,544366,390065,1819379,3568138,395674,309767,854361
68,T.J. Maxx,FL,27.93010714,-82.7891115,333314,"27.93010714,-82.7891115",3,2,4,5,5,5,3,2,4,856848,1092044,2698369,1340560,4581270,10664343,1282676,1073070,1126073
69,T.J. Maxx,FL,26.53119923,-80.08904205,330921,"26.53119923,-80.08904205",1,1,1,6,5,6,1,2,3,315678,534774,693216,1960858,5368334,9255984,455531,1105012,995849
70,T.J. Maxx,FL,29.47775566,-81.2153126,330474,"29.47775566,-81.2153126",0,1,1,1,1,1,0,0,0,,310421,670774,346203,720426,2276361,,,
71,T.J. Maxx,FL,26.00974618,-80.35720031,320118,"26.00974618,-80.35720031",4,2,4,15,9,9,3,2,4,1556598,924299,2695278,5366953,9515441,18592251,1145515,821880,1414205
72,T.J. Maxx,FL,27.6385425,-80.38230785,318362,"27.6385425,-80.38230785",0,0,1,1,1,1,0,0,1,,,833827,305949,1017508,1983272,,,702859
73,T.J. Maxx,FL,28.81919966,-81.67658074,317349,"28.81919966,-81.67658074",0,1,2,1,1,1,0,0,0,,393412,1339641,341085,544541,2341079,,,
74,T.J. Maxx,FL,26.8431894,-80.07067753,309767,"26.8431894,-80.07067753",2,1,2,4,3,3,2,2,2,619808,282832,1027946,1035719,2612070,4919185,735224,804880,854361
75,T.J. Maxx,FL,28.93295269,-81.93829386,308812,"28.93295269,-81.93829386",0,1,2,1,1,3,0,0,1,,449668,1541401,284386,1002219,5601104,,,466065
76,T.J. Maxx,FL,26.44302204,-80.07223489,302075,"26.44302204,-80.07223489",2,1,1,5,5,4,2,2,3,644635,534774,693216,1558211,4980199,6203858,1025265,719206,1060247
77,T.J. Maxx,FL,28.6278281,-81.31945704,299426,"28.6278281,-81.31945704",2,3,6,13,7,7,2,5,5,830281,1474436,3846099,3885485,5745010,13426575,667451,2394864,1506340
78,T.J. Maxx,FL,28.23348648,-82.73085927,296551,"28.23348648,-82.73085927",1,1,2,2,3,5,1,1,1,261161,399197,1361623,694641,2189536,9454835,283091,393258,555623
79,T.J. Maxx,FL,28.51589552,-81.37907899,280372,"28.51589552,-81.37907899",3,2,4,16,7,8,3,2,5,1209728,778752,2432946,4744400,5288927,16840973,684794,645011,1676592
80,T.J. Maxx,FL,28.34613124,-81.482625,276207,"28.34613124,-81.482625",3,1,2,13,4,6,1,3,3,840615,451703,1082197,4369768,2724133,17409438,225273,1189767,1158753
81,T.J. Maxx,FL,28.26414526,-82.18649301,271995,"28.26414526,-82.18649301",0,0,1,1,1,3,0,0,0,,,720024,202714,726035,4750727,,,
82,T.J. Maxx,FL,28.65683065,-81.42086953,264589,"28.65683065,-81.42086953",2,1,4,9,7,4,2,2,5,901128,538299,2203176,2402344,5419181,7510431,667451,973134,1590750
83,T.J. Maxx,FL,28.39139541,-81.24781724,264054,"28.39139541,-81.24781724",0,1,2,3,2,3,1,0,1,,311930,1203358,1221324,1699555,6103124,242747,,339297
84,T.J. Maxx,FL,26.60843087,-81.81345361,239397,"26.60843087,-81.81345361",3,1,3,4,3,5,3,2,2,920631,581000,2378937,1320829,3326129,10636735,1109486,804633,817369
85,T.J. Maxx,FL,30.26072448,-81.6244509,182806,"30.26072448,-81.6244509",3,2,5,4,5,10,2,3,2,821050,833075,3414999,1276108,4087501,18285286,719471,1218149,610343
86,T.J. Maxx,FL,26.09717542,-80.12949882,179403,"26.09717542,-80.12949882",7,2,3,13,8,8,1,2,5,2548567,760931,1755272,3848944,8122605,16401853,339994,836770,1499659
87,T.J. Maxx,FL,27.43332377,-82.57887006,134530,"27.43332377,-82.57887006",1,1,2,2,3,6,2,3,2,343628,381637,1456303,691065,2829717,11049909,640000,1194607,742291
88,T.J. Maxx,FL,25.88796775,-80.16249003,112783,"25.88796775,-80.16249003",6,0,2,10,7,8,1,3,5,2856464,,1571774,3811362,9823263,17656204,301033,1380468,2045880
1,T.J. Maxx,AL,34.82570805,-87.62562727,757204,"34.82570805,-87.62562727",0,1,2,1,1,3,0,0,0,,295230,1784543,295944,537133,6527483,,,
2,T.J. Maxx,AL,31.2460136,-85.424775,710596,"31.2460136,-85.424775",1,1,2,1,1,2,1,0,0,288849,292021,1819663,436236,569065,4386442,368202,,
3,T.J. Maxx,AL,33.39335053,-86.80787109,676723,"33.39335053,-86.80787109",1,2,4,1,4,4,2,1,1,196630,611689,2854329,313067,2912983,7668377,800150,422139,395458
4,T.J. Maxx,AL,32.61772288,-85.40596121,672003,"32.61772288,-85.40596121",0,1,1,1,1,2,0,0,0,,261396,830233,325275,983233,3951912,,,
5,T.J. Maxx,AL,34.01266801,-85.98970988,595703,"34.01266801,-85.98970988",0,0,1,1,0,2,0,0,0,,,1097125,257489,,4379383,,,
6,T.J. Maxx,AL,33.18497378,-87.52800996,585935,"33.18497378,-87.52800996",0,0,2,1,1,2,1,0,0,,,1590794,383410,936829,4689729,393842,,
7,T.J. Maxx,AL,34.27934442,-86.20673902,550241,"34.27934442,-86.20673902",0,0,1,1,0,2,0,0,0,,,926720,280078,,4336595,,,
8,T.J. Maxx,AL,32.45711144,-86.3968484,548695,"32.45711144,-86.3968484",0,1,1,2,1,3,0,0,0,,273578,791576,579200,643596,6459207,,,
9,T.J. Maxx,AL,33.60483555,-86.63828671,531727,"33.60483555,-86.63828671",1,1,3,3,2,4,1,0,1,152953,271885,2198553,900513,1478677,7734283,266300,,330430
10,T.J. Maxx,AL,33.60837815,-85.78320548,531480,"33.60837815,-85.78320548",0,1,2,1,1,2,0,0,0,,259798,1346433,341897,557123,4430057,,,
11,T.J. Maxx,AL,33.22367944,-86.80391794,524758,"33.22367944,-86.80391794",0,1,2,1,1,4,0,0,1,,306940,1467211,351071,723224,7007008,,,395458
12,T.J. Maxx,AL,34.15084311,-86.83897821,522109,"34.15084311,-86.83897821",0,0,1,1,0,2,0,0,0,,,1016884,300495,,4530854,,,
13,T.J. Maxx,AL,34.68981044,-86.57808509,520098,"34.68981044,-86.57808509",0,1,3,1,2,6,1,0,1,,245017,1893875,397660,1355459,9152965,200023,,579489
14,T.J. Maxx,AL,32.34508806,-86.22138895,510554,"32.34508806,-86.22138895",1,1,1,2,2,4,0,0,1,257538,305495,648951,659217,1304714,7071191,,,459410
15,T.J. Maxx,AL,33.64939863,-86.823636,489876,"33.64939863,-86.823636",1,0,1,1,1,3,0,0,0,152953,,1005913,389914,628537,6195297,,,
16,T.J. Maxx,AL,34.75703117,-86.73690152,485713,"34.75703117,-86.73690152",0,1,2,2,2,5,1,0,1,,398543,1628317,687039,1501768,7736572,200023,,266024
17,T.J. Maxx,AL,30.65283447,-87.90662753,471157,"30.65283447,-87.90662753",0,1,1,1,1,2,0,0,0,,181518,931114,267816,568886,2977647,,,
18,T.J. Maxx,AL,31.3179396,-85.82869189,469954,"31.3179396,-85.82869189",0,0,1,0,0,1,0,0,0,,,945713,,,2509890,,,
19,T.J. Maxx,AL,30.37584144,-87.67847689,458653,"30.37584144,-87.67847689",0,0,1,1,1,2,0,0,1,,,756522,312637,566624,4628218,,,560818
20,T.J. Maxx,AL,33.84977072,-87.26907566,456588,"33.84977072,-87.26907566",0,0,0,0,1,1,0,0,0,,,,,939987,2507436,,,
21,T.J. Maxx,AL,33.4218513,-86.69223753,422139,"33.4218513,-86.69223753",2,1,3,2,3,6,2,1,0,349583,304749,2011546,578749,2263822,11009789,800150,676723,
22,T.J. Maxx,AL,30.67742241,-88.14683993,365909,"30.67742241,-88.14683993",1,1,3,2,2,6,1,0,1,205209,456335,3027232,683429,1279676,13767155,319823,,418587
23,T.J. Maxx,AL,31.77784479,-85.9452729,347167,"31.77784479,-85.9452729",0,0,1,0,0,1,0,0,0,,,539050,,,2201995,,,
24,T.J. Maxx,AL,33.33548414,-86.99132475,314216,"33.33548414,-86.99132475",0,1,1,1,0,3,0,0,1,,306940,842783,373667,,6100287,,,395458
25,T.J. Maxx,AL,33.17396136,-86.28282353,296829,"33.17396136,-86.28282353",0,0,0,0,1,1,0,0,0,,,,,586852,2060224,,,
1,Marshalls,TN,35.90036903,-84.16504292,667805,"35.90036903,-84.16504292",1,2,1,2,3,4,2,2,0,232446,864232,1025883,576250,2580464,7929886,749760,1309453,
2,Marshalls,TN,36.59428253,-82.26120263,603255,"36.59428253,-82.26120263",0,0,1,0,0,1,0,0,0,,,589877,,,1700211,,,
3,Marshalls,TN,36.00560161,-84.02129132,561367,"36.00560161,-84.02129132",1,2,3,3,3,4,1,1,1,232446,827758,2788051,895948,2855771,8706538,501003,745427,241529
4,Marshalls,TN,36.06464859,-87.38214268,498539,"36.06464859,-87.38214268",0,0,1,1,0,1,0,0,0,,,1074574,241008,,2503461,,,
5,Marshalls,TN,35.7947587,-83.55793115,482572,"35.7947587,-83.55793115",0,0,1,1,1,1,1,1,0,,,757014,218319,594799,5083217,321679,788124,
6,Marshalls,TN,35.66831885,-88.86081176,429958,"35.66831885,-88.86081176",0,1,2,1,1,2,0,1,0,,409556,1664939,414290,536823,4806689,,570941,
7,Marshalls,TN,35.06692717,-89.75868571,425903,"35.06692717,-89.75868571",3,2,4,3,4,5,2,3,2,767863,583299,2997832,942798,2676387,10756206,551036,1466920,717000
8,Marshalls,TN,35.03060566,-85.1603834,404148,"35.03060566,-85.1603834",2,1,2,2,2,4,1,2,1,479432,402676,1863642,500590,1469334,7411660,315205,693078,319111
9,Marshalls,TN,36.50635176,-87.27211958,380377,"36.50635176,-87.27211958",0,1,2,1,1,3,0,1,0,,396081,1818423,123044,679421,7170553,,534449,
10,Marshalls,TN,35.1717264,-89.79537508,376821,"35.1717264,-89.79537508",4,2,4,3,4,5,2,4,3,976749,583299,3391261,1158938,2840113,10746458,551036,1775271,1040310
11,Marshalls,TN,36.18078371,-86.63873721,357338,"36.18078371,-86.63873721",2,1,5,3,6,7,0,2,1,702866,357492,2828868,857434,3925310,11288833,,1143702,199711
12,Marshalls,TN,36.058481,-89.38297864,346149,"36.058481,-89.38297864",0,0,1,0,0,1,0,0,0,,,816654,,,2524033,,,
13,Marshalls,TN,35.85514928,-86.42752802,345718,"35.85514928,-86.42752802",1,1,1,1,1,5,1,1,0,207209,462298,1047632,533136,1089643,8823711,357527,561342,
14,Marshalls,TN,35.05252409,-89.80833985,340179,"35.05252409,-89.80833985",2,2,4,4,3,4,2,3,2,555055,583299,3034010,1349030,1880936,8412312,551036,1281887,802724
15,Marshalls,TN,35.15531384,-85.2457901,319111,"35.15531384,-85.2457901",2,1,2,2,2,3,1,2,1,479432,249551,1863642,500590,1469334,5172090,315205,693078,404148
16,Marshalls,TN,35.9487633,-86.8177021,294725,"35.9487633,-86.8177021",0,1,2,1,2,2,0,1,0,,386171,1520319,219721,1458332,3488690,,556232,
17,Marshalls,TN,35.20774682,-89.89610965,274228,"35.20774682,-89.89610965",3,1,3,2,4,4,1,4,1,758065,407725,2924792,819026,2981822,8415263,310435,1775271,376821
18,Marshalls,TN,36.13668573,-86.89025267,256613,"36.13668573,-86.89025267",2,0,1,3,2,3,1,1,0,711637,,629189,704844,1659596,4511976,266647,327611,
19,Marshalls,TN,36.17549394,-82.79590644,247037,"36.17549394,-82.79590644",0,0,1,1,0,1,0,0,0,,,902344,204352,,2404240,,,
20,Marshalls,TN,36.03737298,-83.8873844,241529,"36.03737298,-83.8873844",0,1,3,2,3,4,0,0,1,,381871,2395160,635745,2131403,8407785,,,561367
21,Marshalls,TN,36.32191681,-86.6014702,199711,"36.32191681,-86.6014702",1,2,4,2,4,4,1,1,1,183248,861480,2508732,560575,2285730,7283578,344169,394611,357338
1,Marshalls,FL,26.6834479,-80.22362638,819819,"26.6834479,-80.22362638",2,1,2,6,5,5,1,3,1,836341,437250,1252510,2287839,5347757,8924990,339550,1694528,302981
2,Marshalls,FL,29.11130473,-81.03616413,754601,"29.11130473,-81.03616413",1,1,1,2,3,3,0,1,0,438345,380662,790418,656215,2047548,6150724,,394250,
3,Marshalls,FL,27.63733172,-80.44914495,702859,"27.63733172,-80.44914495",0,0,1,1,1,1,0,1,0,,,833827,305949,1017508,1983272,,318362,
4,Marshalls,FL,28.52103765,-81.58389624,650072,"28.52103765,-81.58389624",2,1,3,7,3,5,3,2,2,604479,363451,2304478,2404356,2310503,11539526,667039,680788,627749
5,Marshalls,FL,25.86463408,-80.31606456,622791,"25.86463408,-80.31606456",8,2,2,14,12,10,2,6,6,4080449,868912,1571774,5635896,15615423,22880717,644969,2426999,2003193
6,Marshalls,FL,29.86862798,-81.32534911,599968,"29.86862798,-81.32534911",0,0,1,1,1,1,0,0,0,,,638069,302480,752213,1859166,,,
7,Marshalls,FL,25.74786693,-80.38838071,562742,"25.74786693,-80.38838071",6,2,2,10,11,5,1,5,5,3232345,851945,1496295,4422063,14221303,12990170,111883,2784831,1901570
8,Marshalls,FL,28.34226274,-81.41032988,559928,"28.34226274,-81.41032988",3,1,2,13,5,7,1,3,3,840615,451703,1082197,4175580,3602880,15649989,225273,1062313,884539
9,Marshalls,FL,27.99839165,-81.96058114,559641,"27.99839165,-81.96058114",1,1,4,2,2,5,1,1,0,658119,555994,2801193,911264,1700526,11281375,374706,501134,
10,Marshalls,FL,28.20242974,-82.66406799,555623,"28.20242974,-82.66406799",1,1,2,3,3,5,1,2,0,261161,399197,1361623,946486,2189536,9454835,283091,689809,
11,Marshalls,FL,28.02853219,-82.50300763,552525,"28.02853219,-82.50300763",4,1,5,7,5,9,1,3,1,1058415,404724,3262730,2175515,4614721,14405435,396596,1195526,331600
12,Marshalls,FL,26.14945018,-80.32563391,548214,"26.14945018,-80.32563391",5,2,3,9,8,9,2,4,3,2160856,813393,1761226,3247290,7736046,16998347,801579,1767014,678611
13,Marshalls,FL,30.27075293,-81.39014639,541376,"30.27075293,-81.39014639",1,1,1,3,2,2,2,1,0,268309,405081,609760,1068301,1636730,3813010,594513,468333,
14,Marshalls,FL,29.62730729,-82.38218874,527287,"29.62730729,-82.38218874",1,1,2,2,2,3,0,1,0,260325,263347,1363458,520098,1293634,5894647,,827305,
15,Marshalls,FL,28.53635626,-82.50622751,502202,"28.53635626,-82.50622751",0,1,2,2,1,3,1,0,0,,340565,1446472,812886,1075221,6065143,312041,,
16,Marshalls,FL,25.6861927,-80.42254009,483807,"25.6861927,-80.42254009",4,2,1,10,8,5,1,4,3,1814934,851945,653898,4334927,10039463,11170975,111883,2426283,1073966
17,Marshalls,FL,27.94261139,-82.32225189,482310,"27.94261139,-82.32225189",1,1,3,3,3,6,1,1,0,470061,552378,2030836,953981,2460450,10982152,413292,483380,
18,Marshalls,FL,25.93155015,-80.12302813,481957,"25.93155015,-80.12302813",7,1,1,10,4,6,2,4,4,2534837,348749,670550,3388480,5585288,11976875,641027,1341410,1329895
19,Marshalls,FL,28.60393079,-81.36809838,473033,"28.60393079,-81.36809838",2,2,5,13,7,8,3,4,5,901128,1005121,3239823,3579016,5486890,15354849,884225,1251600,1510201
20,Marshalls,FL,28.93027812,-82.01828307,466065,"28.93027812,-82.01828307",0,1,2,1,1,3,0,1,0,,449668,1541401,284386,1002219,5601104,,308812,
21,Marshalls,FL,26.96015233,-80.08295057,458671,"26.96015233,-80.08295057",0,0,0,1,1,1,0,2,1,,,,178773,960598,1954202,,643120,395690
22,Marshalls,FL,30.22129622,-85.8701446,454293,"30.22129622,-85.8701446",0,0,1,1,1,2,0,0,0,,,623569,405410,519722,5047508,,,
23,Marshalls,FL,27.79620131,-82.33245096,453903,"27.79620131,-82.33245096",1,1,2,1,2,4,1,0,0,470061,552378,1339750,475799,1635610,8026539,413292,,
24,Marshalls,FL,27.39169372,-82.45327833,436709,"27.39169372,-82.45327833",2,1,3,3,4,5,2,3,1,635888,381637,2224142,928384,3953521,8383436,748322,968010,350911
25,Marshalls,FL,28.17546464,-82.35555788,435297,"28.17546464,-82.35555788",2,1,2,6,2,5,3,1,1,496871,404724,1516215,1466075,1536300,8975699,995451,422295,268041
26,Marshalls,FL,27.49891405,-81.485903,429195,"27.49891405,-81.485903",0,0,1,1,1,2,0,0,0,,,710879,323316,897388,4749954,,,
27,Marshalls,FL,30.44015803,-84.25826912,427271,"30.44015803,-84.25826912",1,1,2,3,2,5,1,1,0,195313,300310,1618251,820709,1678400,8547819,335144,629904,
28,Marshalls,FL,25.80987875,-80.19355365,424338,"25.80987875,-80.19355365",5,0,1,8,8,7,1,5,5,2648302,,842397,3110697,10990205,16962810,301033,2089379,1797257
29,Marshalls,FL,26.48581527,-81.78940397,423864,"26.48581527,-81.78940397",2,1,3,4,2,4,3,3,1,532327,581000,2096596,1108864,2494837,7181092,866936,1125884,393505
30,Marshalls,FL,28.05040396,-82.69797409,417388,"28.05040396,-82.69797409",4,1,5,8,4,7,1,4,1,951246,627180,3410351,2444881,3618491,11731386,477152,1687178,315075
31,Marshalls,FL,26.21278703,-80.10717035,415341,"26.21278703,-80.10717035",3,2,4,10,7,9,2,3,4,1251307,908392,2709614,3282144,6967053,16778262,593087,1116871,1074923
32,Marshalls,FL,25.48042614,-80.46169303,414816,"25.48042614,-80.46169303",1,1,1,2,2,3,0,1,0,384789,321619,656538,950782,2356279,5652339,,487096,
33,Marshalls,FL,30.38944671,-86.43912186,406771,"30.38944671,-86.43912186",0,0,1,2,1,3,1,0,0,,,544598,601816,530858,6640450,308755,,
34,Marshalls,FL,26.17261584,-81.80103344,406080,"26.17261584,-81.80103344",2,1,2,2,2,4,1,1,1,435942,383506,1537779,546723,2100884,6435766,485955,474058,374136
35,Marshalls,FL,27.23554687,-80.26661916,403317,"27.23554687,-80.26661916",1,1,3,1,4,4,2,1,0,478284,391326,1674642,327486,3252388,8375952,700578,420282,
36,Marshalls,FL,26.31571519,-80.15697515,396312,"26.31571519,-80.15697515",2,2,3,9,8,9,4,3,5,845900,908392,2285727,3039771,8023793,16287436,1618352,1325753,1631353
37,Marshalls,FL,26.84377179,-80.0737879,395690,"26.84377179,-80.0737879",2,1,2,4,3,3,2,3,1,619808,282832,1027946,1035719,2612070,4919185,735224,1114647,458671
38,Marshalls,FL,29.13878799,-82.19278881,394080,"29.13878799,-82.19278881",1,1,3,2,1,3,1,1,0,333372,420439,2491908,605204,992389,6834129,461838,486906,
39,Marshalls,FL,26.58642025,-81.86958965,393505,"26.58642025,-81.86958965",3,2,4,4,4,6,3,3,1,920631,1050241,3031260,1320829,4470097,11426042,1109486,1044030,423864
40,Marshalls,FL,28.49535372,-81.43035435,392484,"28.49535372,-81.43035435",5,0,4,15,7,7,3,2,6,1689287,,2695287,4785539,5288927,14521028,684794,625957,2290835
41,Marshalls,FL,27.01499547,-82.14422047,376088,"27.01499547,-82.14422047",1,1,2,2,3,3,1,1,0,267525,359070,995565,501116,2095959,6217772,342255,372532,
42,Marshalls,FL,28.03888338,-80.66485967,375449,"28.03888338,-80.66485967",1,1,3,3,2,4,1,0,0,283060,455402,1701081,970200,1260355,7376650,257867,,
43,Marshalls,FL,26.27086874,-81.79847013,374136,"26.27086874,-81.79847013",1,1,1,3,3,2,2,2,1,250447,383506,867257,713167,3055081,3471151,688777,898454,406080
44,Marshalls,FL,26.36594881,-80.1735641,367379,"26.36594881,-80.1735641",2,2,3,8,7,8,4,4,4,845900,908392,2285727,2758116,7314006,14260500,1618352,1627828,1353917
45,Marshalls,FL,26.04343239,-80.15896058,363170,"26.04343239,-80.15896058",9,2,2,14,8,10,2,6,4,3166333,760931,1289397,4192182,8941228,19410159,793028,2229910,1213048
46,Marshalls,FL,26.52946565,-80.09281893,360793,"26.52946565,-80.09281893",1,1,1,6,5,6,1,3,2,315678,534774,693216,1960858,5368334,9255984,455531,1435933,635056
47,Marshalls,FL,30.48249025,-81.6407356,360382,"30.48249025,-81.6407356",1,0,1,1,1,2,0,0,0,234146,,664432,409762,699150,3845602,,,
48,Marshalls,FL,26.28817959,-80.24929148,358726,"26.28817959,-80.24929148",4,2,4,10,8,10,3,3,4,1580264,908392,2751602,3680607,8057313,18205853,1162821,1325753,1253598
49,Marshalls,FL,28.67530247,-81.4710751,358512,"28.67530247,-81.4710751",1,1,4,7,6,5,1,3,3,353038,538299,2203176,1874643,4571729,9832031,318395,1237723,995725
50,Marshalls,FL,28.39222915,-81.48445473,356655,"28.39222915,-81.48445473",3,1,2,15,5,8,2,4,3,840615,451703,1082197,4902131,3393883,20912054,442047,1465974,1194582
51,Marshalls,FL,28.22398965,-81.64276718,356560,"28.22398965,-81.64276718",1,0,2,2,0,3,1,1,0,379602,,1222395,1025038,,9760329,329864,403661,
52,Marshalls,FL,27.26052384,-82.51795607,350911,"27.26052384,-82.51795607",2,2,2,2,2,3,2,2,1,425756,615779,1302600,615873,1981882,4763104,748322,833480,436709
