Rank,Name,State,Lat,Long,Total_Visits,client_coords,num_nearby_Burlington,num_nearby_Kohl's,num_nearby_Lowe's,num_nearby_Ross_Dress_for_Less,num_nearby_The_Home_Depot,num_nearby_Walmart,num_nearby_HomeGoods,num_nearby_T.J._Maxx,num_nearby_Marshalls,tot_visits_nearby_Burlington,tot_visits_nearby_Kohl's,tot_visits_nearby_Lowe's,tot_visits_nearby_Ross_Dress_for_Less,tot_visits_nearby_The_Home_Depot,tot_visits_nearby_Walmart,tot_visits_nearby_HomeGoods,tot_visits_nearby_T.J._Maxx,tot_visits_nearby_Marshalls
19,HomeGoods,FL,27.97878626,-81.96002689,374706,"27.97878626,-81.96002689",1,1,3,2,2,5,0,1,1,658119,555994,2155406,911264,1700526,10751437,,501134,559641
20,HomeGoods,FL,28.64519247,-81.26554995,349056,"28.64519247,-81.26554995",2,3,6,11,7,5,1,5,4,830281,1474436,3846099,3262344,5745010,9569422,318395,2413918,1147828
21,HomeGoods,FL,26.1436978,-80.31846758,348545,"26.1436978,-80.31846758",5,2,3,11,9,9,1,5,5,2160856,813393,1761226,3625249,8523138,16998347,453034,2184544,1536166
22,HomeGoods,FL,25.98144866,-80.35700351,343936,"25.98144866,-80.35700351",6,1,5,13,8,10,1,4,4,2825174,512117,3537675,4684510,9091386,21663433,453034,1680457,1488782
23,HomeGoods,FL,27.00886746,-82.13459966,342255,"27.00886746,-82.13459966",1,1,2,2,3,3,0,1,1,267525,359070,995565,501116,2095959,6217772,,372532,376088
24,HomeGoods,FL,26.04303387,-80.159139,339994,"26.04303387,-80.159139",9,2,2,14,8,10,1,6,5,3166333,760931,1289397,4192182,8941228,19410159,453034,2229910,1576218
25,HomeGoods,FL,26.54326572,-81.87256439,339711,"26.54326572,-81.87256439",3,1,5,4,4,6,2,3,2,920631,581000,3686465,1320829,4470097,11426042,769775,1044030,817369
26,HomeGoods,FL,26.72503533,-80.09046643,339550,"26.72503533,-80.09046643",3,2,3,6,6,6,1,3,3,1084873,720082,1796876,2122530,6206538,10538926,395674,1201358,1518490
27,HomeGoods,FL,30.26986432,-81.39007952,338604,"30.26986432,-81.39007952",1,1,1,3,2,2,1,1,1,268309,405081,609760,1068301,1636730,3813010,255909,468333,541376
28,HomeGoods,FL,30.51274856,-84.24940791,335144,"30.51274856,-84.24940791",1,1,2,3,2,5,0,1,1,195313,300310,1618251,820709,1678400,8547819,,629904,427271
29,HomeGoods,FL,28.22413088,-81.64240978,329864,"28.22413088,-81.64240978",1,0,2,2,0,3,0,1,1,379602,,1222395,1025038,,9760329,,403661,356560
30,HomeGoods,FL,26.48350393,-81.78857966,324403,"26.48350393,-81.78857966",2,1,3,4,2,4,2,3,2,532327,581000,2096596,1108864,2494837,7181092,542533,1125884,817369
31,HomeGoods,FL,28.66604187,-81.42310081,318395,"28.66604187,-81.42310081",2,1,4,9,6,4,1,3,5,901128,538299,2203176,2402344,4571729,7510431,349056,1237723,1590750
32,HomeGoods,FL,27.84483595,-82.79276146,315668,"27.84483595,-82.79276146",3,1,4,5,6,5,2,4,4,856848,464864,2752926,1385021,5685602,9694441,767572,1648909,910434
33,HomeGoods,FL,27.2974095,-82.49483224,315346,"27.2974095,-82.49483224",2,2,2,2,2,4,1,2,2,425756,615779,1302600,615873,1981882,6193023,432976,833480,787620
34,HomeGoods,FL,28.53574365,-82.50738891,312041,"28.53574365,-82.50738891",0,1,2,2,1,3,0,0,1,,340565,1446472,812886,1075221,6065143,,,502202
35,HomeGoods,FL,30.38946502,-86.43853555,308755,"30.38946502,-86.43853555",0,0,1,2,1,3,0,0,1,,,544598,601816,530858,6640450,,,406771
36,HomeGoods,FL,25.80854892,-80.19409305,301033,"25.80854892,-80.19409305",5,0,1,8,8,7,0,5,6,2648302,,842397,3110697,10990205,16962810,,2089379,2221595
37,HomeGoods,FL,27.31814121,-80.38932411,287583,"27.31814121,-80.38932411",1,1,2,3,4,4,0,1,1,478284,391326,1114662,795099,2953097,8261067,,412044,403317
38,HomeGoods,FL,28.20429473,-82.66904311,283091,"28.20429473,-82.66904311",1,1,2,3,3,5,0,2,1,261161,399197,1361623,946486,2189536,9454835,,689809,555623
39,HomeGoods,FL,27.84340964,-82.64425415,277716,"27.84340964,-82.64425415",4,1,5,4,7,6,2,3,5,1218192,464864,3306709,1151210,6211099,10973561,805524,1315595,1242034
40,HomeGoods,FL,28.03892629,-80.6652918,257867,"28.03892629,-80.6652918",1,1,3,3,2,4,0,0,1,283060,455402,1701081,970200,1260355,7376650,,,375449
41,HomeGoods,FL,30.3181815,-81.49375477,255909,"30.3181815,-81.49375477",1,1,3,4,4,5,2,2,1,268309,405081,1947899,1313767,3301339,8998739,802166,651139,541376
42,HomeGoods,FL,30.19935294,-81.82823341,249352,"30.19935294,-81.82823341",1,2,3,2,5,5,0,1,2,244689,720218,1794084,826123,3571225,9987920,,335570,479892
43,HomeGoods,FL,28.46543125,-81.30425886,242747,"28.46543125,-81.30425886",3,2,4,12,6,6,1,4,3,1138881,781245,2385092,4139156,4645925,12025674,216774,1658993,968294
44,HomeGoods,FL,30.62694002,-81.54215145,240966,"30.62694002,-81.54215145",0,1,1,1,1,2,0,1,0,,175047,515039,207485,505402,2105647,,384661,
45,HomeGoods,FL,28.45118691,-81.49093846,225273,"28.45118691,-81.49093846",5,1,4,14,4,9,1,4,6,1445094,451703,2604854,4611935,3042018,19084995,216774,1342685,2436574
46,HomeGoods,FL,28.54890771,-81.72528837,224992,"28.54890771,-81.72528837",1,1,2,2,1,2,0,1,1,251441,363451,1581239,780847,786932,3838096,,335203,650072
47,HomeGoods,FL,28.49443206,-81.43089219,216774,"28.49443206,-81.43089219",5,0,4,15,7,7,2,2,7,1689287,,2695287,4785539,5288927,14521028,468020,625957,2683319
48,HomeGoods,FL,27.46369814,-82.63350917,207024,"27.46369814,-82.63350917",1,0,1,1,2,5,0,2,1,343628,,731929,312511,1971639,9619990,,495657,305582
49,HomeGoods,FL,28.13186982,-82.36669457,205392,"28.13186982,-82.36669457",2,1,3,7,4,6,2,2,2,496871,404724,2269326,1798711,3825975,10150456,790059,848689,703338
50,HomeGoods,FL,26.34287079,-81.80516736,202822,"26.34287079,-81.80516736",2,1,2,4,2,3,2,2,2,445935,383506,1522462,942909,2174586,5404071,810358,898454,798000
