OBJECTID,Name and Size,Total_Visits,Travel Time Start (Minutes),,Travel Time End (Minutes),Facility ID,Facility: Name,Facility: Rank,Facility: Store_ID,Facility: lat,Facility: lng,Facility: State,Facility: Plotted,Facility: Percentile,Facility: State_Rank,Facility: Breaks,Facility: AdditionalTime,Facility: AdditionalDistance,Area (Square Miles),Id,Country code,ENRICH_FID,Aggregation method,Population to polygon size rating for the country,Apportionment confidence for the country,Has data,2022 Total Population,2022 Population Density,2022 Median Household Income,2022 Median Net Worth,2022 Median Disposable Income,2022 Median Age,2022 Total Housing Units,2022 Median Home Value,2022 Owner Occupied HUs,2022 Renter Occupied HUs,2020 Median Year Structure Built: HUs (ACS 5-Yr),2022 Pop Age 25+: Bachelor's Degree,2022 Pop Age 25+: Grad/Professional Degree,2022 Apparel/Accessory Sales ($000) (SIC),2022 Furniture/Home Furnish Sales ($000) (SIC),2022 Home Improvement Sales ($000) (SIC),2022 Men`s Apparel,2022 Women`s Apparel,2022 Bought Clothing in Dept Store/6 Mo,2022 Bought Clothing in Discount Store/6 Mo,2022 Bought Clothing Online/6 Mo,2022 HH Purchased Low Ticket HH Furnishing/12 Mo,2022 Tapestry Adult Pop Base,2022 Discount Store Clothes Just as Good: 4-Agr Cmpl,2022 Total Daytime Population,2022 Daytime Pop Density,2022 Pop Age 15+: Married,2022 Pop Age 15+: Divorced,2022 Pop Age 15+: Never Married,2022 Black Population,2022 White Population,2022 Hispanic Population,2022 Total Crime Index,2022 Personal Crime Index,2022 Property Crime Index
270,T.J. Maxx  : 0 - 10,357749,0,,10,270,T.J. Maxx ,57,1380,25.77152352,-80.3586794,FL,88,35%,57/88,,0,0,28.75129879,5,US,270,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,190959,6641.8,59531,91053,51838,43.2,67525,333333,35572,29381,1979,30143,13509,350344,409322,359705,23575997,40842518,61425,23332,46416,10978,158344,52824,220913,7683.6,74405,22865,54890,2730,45404,173818,90,68,94
187,Marshalls  : 0 - 10,175715,0,,10,187,Marshalls ,84,356,25.77398514,-80.32171357,FL,87,3%,84/87,,0,0,34.16564443,21,US,187,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,216347,6332.3,57837,75745,50759,43.5,83309,334334,37864,40657,1975,33782,16337,344455,571583,578134,28900885,49850204,69572,26261,52019,13549,178452,60682,297297,8701.7,84037,27948,58487,2682,53158,195775,100,75,105
85,HomeGoods  : 0 - 10,301033,0,,10,85,HomeGoods ,36,504,25.80854892,-80.19409305,FL,52,31%,36/52,,0,0,29.46051526,18,US,85,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,284940,9672,44920,14496,38514,37.1,136803,344860,29640,88014,1973,35150,22150,305032,414526,353918,40832607,70342015,84029,30344,65758,22645,225003,78127,351393,11927.6,84585,28209,108756,78534,64822,166687,182,241,171
150,Marshalls  : 0 - 10,424338,0,,10,150,Marshalls ,28,392,25.80987875,-80.19355365,FL,87,68%,28/87,,0,0,29.74971011,17,US,150,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,285514,9597.2,45490,14583,38896,37.1,137553,354448,30298,87978,1973,35712,22622,305064,414802,359137,41737189,71925435,83968,30483,66333,22873,225330,77913,352280,11841.5,85015,28296,108619,78401,66624,164951,182,240,173
171,Marshalls  : 0 - 10,283748,0,,10,171,Marshalls ,68,1197,25.8314203,-80.25975734,FL,87,22%,68/87,,0,0,31.07495877,5,US,171,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,222919,7173.6,37493,15894,32816,41.3,81378,293403,29324,47128,1962,17488,6875,102965,221023,554487,19373254,33946878,69443,24654,46850,12845,177254,64162,217462,6998,72093,23600,75377,45451,44730,168849,143,192,135
269,T.J. Maxx  : 0 - 10,358548,0,,10,269,T.J. Maxx ,56,1443,25.84220634,-80.36722567,FL,88,36%,56/88,,0,0,29.93765808,4,US,269,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,101757,3399,80091,100751,66005,39.1,37588,411042,16212,17592,1998,17849,13059,382911,612540,741663,15978500,27531248,30731,12617,25919,7187,79349,24866,182062,6081.4,44517,9129,25602,1451,24094,88057,96,41,106
127,Marshalls  : 0 - 10,622791,0,,10,127,Marshalls ,5,146,25.86463408,-80.31606456,FL,87,94%,May-87,,0,0,31.5369562,27,US,127,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,228354,7240.9,46538,35813,39380,43,81680,303357,35640,43292,1976,24285,9966,210670,570297,1180256,23142294,39716559,71467,29088,53375,12740,186846,64239,262348,8318.8,92268,24884,61960,2905,56218,213488,90,57,95
28,T.J. Maxx  : 0 - 10,584261,0,,10,28,T.J. Maxx ,13,593,25.86853738,-80.29271011,FL,88,85%,13/88,,0,0,32.91980397,27,US,28,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,236468,7183.2,42251,26285,36569,43.6,84730,303682,35253,46600,1972,22547,8938,197764,386329,982301,22442880,38491488,76246,29442,53833,12770,193779,68750,246151,7477.3,91599,26590,66933,9334,58231,216063,100,81,103
301,T.J. Maxx  : 0 - 10,112783,0,,10,301,T.J. Maxx ,88,1377,25.88796775,-80.16249003,FL,88,0%,88/88,,0,0,18.731384,3,US,301,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,142454,7605.1,56494,61350,49694,38.5,61319,382839,24430,28188,1966,19060,12104,132202,104363,218182,22150405,38665669,40257,14720,36263,11161,112190,34160,140501,7500.9,48695,13170,49685,54304,36905,55137,149,163,147
140,Marshalls  : 0 - 10,481957,0,,10,140,Marshalls ,18,651,25.93155015,-80.12302813,FL,87,79%,18/87,,0,0,14.73131237,7,US,140,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,127275,8639.8,62213,97715,53751,44,78927,396120,29021,25569,1977,23628,16124,407788,157120,187621,25890096,45254132,37208,14424,35268,11603,104733,30193,146803,9965.4,51058,14391,34426,21862,55151,53312,142,108,148
