OBJECTID,Name and Size,Total_Visits,Travel Time Start (Minutes),Travel Time End (Minutes),Facility ID,Facility: Name,Facility: Rank,Facility: Store_ID,Facility: lat,Facility: lng,Facility: State,Facility: Plotted,Facility: Percentile,Facility: State_Rank,Facility: Breaks,Facility: AdditionalTime,Facility: AdditionalDistance,Area (Square Miles),Id,Country code,ENRICH_FID,Aggregation method,Population to polygon size rating for the country,Apportionment confidence for the country,Has data,2022 Tapestry Adult Pop Base,2022 Pop 18+ in Tapestry Seg 1A,2022 Pop 18+ in Tapestry Seg 1B,2022 Pop 18+ in Tapestry Seg 1C,2022 Pop 18+ in Tapestry Seg 1D,2022 Pop 18+ in Tapestry Seg 1E,2022 Pop 18+ in Tapestry Seg 2A,2022 Pop 18+ in Tapestry Seg 2B,2022 Pop 18+ in Tapestry Seg 2C,2022 Pop 18+ in Tapestry Seg 2D,2022 Pop 18+ in Tapestry Seg 3A,2022 Pop 18+ in Tapestry Seg 3B,2022 Pop 18+ in Tapestry Seg 3C,2022 Pop 18+ in Tapestry Seg 4A,2022 Pop 18+ in Tapestry Seg 4B,2022 Pop 18+ in Tapestry Seg 4C,2022 Pop 18+ in Tapestry Seg 5A,2022 Pop 18+ in Tapestry Seg 5B,2022 Pop 18+ in Tapestry Seg 5C,2022 Pop 18+ in Tapestry Seg 5D,2022 Pop 18+ in Tapestry Seg 5E,2022 Pop 18+ in Tapestry Seg 6A,2022 Pop 18+ in Tapestry Seg 6B,2022 Pop 18+ in Tapestry Seg 6C,2022 Pop 18+ in Tapestry Seg 6D,2022 Pop 18+ in Tapestry Seg 6E,2022 Pop 18+ in Tapestry Seg 6F,2022 Pop 18+ in Tapestry Seg 7A,2022 Pop 18+ in Tapestry Seg 7B,2022 Pop 18+ in Tapestry Seg 7C,2022 Pop 18+ in Tapestry Seg 7D,2022 Pop 18+ in Tapestry Seg 7E,2022 Pop 18+ in Tapestry Seg 7F,2022 Pop 18+ in Tapestry Seg 8A,2022 Pop 18+ in Tapestry Seg 8B,2022 Pop 18+ in Tapestry Seg 8C,2022 Pop 18+ in Tapestry Seg 8D,2022 Pop 18+ in Tapestry Seg 8E,2022 Pop 18+ in Tapestry Seg 8F,2022 Pop 18+ in Tapestry Seg 8G,2022 Pop 18+ in Tapestry Seg 9A,2022 Pop 18+ in Tapestry Seg 9B,2022 Pop 18+ in Tapestry Seg 9C,2022 Pop 18+ in Tapestry Seg 9D,2022 Pop 18+ in Tapestry Seg 9E,2022 Pop 18+ in Tapestry Seg 9F,2022 Pop 18+ in Tapestry Seg 10A,2022 Pop 18+ in Tapestry Seg 10B,2022 Pop 18+ in Tapestry Seg 10C,2022 Pop 18+ in Tapestry Seg 10D,2022 Pop 18+ in Tapestry Seg 10E,2022 Pop 18+ in Tapestry Seg 11A,2022 Pop 18+ in Tapestry Seg 11B,2022 Pop 18+ in Tapestry Seg 11C,2022 Pop 18+ in Tapestry Seg 11D,2022 Pop 18+ in Tapestry Seg 11E,2022 Pop 18+ in Tapestry Seg 12A,2022 Pop 18+ in Tapestry Seg 12B,2022 Pop 18+ in Tapestry Seg 12C,2022 Pop 18+ in Tapestry Seg 12D,2022 Pop 18+ in Tapestry Seg 13A,2022 Pop 18+ in Tapestry Seg 13B,2022 Pop 18+ in Tapestry Seg 13C,2022 Pop 18+ in Tapestry Seg 13D,2022 Pop 18+ in Tapestry Seg 13E,2022 Pop 18+ in Tapestry Seg 14A,2022 Pop 18+ in Tapestry Seg 14B,2022 Pop 18+ in Tapestry Seg 14C,2022 Pop 18+ in Tapestry Seg 15
270,T.J. Maxx  : 0 - 10,357749,0,10,270,T.J. Maxx ,57,1380,25.77152352,-80.3586794,FL,88,35%,57/88,,0,0,28.75129879,5,US,270,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,158344,0,246,3376,254,2385,0,7151,26,486,0,0,0,159,3125,0,914,0,3529,0,2326,0,0,0,0,0,0,0,22907,21218,662,0,67485,0,0,2057,0,0,2390,0,0,5132,0,0,996,0,0,0,0,0,0,0,2742,0,0,0,0,0,0,0,4514,0,1076,0,0,0,0,3189,0
187,Marshalls  : 0 - 10,175715,0,10,187,Marshalls ,84,356,25.77398514,-80.32171357,FL,87,3%,84/87,,0,0,34.16564443,21,US,187,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,178452,549,0,2671,133,13,1524,3711,0,0,0,489,0,0,1375,0,335,0,4740,0,3260,0,0,0,0,0,0,0,20873,15256,0,0,85373,1155,2135,2057,0,555,2390,0,0,6183,0,0,1526,1701,0,0,0,0,0,0,3795,7687,1973,0,0,0,0,0,5100,0,1076,252,0,0,0,566,0
85,HomeGoods  : 0 - 10,301033,0,10,85,HomeGoods ,36,504,25.80854892,-80.19409305,FL,52,31%,36/52,,0,0,29.46051526,18,US,85,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,225003,447,0,0,0,0,4598,1117,0,0,1479,24188,5762,0,0,0,0,0,703,0,0,0,0,0,0,0,0,0,621,0,0,0,42800,1355,6478,0,0,0,0,0,0,229,0,0,0,10236,0,0,0,0,0,1921,11742,3134,3490,22527,8097,0,0,31529,3859,3887,19670,11046,4085,0,0,0,5
150,Marshalls  : 0 - 10,424338,0,10,150,Marshalls ,28,392,25.80987875,-80.19355365,FL,87,68%,28/87,,0,0,29.74971011,17,US,150,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,225330,570,0,0,0,0,6375,1062,0,0,2055,24188,5995,0,0,0,0,169,703,0,0,0,0,0,0,0,0,0,329,0,0,0,40450,1583,6741,0,0,0,0,0,0,229,0,0,0,10236,0,0,0,0,0,1921,12243,3134,3490,23570,7403,0,0,31222,3583,3887,19156,11046,3985,0,0,0,5
171,Marshalls  : 0 - 10,283748,0,10,171,Marshalls ,68,1197,25.8314203,-80.25975734,FL,87,22%,68/87,,0,0,31.07495877,5,US,171,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,177254,0,0,0,586,0,0,3369,0,0,0,78,0,0,364,0,0,0,0,0,0,0,0,0,0,0,0,0,7787,0,0,0,92799,2247,0,0,0,555,0,0,0,1176,0,0,0,1594,0,0,0,0,0,930,0,0,0,11775,9749,0,0,23693,3458,6397,5880,3103,1716,0,0,0,0
269,T.J. Maxx  : 0 - 10,358548,0,10,269,T.J. Maxx ,56,1443,25.84220634,-80.36722567,FL,88,36%,56/88,,0,0,29.93765808,4,US,269,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,79349,0,5731,8669,94,0,0,70,0,2201,0,0,0,3623,1848,0,0,0,0,0,0,0,0,0,0,0,0,22194,6225,1168,0,0,10288,0,0,0,0,0,0,0,0,0,7928,0,0,0,0,0,0,0,0,0,1053,7661,0,0,0,0,0,0,549,0,0,0,0,0,0,0,48
127,Marshalls  : 0 - 10,622791,0,10,127,Marshalls ,5,146,25.86463408,-80.31606456,FL,87,94%,May-87,,0,0,31.5369562,27,US,127,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,186846,0,1000,1018,586,0,0,6668,0,0,0,0,0,198,748,0,0,0,0,0,0,0,0,0,0,0,0,0,39536,6505,783,0,96015,817,0,933,0,166,1091,0,0,91,17,0,0,0,0,0,0,0,0,0,1804,3863,0,0,0,0,0,0,0,24959,0,0,0,0,0,0,48
28,T.J. Maxx  : 0 - 10,584261,0,10,28,T.J. Maxx ,13,593,25.86853738,-80.29271011,FL,88,85%,13/88,,0,0,32.91980397,27,US,28,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,193779,0,72,681,586,0,0,4485,0,0,0,0,0,18,715,0,0,0,0,0,0,0,0,0,0,0,0,0,25316,7133,783,0,121637,2154,0,3250,0,0,1221,0,0,711,0,0,0,0,0,0,0,0,0,930,1567,0,0,1494,1648,0,0,199,0,19180,0,0,0,0,0,0,0
301,T.J. Maxx  : 0 - 10,112783,0,10,301,T.J. Maxx ,88,1377,25.88796775,-80.16249003,FL,88,0%,88/88,,0,0,18.731384,3,US,301,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,112190,2293,0,0,607,0,3802,3287,0,0,0,0,0,0,0,0,0,615,23,0,311,0,0,0,0,0,0,0,5256,5242,0,0,746,4872,10989,0,0,1050,2763,0,0,7175,518,900,1841,42,0,0,0,0,0,17286,3077,8084,3602,5489,12169,0,0,0,2656,0,0,6561,932,0,0,0,0
140,Marshalls  : 0 - 10,481957,0,10,140,Marshalls ,18,651,25.93155015,-80.12302813,FL,87,79%,18/87,,0,0,14.73131237,7,US,140,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,104733,2944,0,0,358,0,2783,360,0,4892,0,0,0,0,0,0,0,920,0,0,487,0,0,0,0,0,0,0,4308,5184,0,0,0,3344,7447,1951,0,1562,3409,0,5024,10914,1599,900,16151,0,1108,0,0,0,0,7134,4260,7585,2028,0,3854,0,0,0,1596,0,0,1145,1485,0,0,0,0
