Rank,Name,State,Lat,Long,Total_Visits,client_coords,num_stores_Aldi,num_stores_Publix,num_stores_The_Fresh_Market,num_stores_Total_Wine_&_More,num_stores_Trader_Joe's,num_stores_Walmart_Neighborhood_Market,num_stores_Whole_Foods_Market,num_stores_Winn-Dixie,num_stores_ABC_Fine_Wine_&_Spirits,num_stores_Sprouts_Farmers_Market,total_visit_Aldi,total_visit_Publix,total_visit_The_Fresh_Market,total_visit_Total_Wine_&_More,total_visit_Trader_Joe's,total_visit_Walmart_Neighborhood_Market,total_visit_Whole_Foods_Market,total_visit_Winn-Dixie,total_visit_ABC_Fine_Wine_&_Spirits,total_visit_Sprouts_Farmers_Market,num_grocery_stores,total_grocery_visit,num_Discretionary,num_High-Mid-Range,num_Low-Mid-Range,num_Workforce,avg_sqft_Discretionary,avg_sqft_High_Mid-Range,avg_sqft_Low-Mid-Range,avg_sqft_Workforce,avg_rent_Discretionary,avg_rent_High_Mid-Range,avg_rent_Low-Mid-Range,avg_rent_Workforce,Student_Housing,Affordable_Housing,Military_Housing,Senior_Housing,Adaptive_Reuse,Single_Family_Rental,Fractured_Condo,Completed,Planned,Prospective,Under_Construction,num_nearby_Burlington,num_nearby_Kohl's,num_nearby_Lowe's,num_nearby_Ross_Dress_for_Less,num_nearby_The_Home_Depot,num_nearby_Walmart,num_nearby_HomeGoods,num_nearby_T.J._Maxx,num_nearby_Marshalls,tot_visits_nearby_Burlington,tot_visits_nearby_Kohl's,tot_visits_nearby_Lowe's,tot_visits_nearby_Ross_Dress_for_Less,tot_visits_nearby_The_Home_Depot,tot_visits_nearby_Walmart,tot_visits_nearby_HomeGoods,tot_visits_nearby_T.J._Maxx,tot_visits_nearby_Marshalls,num_starbucks,has_starbucks,num_malls,tot_stores,2022 Total Population,2022 Population Density,2022 Median Household Income,2022 Median Net Worth,2022 Median Disposable Income,2022 Median Age,2022 Total Housing Units,2022 Median Home Value,2022 Owner Occupied HUs,2022 Renter Occupied HUs,2020 Median Year Structure Built: HUs (ACS 5-Yr),2022 Pop Age 25+: Bachelor's Degree,2022 Pop Age 25+: Grad/Professional Degree,2022 Apparel/Accessory Sales ($000) (SIC),2022 Furniture/Home Furnish Sales ($000) (SIC),2022 Home Improvement Sales ($000) (SIC),2022 Men`s Apparel,2022 Women`s Apparel,2022 Bought Clothing in Dept Store/6 Mo,2022 Bought Clothing in Discount Store/6 Mo,2022 Bought Clothing Online/6 Mo,2022 HH Purchased Low Ticket HH Furnishing/12 Mo,2022 Tapestry Adult Pop Base_x,2022 Discount Store Clothes Just as Good: 4-Agr Cmpl,2022 Total Daytime Population,2022 Daytime Pop Density,2022 Pop Age 15+: Married,2022 Pop Age 15+: Divorced,2022 Pop Age 15+: Never Married,2022 Black Population,2022 White Population,2022 Hispanic Population,2022 Total Crime Index,2022 Personal Crime Index,2022 Property Crime Index,2022 Tapestry Adult Pop Base_y,2022 Pop 18+ in Tapestry Seg 1A,2022 Pop 18+ in Tapestry Seg 1B,2022 Pop 18+ in Tapestry Seg 1C,2022 Pop 18+ in Tapestry Seg 1D,2022 Pop 18+ in Tapestry Seg 1E,2022 Pop 18+ in Tapestry Seg 2A,2022 Pop 18+ in Tapestry Seg 2B,2022 Pop 18+ in Tapestry Seg 2C,2022 Pop 18+ in Tapestry Seg 2D,2022 Pop 18+ in Tapestry Seg 3A,2022 Pop 18+ in Tapestry Seg 3B,2022 Pop 18+ in Tapestry Seg 3C,2022 Pop 18+ in Tapestry Seg 4A,2022 Pop 18+ in Tapestry Seg 4B,2022 Pop 18+ in Tapestry Seg 4C,2022 Pop 18+ in Tapestry Seg 5A,2022 Pop 18+ in Tapestry Seg 5B,2022 Pop 18+ in Tapestry Seg 5C,2022 Pop 18+ in Tapestry Seg 5D,2022 Pop 18+ in Tapestry Seg 5E,2022 Pop 18+ in Tapestry Seg 6A,2022 Pop 18+ in Tapestry Seg 6B,2022 Pop 18+ in Tapestry Seg 6C,2022 Pop 18+ in Tapestry Seg 6D,2022 Pop 18+ in Tapestry Seg 6E,2022 Pop 18+ in Tapestry Seg 6F,2022 Pop 18+ in Tapestry Seg 7A,2022 Pop 18+ in Tapestry Seg 7B,2022 Pop 18+ in Tapestry Seg 7C,2022 Pop 18+ in Tapestry Seg 7D,2022 Pop 18+ in Tapestry Seg 7E,2022 Pop 18+ in Tapestry Seg 7F,2022 Pop 18+ in Tapestry Seg 8A,2022 Pop 18+ in Tapestry Seg 8B,2022 Pop 18+ in Tapestry Seg 8C,2022 Pop 18+ in Tapestry Seg 8D,2022 Pop 18+ in Tapestry Seg 8E,2022 Pop 18+ in Tapestry Seg 8F,2022 Pop 18+ in Tapestry Seg 8G,2022 Pop 18+ in Tapestry Seg 9A,2022 Pop 18+ in Tapestry Seg 9B,2022 Pop 18+ in Tapestry Seg 9C,2022 Pop 18+ in Tapestry Seg 9D,2022 Pop 18+ in Tapestry Seg 9E,2022 Pop 18+ in Tapestry Seg 9F,2022 Pop 18+ in Tapestry Seg 10A,2022 Pop 18+ in Tapestry Seg 10B,2022 Pop 18+ in Tapestry Seg 10C,2022 Pop 18+ in Tapestry Seg 10D,2022 Pop 18+ in Tapestry Seg 10E,2022 Pop 18+ in Tapestry Seg 11A,2022 Pop 18+ in Tapestry Seg 11B,2022 Pop 18+ in Tapestry Seg 11C,2022 Pop 18+ in Tapestry Seg 11D,2022 Pop 18+ in Tapestry Seg 11E,2022 Pop 18+ in Tapestry Seg 12A,2022 Pop 18+ in Tapestry Seg 12B,2022 Pop 18+ in Tapestry Seg 12C,2022 Pop 18+ in Tapestry Seg 12D,2022 Pop 18+ in Tapestry Seg 13A,2022 Pop 18+ in Tapestry Seg 13B,2022 Pop 18+ in Tapestry Seg 13C,2022 Pop 18+ in Tapestry Seg 13D,2022 Pop 18+ in Tapestry Seg 13E,2022 Pop 18+ in Tapestry Seg 14A,2022 Pop 18+ in Tapestry Seg 14B,2022 Pop 18+ in Tapestry Seg 14C,2022 Pop 18+ in Tapestry Seg 15
1,T.J. Maxx,FL,25.65297847,-80.41389258,1134979,"25.65297847,-80.41389258",2,7,0,0,0,0,0,0,1,0,950022,5873822,0,0,0,0,0,0,99353,0,10,6923197,3,9,21,9,1040.4426501035198,1044.136660787304,833.6129387872627,734.3359219748345,2450.6666666666665,2281.1428571428573,1618.857142857143,1274.75,0.0,6.0,0.0,2.0,0.0,0.0,3.0,33.0,1.0,6.0,2.0,4,2,1,10,7,4,1,3,3,1814934,851945,653898,4334927,8531770,8197810,111883,1291304,1382058,1,1,7,222.0,206380,5927.4,77599,151371,64216,38.8,72097,347217,44443,25468,1989,35292,17274,71700,170155,387504,30730780,54289583,61611,24766,53283,14190,164967,49974,174118,5000.8,87203,19574,56519,9734,55222,168267,68,55,70,164967,91,1306,7944,7714,0,0,10911,58,0,0,0,0,20283,25552,0,0,779,0,0,0,24,0,0,0,0,0,9571,23553,30484,0,0,4856,0,0,2426,0,0,1674,0,0,0,0,0,971,0,0,0,0,0,0,0,5399,3091,1054,0,2511,0,0,0,3236,1478,0,0,0,0,0,0,0
2,T.J. Maxx,FL,29.6620785,-82.42281801,827305,"29.6620785,-82.42281801",0,4,1,0,0,0,0,0,1,0,0,3482123,281701,0,0,0,0,0,30340,0,6,3794164,4,20,25,14,1020.0821973538632,1138.1361948494805,947.0686076231144,722.0262908613049,1801.75,1598.95,1181.0,936.5833333333334,10.0,5.0,0.0,1.0,0.0,0.0,1.0,59.0,0.0,4.0,0.0,1,1,2,2,2,3,0,0,1,260325,263347,1363458,520098,1293634,5894647,,,527287,0,0,1,15.0,69348,1912.2,61917,60021,53321,30.9,31150,293699,12929,15519,1988,11010,11909,105335,77699,276647,12994003,22341225,19664,8787,18957,6327,57195,16676,72684,2004.2,24431,5484,26843,11965,39716,10134,102,101,102,57195,1302,0,0,4220,6767,754,0,0,0,0,0,0,1276,0,0,0,6022,0,0,515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2205,0,0,0,0,0,2536,0,0,3698,0,0,0,0,0,0,0,9162,2919,0,0,0,0,0,0,0,0,0,0,0,0,3646,12173,0
3,T.J. Maxx,FL,30.49295275,-87.22688285,817421,"30.49295275,-87.22688285",0,2,1,0,0,1,0,2,1,0,0,2032278,675316,0,0,715282,0,741829,65672,0,7,4230377,0,14,21,23,,1151.7680170286258,868.7935548652497,787.6694346711096,,1719.6666666666667,1138.7857142857142,1056.7,3.0,15.0,0.0,6.0,0.0,0.0,0.0,48.0,2.0,7.0,1.0,1,1,3,3,4,5,0,1,1,282514,419942,2195738,611523,2307028,10529366,,505569,277451,0,0,4,80.0,65917,2144.7,51079,45724,43363,37.4,30260,209031,13089,14217,1979,8588,4791,85242,137788,274194,8736114,15753172,19305,8134,16103,5845,54090,16618,81412,2648.8,20512,7117,25290,15679,39420,5170,133,143,132,54090,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,619,4929,0,418,4228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1310,0,0,18917,0,0,0,0,0,2607,0,0,0,0,0,0,0,1428,0,6580,1171,1699,751,5390,1715,0,0,0,0,0,0,2301,0,0
4,T.J. Maxx,FL,26.58756608,-80.14509673,802937,"26.58756608,-80.14509673",2,6,0,0,0,2,0,1,0,0,680423,4696322,0,0,0,1337684,0,713399,0,0,11,7427828,3,5,8,4,1169.8429406268622,1007.5220846856976,1116.655238095238,833.6777777777778,2333.5,1725.75,,1563.0,0.0,7.0,0.0,2.0,0.0,1.0,1.0,11.0,2.0,4.0,3.0,3,2,3,8,6,7,0,3,3,1152019,972024,1945726,2718864,6582366,12109534,,1222512,1483593,0,0,2,56.0,222284,4184.3,70971,232572,59139,44.6,91501,302645,62954,20133,1989,34290,19159,28288,66496,161853,37736128,65267495,66475,27168,54866,17573,177111,52884,167631,3155.5,91975,20676,57037,39454,110160,72244,59,51,60,177111,0,0,10030,2143,3769,0,1113,0,0,0,0,0,21025,16743,0,3522,2130,0,1576,769,1578,0,116,0,0,0,2723,0,23613,3784,0,3348,0,0,1782,0,1545,4480,0,12905,3129,26739,2562,4569,0,0,0,0,3445,0,0,2258,6011,0,0,0,0,266,0,1076,0,8362,0,0,0,0,0,0
5,T.J. Maxx,FL,28.55369117,-81.19964538,768982,"28.55369117,-81.19964538",2,2,0,0,0,1,0,1,2,0,321943,1787405,0,0,0,805585,0,322481,109625,0,8,3347039,9,23,23,1,1043.160576412945,1182.5755001741968,1022.3143583228934,,2027.888888888889,2305.4210526315787,1856.875,,16.0,10.0,0.0,2.0,0.0,0.0,1.0,45.0,2.0,5.0,4.0,2,3,3,7,4,4,2,2,3,830281,1248067,2256113,2610499,3341482,9032201,591803,706639,726665,1,1,0,0.0,100242,3743.3,62831,68379,54151,30.2,36208,276116,17851,16252,1995,13825,6573,60149,102284,154766,13458688,22861394,29972,12445,26030,7530,82433,26941,93041,3474.4,32369,8613,41361,10927,46679,41141,86,80,87,82433,0,0,0,0,0,0,0,0,0,0,0,0,0,5348,0,609,0,0,0,0,0,0,0,0,0,0,19897,0,13439,0,0,23,0,0,253,0,0,0,0,0,0,0,884,0,0,0,0,0,36,0,0,9944,15507,0,0,0,0,0,0,0,0,0,0,0,0,8389,8103,0
6,T.J. Maxx,FL,26.15151895,-80.32182243,697556,"26.15151895,-80.32182243",1,4,1,0,0,0,0,1,1,0,321452,3537720,355692,0,0,0,0,551755,89861,0,8,4856480,6,11,4,0,1074.9846078710193,1025.9320085747022,976.8952991452992,,2464.1666666666665,2199.5,1990.0,,0.0,4.0,0.0,1.0,0.0,0.0,1.0,17.0,2.0,2.0,0.0,4,2,3,9,9,8,2,2,4,1864293,813393,1761226,3247290,8523138,15118024,801579,749340,1226825,3,1,2,22.0,104460,4092.0,80802,181230,66546,41.3,42145,309002,27545,11797,1987,18471,9772,195179,231565,216547,18380540,32600513,31726,12777,27218,8542,83789,25104,99844,3911.2,43682,11397,26904,18166,43525,42034,86,45,93,83789,0,1833,0,9845,0,0,0,0,4772,0,0,0,11202,22229,731,0,335,0,0,206,0,0,0,0,0,0,0,0,6612,0,0,0,235,0,9486,0,0,0,0,0,18,5690,0,4358,0,0,0,0,2733,0,0,896,2251,0,0,0,0,0,0,357,0,0,0,0,0,0,0,0
7,T.J. Maxx,FL,28.75430353,-81.34597083,673708,"28.75430353,-81.34597083",0,5,1,0,0,0,0,2,1,0,0,4068371,323129,0,0,0,0,658099,75196,0,9,5124795,9,13,10,1,1064.132457860355,1019.6787875414957,981.9183878678575,,1781.7777777777778,1724.6,1668.3333333333333,,0.0,2.0,0.0,1.0,0.0,0.0,1.0,26.0,0.0,5.0,2.0,1,2,4,8,4,4,2,3,3,604898,866346,2316999,2111043,3344149,7158778,667451,971228,966756,1,1,3,104.0,88243,2190.4,81777,176520,67598,40.1,37351,317754,21490,13259,1992,18583,9785,46658,144161,256761,18234337,32661617,26704,10681,24262,7834,70483,20367,101791,2526.7,40096,8513,21416,9531,51712,19323,101,94,102,70483,4495,2155,0,2622,6222,0,0,0,2959,0,0,0,3868,12158,1619,934,5613,1378,2827,0,821,707,0,0,0,0,0,0,877,0,0,0,0,0,8679,0,34,38,0,0,2208,0,0,0,0,0,0,0,0,0,0,2467,6784,0,0,0,947,0,72,0,0,0,0,0,0,0,0,0
8,T.J. Maxx,FL,27.107679,-82.43585655,659108,"27.107679,-82.43585655",1,4,0,0,0,0,0,1,1,0,127727,2983934,0,0,0,0,0,236004,67242,0,7,3414907,0,3,9,1,,894.4968741119637,737.4749431983946,,,1958.0,1252.0,,0.0,2.0,0.0,3.0,0.0,0.0,0.0,8.0,1.0,4.0,0.0,2,1,2,0,1,2,0,0,1,409393,234142,1314260,,659925,3312328,,,127309,0,0,0,0.0,56294,1891.2,68385,328091,57406,66.8,38525,293912,22771,5983,1981,11208,7420,20102,66174,278241,13236196,22670488,18491,8760,14702,6154,51996,14635,62381,2095.7,29602,7789,8713,524,51363,2572,59,36,62,51996,0,0,0,0,164,0,0,0,0,0,0,0,0,0,0,884,0,0,725,9534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,876,0,7186,0,24392,6414,1723,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,T.J. Maxx,FL,30.50322099,-84.24983703,629904,"30.50322099,-84.24983703",0,2,1,0,1,0,0,0,2,0,0,2393824,391313,0,760549,0,0,0,126553,0,6,3672239,0,16,19,1,,1018.7562817858852,935.2172904229035,1161.6290322580646,,1287.0,1117.3076923076924,1171.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,33.0,1.0,2.0,0.0,1,1,2,3,2,5,1,0,1,195313,300310,1618251,820709,1678400,8547819,335144,,427271,1,1,1,29.0,63876,1548.2,77829,177711,65276,40.7,30477,314312,16566,11595,1984,14461,13501,29099,174065,211864,14792676,26032305,19305,8322,18134,6117,52412,14669,79263,1921.2,26714,6808,17923,11608,43273,4312,126,97,130,52412,1427,2464,0,6405,10842,0,0,0,0,0,512,0,163,1272,0,2218,2930,0,0,0,14,0,22,0,0,0,0,0,0,0,0,0,0,2314,3593,0,0,5406,0,0,403,0,0,0,0,0,0,0,0,0,0,6746,0,388,0,0,0,0,0,0,0,0,0,0,0,5293,0,0
10,T.J. Maxx,FL,28.01355971,-82.73333397,625093,"28.01355971,-82.73333397",1,5,1,1,0,1,1,1,0,1,338981,5249022,314702,240257,0,613942,1112705,106745,0,264749,12,8241103,3,13,14,11,903.179595959596,984.5554021676812,896.5154194441706,781.724377642693,1759.3333333333333,1770.3846153846155,1501.8333333333333,1163.4285714285713,0.0,5.0,0.0,3.0,0.0,0.0,1.0,38.0,2.0,1.0,0.0,3,1,5,7,4,6,1,2,3,748304,627180,3321979,1970812,3754386,10142566,477152,726572,847057,2,1,4,95.0,166443,3775.4,62052,174682,53247,51.3,86738,260211,52351,24883,1980,29504,15287,122421,226986,396054,31477528,56800652,51120,22299,44891,16660,141891,41469,166590,3778.8,69426,22617,40496,8392,127029,22955,78,58,82,141891,0,0,0,4654,5314,1649,0,0,1263,0,0,0,0,1542,0,7240,4112,9661,7614,13142,693,0,2526,0,0,0,35,0,1195,0,0,0,0,2403,3537,0,6866,7302,92,0,8460,12501,13592,14272,0,0,0,0,0,0,0,1871,6018,2799,0,239,0,1299,0,0,0,0,0,0,0,0,0,0
11,T.J. Maxx,FL,25.74593131,-80.33410972,596128,"25.74593131,-80.33410972",1,7,0,0,0,1,0,2,0,0,464096,7382079,0,0,0,902598,0,1428109,0,0,11,10176882,8,8,30,18,946.5279520764168,958.6657671301786,756.916287593325,702.6308349641502,2613.2,2305.1428571428573,1552.8823529411766,1372.375,6.0,11.0,0.0,6.0,0.0,0.0,1.0,48.0,2.0,8.0,6.0,6,2,2,12,11,6,2,5,7,3232345,851945,1496295,5039254,14221303,15477546,412916,2772964,2888650,1,1,3,137.0,237182,6316.7,64661,111178,55219,43.8,88196,366109,47209,36844,1974,39829,20681,317523,372208,492492,35052221,61023835,75195,29309,60174,14854,197213,63354,257401,6855.1,93279,28508,67269,3636,62029,208404,101,82,105,197213,2463,0,730,674,4033,3042,14098,139,0,0,469,112,0,1577,0,2395,0,4824,0,3777,0,0,0,0,0,0,0,35999,15246,0,0,71647,3713,5244,2057,0,0,3673,0,0,6842,0,0,1347,0,0,0,0,0,0,0,2742,450,84,0,0,0,0,0,4514,0,2130,0,0,0,0,3189,0
12,T.J. Maxx,FL,26.31583737,-80.15573678,592478,"26.31583737,-80.15573678",1,6,0,0,0,1,0,1,0,0,297929,4906099,0,0,0,944260,0,466128,0,0,9,6614416,10,35,18,2,1130.8124358217106,1002.634063797332,827.5088630395592,711.7288557213931,2597.1111111111113,2144.866666666667,1669.125,1550.0,0.0,10.0,0.0,5.0,0.0,1.0,4.0,57.0,3.0,5.0,0.0,2,2,3,9,8,9,4,2,6,845900,908392,2285727,3039771,8023793,16287436,1618352,733275,2027665,2,1,4,152.0,133860,4308.5,65906,156675,56201,46.0,66011,328532,36430,20635,1984,26302,13823,43267,237698,252807,25454284,44866979,40904,16746,35757,12409,110909,32994,135435,4359.2,53984,15141,36555,18325,71703,30334,70,52,74,110909,2036,82,0,753,746,0,254,0,2844,0,0,0,14809,10240,2365,0,6667,1591,1608,0,109,0,0,0,0,0,0,0,1779,0,0,0,70,2267,7964,0,0,1450,0,647,6847,9962,2136,11601,0,0,0,0,1632,0,0,4811,8414,2766,0,981,0,1102,2374,0,0,0,0,0,0,0,0,2
13,T.J. Maxx,FL,25.86853738,-80.29271011,584261,"25.86853738,-80.29271011",0,4,0,0,0,1,0,0,0,0,0,4383133,0,0,0,1214929,0,0,0,0,5,5598062,2,5,20,95,1129.030199888607,962.0091618906907,881.7016430598167,716.7918500814777,2097.0,1978.0,1641.909090909091,1314.3636363636363,0.0,39.0,0.0,19.0,1.0,0.0,5.0,89.0,7.0,20.0,6.0,9,2,2,15,12,11,3,6,6,4313983,868912,1571774,5940120,15196716,25197075,1098003,2280133,2063242,1,1,2,146.0,236468,7183.2,42251,26285,36569,43.6,84730,303682,35253,46600,1972,22547,8938,197764,386329,982301,22442880,38491488,76246,29442,53833,12770,193779,68750,246151,7477.3,91599,26590,66933,9334,58231,216063,100,81,103,193779,0,72,681,586,0,0,4485,0,0,0,0,0,18,715,0,0,0,0,0,0,0,0,0,0,0,0,0,25316,7133,783,0,121637,2154,0,3250,0,0,1221,0,0,711,0,0,0,0,0,0,0,0,0,930,1567,0,0,1494,1648,0,0,199,0,19180,0,0,0,0,0,0,0
14,T.J. Maxx,FL,27.84696052,-82.64561699,528605,"27.84696052,-82.64561699",1,4,0,0,0,1,0,2,1,0,113889,4007978,0,0,0,442506,0,829954,139476,0,9,5533803,8,21,22,8,972.8810268382924,951.5991784028254,840.770001569756,725.5801161155282,2123.5,1903.3157894736842,1394.3076923076924,1368.4,0.0,7.0,0.0,1.0,0.0,0.0,3.0,49.0,2.0,7.0,1.0,4,1,5,4,7,6,3,2,5,1218192,464864,3306709,1151210,6211099,10973561,1083240,786990,1242034,1,1,2,66.0,115119,3632.9,63643,106276,54111,44.2,61392,245204,32070,23060,1972,19919,11151,29402,332388,306788,22947750,41046837,34275,14811,30223,11650,96036,29820,146276,4616.2,41030,16116,35441,9057,82983,13591,134,93,141,96036,12,0,0,2144,1065,1854,0,0,1107,0,3548,0,0,0,0,1339,2695,1508,15001,815,0,0,0,0,0,272,0,0,0,0,0,0,0,6511,0,0,6711,5974,2162,0,1152,4666,2431,1717,1485,0,0,0,1580,0,0,10892,1172,3096,0,0,8817,6310,0,0,0,0,0,0,0,0,0,0
15,T.J. Maxx,FL,30.60089884,-87.12569893,505569,"30.60089884,-87.12569893",0,1,0,0,0,0,0,1,0,0,0,740034,0,0,0,0,0,330623,0,0,2,1070657,0,0,2,1,,,920.4098360655737,758.695652173913,,,,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1,1,2,2,1,2,0,1,1,282514,419942,1562453,493011,571208,5159362,,817421,277451,1,1,1,15.0,23971,1231.0,64767,140956,54000,39.0,9393,207954,6296,2586,1992,2895,1510,4374,4796,96189,3224683,6036959,7436,2942,5914,1978,18696,6040,21928,1126.0,11113,2344,5077,997,19499,1442,71,78,70,18696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10827,0,0,0,5860,16,532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,668,0,0,0,0,0,0,0,230,0,0,0,562,0,0,0,0,0,0,0,0,0,0
16,T.J. Maxx,FL,30.42708329,-86.64275731,502766,"30.42708329,-86.64275731",0,3,0,0,0,0,0,2,0,0,0,2811557,0,0,0,0,0,782147,0,0,5,3593704,1,6,7,14,993.8340611353711,1102.645925831347,961.529094714809,793.9514277928124,1800.0,1667.0,1422.0,1037.8,0.0,5.0,0.0,4.0,0.0,0.0,0.0,26.0,0.0,1.0,1.0,0,1,1,1,1,1,0,0,0,,333095,813075,462316,540177,2418750,,,,2,1,2,65.0,53207,3237.4,57861,81340,50815,39.3,24503,244361,11606,10919,1980,7134,3902,24902,127212,159652,8298634,14903577,15947,6858,13513,4875,42593,13221,60373,3673.4,19911,6604,14584,6715,32707,8679,97,84,99,42593,0,0,0,0,212,0,0,0,0,0,0,0,0,0,2394,978,0,6083,1497,4274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9629,0,0,8704,0,0,763,0,0,1825,1273,0,0,0,0,0,0,0,2364,2150,0,0,0,0,0,0,0,0,0,0,446,0,0,0
17,T.J. Maxx,FL,28.09361164,-81.97052271,501134,"28.09361164,-81.97052271",1,3,0,0,0,0,0,1,0,0,285867,2992392,0,0,0,0,0,416336,0,0,5,3694595,1,12,11,17,1057.7407407407406,992.8971255444986,895.8680641211627,882.5233829224685,1737.0,1310.5,1271.6666666666667,1168.0,0.0,20.0,0.0,4.0,0.0,0.0,1.0,28.0,3.0,7.0,3.0,1,1,3,2,2,3,1,0,1,658119,555994,2257224,911264,1700526,7093407,374706,,559641,2,1,3,118.0,56821,2110.3,50162,66352,41672,40.8,24829,197766,11926,10619,1987,5153,2787,56242,60012,124684,6708610,12165448,15559,7031,12390,4694,44779,15093,67806,2518.3,20638,5772,16215,15439,27888,13144,150,115,156,44779,0,0,0,0,0,0,0,0,0,0,0,0,49,0,110,0,0,30,904,3967,262,1139,0,0,0,845,0,0,0,0,637,0,0,0,4513,0,1817,0,5850,0,0,3257,4787,0,667,116,1882,0,2523,0,0,4019,0,0,1794,0,73,2191,3141,0,0,0,207,0,0,0,0,0
18,T.J. Maxx,FL,30.18750453,-85.66889004,488801,"30.18750453,-85.66889004",0,2,0,0,0,0,0,1,0,0,0,2131054,0,0,0,0,0,397299,0,0,3,2528353,2,5,16,19,1321.3059523809525,1179.4302600539556,1021.3343345389088,778.0402654422016,1400.5,1537.5,1119.2857142857142,950.8333333333334,0.0,18.0,1.0,3.0,0.0,1.0,0.0,32.0,2.0,5.0,3.0,1,1,2,1,2,4,1,0,0,237934,286737,1608314,368986,1473849,8436315,436436,,,0,0,3,37.0,32176,1746.1,53707,83508,46536,42.0,16152,210981,7783,5382,1979,3635,2402,5897,77204,164102,4243485,7823353,9292,3846,7802,2901,25747,8081,50998,2767.5,10803,4793,8605,5736,20494,3744,203,168,209,25747,0,0,0,0,1814,0,0,0,0,0,0,0,0,0,245,1261,3245,0,2076,3363,0,0,0,0,0,481,0,0,0,0,0,0,0,0,395,0,998,3010,224,0,0,0,0,153,375,0,0,0,749,0,0,0,1264,894,1792,0,0,1461,1946,0,0,0,0,0,0,0,0,0
19,T.J. Maxx,FL,25.48055461,-80.44006876,487096,"25.48055461,-80.44006876",1,3,0,0,0,2,0,1,0,0,296086,3553979,0,0,0,1168526,0,410546,0,0,7,5429137,2,14,37,68,996.8142857142857,1098.5371730702389,910.1147753871318,717.1230371453543,1685.0,1691.0,1096.0,960.6,0.0,65.0,0.0,9.0,0.0,2.0,3.0,64.0,7.0,43.0,7.0,1,1,1,3,2,3,0,0,1,384789,321619,656538,1327959,2356279,5652339,,,414816,0,0,2,33.0,144067,4787.1,53430,49183,46364,31.7,46218,288343,20885,23236,1997,13557,5830,41514,41432,111749,14858454,25637702,39107,15151,29825,9299,102317,35281,117241,3895.7,48565,11278,44060,26173,38430,101535,158,253,142,102317,0,0,0,1908,0,0,0,0,0,0,0,0,808,6229,3826,0,0,0,0,0,0,0,0,0,0,0,22463,2451,11946,6612,3534,2650,0,0,0,0,0,0,0,0,0,0,388,0,0,0,0,0,0,0,0,0,4948,0,1198,0,0,0,3158,0,2394,10473,16906,427,0,0,0,0
20,T.J. Maxx,FL,29.1655025,-82.17087219,486906,"29.1655025,-82.17087219",1,2,0,0,0,0,0,0,1,0,217756,1906106,0,0,0,0,0,0,122214,0,4,2246076,1,6,11,12,1223.3684210526317,1091.005946658431,884.2010259461634,845.5433364069464,1962.0,1632.0,1367.5,1070.5,0.0,8.0,0.0,3.0,0.0,0.0,0.0,22.0,0.0,7.0,1.0,1,1,3,2,1,4,1,0,1,333372,420439,2491908,605204,992389,8517883,461838,,394080,2,1,3,59.0,47745,1166.0,48682,45113,41146,41.7,21623,216772,8403,10764,1984,6114,3636,74919,173631,285283,6517709,11771295,13828,5878,11146,3912,38336,11971,92685,2263.5,15290,5484,15043,9981,26785,9064,196,190,197,38336,0,0,0,0,3286,0,0,0,0,0,0,0,0,0,4345,0,762,0,291,0,0,0,862,0,0,0,0,0,0,569,0,0,0,0,0,0,0,4687,2914,0,0,651,844,6104,0,0,0,0,0,0,0,0,0,5881,2207,0,1078,349,1644,0,0,1864,0,0,0,0,0,0
21,T.J. Maxx,FL,27.94218865,-82.32392391,483380,"27.94218865,-82.32392391",2,4,0,1,0,0,0,1,0,0,467862,3574433,0,380139,0,0,0,344668,0,0,8,4767102,11,34,31,7,1062.4632283354363,1017.2139071530064,891.1311470726403,853.9655172413793,1978.8181818181818,1803.5185185185185,1371.9285714285713,1244.0,0.0,22.0,0.0,3.0,0.0,0.0,2.0,69.0,1.0,6.0,7.0,1,1,3,3,3,6,1,0,1,470061,552378,2030836,953981,2460450,10982152,413292,,482310,2,1,7,169.0,130364,2951.9,61730,63589,53594,34.9,53695,224697,22936,27916,1995,19647,8670,166954,221721,346649,19438528,33770932,38077,15880,31656,10857,101763,32863,154073,3488.8,44321,14548,42125,28467,57799,41121,115,133,112,101763,0,0,0,0,0,0,0,0,0,0,0,0,2038,8021,67,5218,0,325,1825,852,250,0,733,0,0,0,13169,826,3367,1321,0,1292,0,0,24588,0,1615,3493,1825,0,0,0,105,0,0,0,0,0,3925,1875,0,14548,9469,0,0,468,550,0,0,0,0,0,0,0,0,0,0,0
