Rank,Name,State,Lat,Long,Total_Visits,client_coords,num_starbucks,has_starbucks
62,Marshalls,FL,27.96626249,-82.72824974,315075,"27.96626249,-82.72824974",2,1
63,Marshalls,FL,26.01274602,-80.25153526,309341,"26.01274602,-80.25153526",0,0
64,Marshalls,FL,27.46365197,-82.63403533,305582,"27.46365197,-82.63403533",1,1
65,Marshalls,FL,26.6160286,-80.14417633,302981,"26.6160286,-80.14417633",2,1
66,Marshalls,FL,28.66364034,-81.38252103,287427,"28.66364034,-81.38252103",1,1
67,Marshalls,FL,28.26592456,-81.3308053,285714,"28.26592456,-81.3308053",0,0
68,Marshalls,FL,25.8314203,-80.25975734,283748,"25.8314203,-80.25975734",0,0
69,Marshalls,FL,27.83623061,-82.68780706,279016,"27.83623061,-82.68780706",2,1
70,Marshalls,FL,30.48203772,-87.20826445,277451,"30.48203772,-87.20826445",0,0
71,Marshalls,FL,30.31105405,-81.73429752,268583,"30.31105405,-81.73429752",0,0
72,Marshalls,FL,28.19081911,-82.45722617,268041,"28.19081911,-82.45722617",0,0
73,Marshalls,FL,26.23680797,-80.20107708,266804,"26.23680797,-80.20107708",0,0
74,Marshalls,FL,29.26168687,-81.02659535,264460,"29.26168687,-81.02659535",0,0
75,Marshalls,FL,26.06015291,-81.69784683,242889,"26.06015291,-81.69784683",1,1
76,Marshalls,FL,28.33256231,-81.47381297,242170,"28.33256231,-81.47381297",1,1
77,Marshalls,FL,28.54893327,-81.34961019,236513,"28.54893327,-81.34961019",2,1
78,Marshalls,FL,28.55435066,-81.47929418,235265,"28.55435066,-81.47929418",0,0
79,Marshalls,FL,25.93840204,-80.2473497,233046,"25.93840204,-80.2473497",0,0
80,Marshalls,FL,26.18834769,-80.20689326,223103,"26.18834769,-80.20689326",0,0
81,Marshalls,FL,30.14840093,-81.75340135,211309,"30.14840093,-81.75340135",1,1
82,Marshalls,FL,27.78893025,-82.73017403,201749,"27.78893025,-82.73017403",2,1
83,Marshalls,FL,26.11916123,-80.17708116,188704,"26.11916123,-80.17708116",0,0
84,Marshalls,FL,25.77398514,-80.32171357,175715,"25.77398514,-80.32171357",0,0
85,Marshalls,FL,28.65364973,-81.20987675,150855,"28.65364973,-81.20987675",0,0
86,Marshalls,FL,27.07493951,-82.42337358,127309,"27.07493951,-82.42337358",1,1
87,Marshalls,FL,27.89163011,-82.78264183,114594,"27.89163011,-82.78264183",1,1
1,Marshalls,AL,34.67480735,-86.5457253,579489,"34.67480735,-86.5457253",1,1
2,Marshalls,AL,30.37788523,-87.68632428,560818,"30.37788523,-87.68632428",1,1
3,Marshalls,AL,32.3596849,-86.15858661,459410,"32.3596849,-86.15858661",2,1
4,Marshalls,AL,30.67761061,-88.12260762,418587,"30.67761061,-88.12260762",2,1
5,Marshalls,AL,33.36105771,-86.85386633,395458,"33.36105771,-86.85386633",1,1
6,Marshalls,AL,33.63910488,-86.62771501,330430,"33.63910488,-86.62771501",0,0
7,Marshalls,AL,34.75430438,-86.74775761,266024,"34.75430438,-86.74775761",1,1
