Rank,Name,State,Lat,Long,Total_Visits,client_coords,num_stores_Aldi,num_stores_Food_City,num_stores_Food_Lion_Grocery_Store,num_stores_Ingles,num_stores_Kroger,num_stores_Piggly_Wiggly,num_stores_Publix,num_stores_Sprouts_Farmers_Market,num_stores_The_Fresh_Market,num_stores_Total_Wine_&_More,num_stores_Trader_Joe's,num_stores_Walmart_Neighborhood_Market,num_stores_Whole_Foods_Market,num_stores_Winn-Dixie,num_stores_ABC_Fine_Wine_&_Spirits,total_visit_Aldi,total_visit_Food_City,total_visit_Food_Lion_Grocery_Store,total_visit_Ingles,total_visit_Kroger,total_visit_Piggly_Wiggly,total_visit_Publix,total_visit_Sprouts_Farmers_Market,total_visit_The_Fresh_Market,total_visit_Total_Wine_&_More,total_visit_Trader_Joe's,total_visit_Walmart_Neighborhood_Market,total_visit_Whole_Foods_Market,total_visit_Winn-Dixie,total_visit_ABC_Fine_Wine_&_Spirits,num_grocery_stores,total_grocery_visit
4,T.J. Maxx,FL,26.58756608,-80.14509673,802937,"26.58756608,-80.14509673",2,0,0,0,0,0,6,0,0,0,0,2,0,1,0,680423,0,0,0,0,0,4696322,0,0,0,0,1337684,0,713399,0,11,7427828
5,T.J. Maxx,FL,28.55369117,-81.19964538,768982,"28.55369117,-81.19964538",2,0,0,0,0,0,2,0,0,0,0,1,0,1,2,321943,0,0,0,0,0,1787405,0,0,0,0,805585,0,322481,109625,8,3347039
6,T.J. Maxx,FL,26.15151895,-80.32182243,697556,"26.15151895,-80.32182243",1,0,0,0,0,0,4,0,1,0,0,0,0,1,1,321452,0,0,0,0,0,3537720,0,355692,0,0,0,0,551755,89861,8,4856480
7,T.J. Maxx,FL,28.75430353,-81.34597083,673708,"28.75430353,-81.34597083",0,0,0,0,0,0,5,0,1,0,0,0,0,2,1,0,0,0,0,0,0,4068371,0,323129,0,0,0,0,658099,75196,9,5124795
8,T.J. Maxx,FL,27.107679,-82.43585655,659108,"27.107679,-82.43585655",1,0,0,0,0,0,4,0,0,0,0,0,0,1,1,127727,0,0,0,0,0,2983934,0,0,0,0,0,0,236004,67242,7,3414907
9,T.J. Maxx,FL,30.50322099,-84.24983703,629904,"30.50322099,-84.24983703",0,0,0,0,0,0,2,0,1,0,1,0,0,0,2,0,0,0,0,0,0,2393824,0,391313,0,760549,0,0,0,126553,6,3672239
10,T.J. Maxx,FL,28.01355971,-82.73333397,625093,"28.01355971,-82.73333397",1,0,0,0,0,0,5,1,1,1,0,1,1,1,0,338981,0,0,0,0,0,5249022,264749,314702,240257,0,613942,1112705,106745,0,12,8241103
11,T.J. Maxx,FL,25.74593131,-80.33410972,596128,"25.74593131,-80.33410972",1,0,0,0,0,0,7,0,0,0,0,1,0,2,0,464096,0,0,0,0,0,7382079,0,0,0,0,902598,0,1428109,0,11,10176882
12,T.J. Maxx,FL,26.31583737,-80.15573678,592478,"26.31583737,-80.15573678",1,0,0,0,0,0,6,0,0,0,0,1,0,1,0,297929,0,0,0,0,0,4906099,0,0,0,0,944260,0,466128,0,9,6614416
13,T.J. Maxx,FL,25.86853738,-80.29271011,584261,"25.86853738,-80.29271011",0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4383133,0,0,0,0,1214929,0,0,0,5,5598062
14,T.J. Maxx,FL,27.84696052,-82.64561699,528605,"27.84696052,-82.64561699",1,0,0,0,0,0,4,0,0,0,0,1,0,2,1,113889,0,0,0,0,0,4007978,0,0,0,0,442506,0,829954,139476,9,5533803
15,T.J. Maxx,FL,30.60089884,-87.12569893,505569,"30.60089884,-87.12569893",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,740034,0,0,0,0,0,0,330623,0,2,1070657
16,T.J. Maxx,FL,30.42708329,-86.64275731,502766,"30.42708329,-86.64275731",0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2811557,0,0,0,0,0,0,782147,0,5,3593704
17,T.J. Maxx,FL,28.09361164,-81.97052271,501134,"28.09361164,-81.97052271",1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,285867,0,0,0,0,0,2992392,0,0,0,0,0,0,416336,0,5,3694595
18,T.J. Maxx,FL,30.18750453,-85.66889004,488801,"30.18750453,-85.66889004",0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2131054,0,0,0,0,0,0,397299,0,3,2528353
19,T.J. Maxx,FL,25.48055461,-80.44006876,487096,"25.48055461,-80.44006876",1,0,0,0,0,0,3,0,0,0,0,2,0,1,0,296086,0,0,0,0,0,3553979,0,0,0,0,1168526,0,410546,0,7,5429137
20,T.J. Maxx,FL,29.1655025,-82.17087219,486906,"29.1655025,-82.17087219",1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,217756,0,0,0,0,0,1906106,0,0,0,0,0,0,0,122214,4,2246076
21,T.J. Maxx,FL,27.94218865,-82.32392391,483380,"27.94218865,-82.32392391",2,0,0,0,0,0,4,0,0,1,0,0,0,1,0,467862,0,0,0,0,0,3574433,0,0,380139,0,0,0,344668,0,8,4767102
22,T.J. Maxx,FL,26.20787927,-81.76659535,474058,"26.20787927,-81.76659535",1,0,0,0,0,0,4,0,1,1,0,1,0,0,0,273493,0,0,0,0,0,3173622,0,203764,257345,0,797549,0,0,0,8,4705773
23,T.J. Maxx,FL,26.72314373,-80.09031477,471527,"26.72314373,-80.09031477",1,0,0,0,0,0,4,0,0,0,0,0,1,0,0,300961,0,0,0,0,0,3147841,0,0,0,0,0,886823,0,0,6,4335625
24,T.J. Maxx,FL,30.31812252,-81.49467181,468333,"30.31812252,-81.49467181",0,0,0,0,0,0,2,1,1,0,0,1,0,3,0,0,0,0,0,0,0,1780342,297087,334744,0,0,487690,0,1134206,0,8,4034069
25,T.J. Maxx,FL,26.54322828,-81.87297893,462091,"26.54322828,-81.87297893",1,0,0,0,0,0,4,0,1,1,0,1,1,1,1,192245,0,0,0,0,0,3173713,0,327219,422594,0,489214,684502,257582,63611,11,5610680
26,T.J. Maxx,FL,28.00274354,-81.71699889,452901,"28.00274354,-81.71699889",1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,276836,0,0,0,0,0,2366221,0,0,0,0,0,0,0,49007,5,2692064
27,T.J. Maxx,FL,27.83769786,-82.78558611,447977,"27.83769786,-82.78558611",1,0,0,0,0,0,5,1,0,1,0,0,0,4,1,253964,0,0,0,0,0,3985741,225132,0,372268,0,0,0,1293355,66878,13,6197338
28,T.J. Maxx,FL,28.34259836,-81.43024952,440521,"28.34259836,-81.43024952",0,0,0,0,0,0,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,2416298,0,259322,0,0,836218,0,0,102408,6,3614246
29,T.J. Maxx,FL,25.94449895,-80.16804489,437395,"25.94449895,-80.16804489",1,0,0,0,0,0,6,0,0,2,0,0,1,4,1,307173,0,0,0,0,0,5855134,0,0,1022239,0,0,1208356,1959059,104558,15,10456519
30,T.J. Maxx,FL,28.35488355,-80.69962881,436561,"28.35488355,-80.69962881",1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,92383,0,0,0,0,0,1975918,0,0,0,0,0,0,0,44295,4,2112596
31,T.J. Maxx,FL,28.85592895,-82.38808677,436022,"28.85592895,-82.38808677",0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,947904,0,0,0,0,0,0,336688,67229,3,1351821
32,T.J. Maxx,FL,27.9343907,-82.5041293,433619,"27.9343907,-82.5041293",0,0,0,0,0,0,5,1,1,1,1,1,0,1,2,0,0,0,0,0,0,3980774,282179,471439,448635,824432,762569,0,303621,179835,13,7253484
33,T.J. Maxx,FL,28.98319412,-81.2970863,433588,"28.98319412,-81.2970863",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1340854,0,0,0,0,636194,0,0,0,2,1977048
34,T.J. Maxx,FL,26.05054556,-80.1584286,432420,"26.05054556,-80.1584286",1,0,0,0,0,0,5,0,0,0,0,1,0,2,0,383014,0,0,0,0,0,4879932,0,0,0,0,764185,0,677737,0,9,6704868
35,T.J. Maxx,FL,28.09657182,-82.50415771,426394,"28.09657182,-82.50415771",1,0,0,0,0,0,5,1,1,0,0,0,1,1,0,182008,0,0,0,0,0,3837270,251894,280584,0,0,0,554225,401345,0,10,5507326
36,T.J. Maxx,FL,27.3912488,-82.45129698,425778,"27.3912488,-82.45129698",0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,632409,0,281977,365584,0,0,829590,0,0,4,2109560
37,T.J. Maxx,FL,26.4087816,-81.80781382,424396,"26.4087816,-81.80781382",0,0,0,0,0,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1120521,233243,0,201825,0,0,0,0,37980,5,1593569
38,T.J. Maxx,FL,28.24525552,-82.3519224,422295,"28.24525552,-82.3519224",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,945186,0,0,0,0,0,0,447786,0,2,1392972
39,T.J. Maxx,FL,27.17634489,-80.23343587,420282,"27.17634489,-80.23343587",1,0,0,0,0,0,2,1,1,0,0,0,0,1,1,313396,0,0,0,0,0,1062574,157248,349424,0,0,0,0,417173,55192,7,2355007
40,T.J. Maxx,FL,26.67048683,-80.20063747,420064,"26.67048683,-80.20063747",0,0,0,0,0,0,4,1,1,1,1,0,1,0,1,0,0,0,0,0,0,3262178,350351,249086,273927,708994,0,907618,0,66928,10,5819082
41,T.J. Maxx,FL,26.00591221,-80.29370672,417530,"26.00591221,-80.29370672",1,0,0,0,0,0,8,1,1,0,1,0,0,0,1,180401,0,0,0,0,0,6863001,263098,397661,0,920914,0,0,0,118505,13,8743580
42,T.J. Maxx,FL,30.17392564,-81.62531711,414246,"30.17392564,-81.62531711",1,0,0,0,0,0,3,0,1,0,1,1,1,2,1,192515,0,0,0,0,0,2197481,0,224047,0,496065,500827,566379,497512,100503,11,4775329
43,T.J. Maxx,FL,27.26705026,-80.42612145,412044,"27.26705026,-80.42612145",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1604707,0,0,0,0,0,0,0,0,2,1604707
44,T.J. Maxx,FL,27.30044557,-82.51561173,407702,"27.30044557,-82.51561173",1,0,0,0,0,0,5,0,0,0,1,1,0,1,1,195747,0,0,0,0,0,4191291,0,0,0,842519,690664,0,239675,54068,10,6213964
45,T.J. Maxx,FL,28.65402248,-81.23824259,407213,"28.65402248,-81.23824259",1,0,0,0,0,0,4,1,1,0,0,1,0,0,1,368275,0,0,0,0,0,3406271,480198,250430,0,0,732743,0,0,103722,9,5341639
46,T.J. Maxx,FL,26.09446672,-80.24687382,404350,"26.09446672,-80.24687382",0,0,0,0,0,0,6,0,0,1,1,0,1,0,0,0,0,0,0,0,0,5141218,0,0,306673,905513,0,1379308,0,0,9,7732712
47,T.J. Maxx,FL,28.3437306,-81.61100861,403661,"28.3437306,-81.61100861",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1449657,0,0,0,0,0,0,0,115504,2,1565161
48,T.J. Maxx,FL,24.56895824,-81.76467933,398704,"24.56895824,-81.76467933",0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2357953,0,0,0,0,0,0,597458,0,3,2955411
49,T.J. Maxx,FL,29.21491333,-81.09462894,394250,"29.21491333,-81.09462894",1,0,0,0,0,0,2,0,0,1,0,1,0,1,0,171424,0,0,0,0,0,1864563,0,0,299976,0,616339,0,303471,0,6,3255773
50,T.J. Maxx,FL,28.14520774,-82.74282158,393258,"28.14520774,-82.74282158",0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,904716,0,0,0,0,0,0,667395,0,3,1572111
51,T.J. Maxx,FL,26.36939616,-80.18476253,388285,"26.36939616,-80.18476253",1,0,0,0,0,0,5,0,1,0,0,0,0,1,1,340853,0,0,0,0,0,5233462,0,321886,0,0,0,0,466128,100377,9,6462706
52,T.J. Maxx,FL,30.62725796,-81.54318296,384661,"30.62725796,-81.54318296",1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,76809,0,0,0,0,0,1015565,0,0,0,0,0,0,359087,76269,4,1527730
53,T.J. Maxx,FL,27.03686694,-82.21180891,372532,"27.03686694,-82.21180891",1,0,0,0,0,0,2,0,0,0,0,1,0,0,1,209677,0,0,0,0,0,1531878,0,0,0,0,591320,0,0,37451,5,2370326
54,T.J. Maxx,FL,27.53392359,-82.5001003,361127,"27.53392359,-82.5001003",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1903778,0,0,0,0,0,0,0,0,2,1903778
55,T.J. Maxx,FL,25.93157044,-80.13307806,358812,"25.93157044,-80.13307806",0,0,0,0,0,0,5,0,0,2,0,0,1,2,1,0,0,0,0,0,0,5084831,0,0,1022239,0,0,1208356,1350409,104558,11,8770393
56,T.J. Maxx,FL,25.84220634,-80.36722567,358548,"25.84220634,-80.36722567",1,0,0,0,0,0,4,0,0,0,0,1,0,1,0,500785,0,0,0,0,0,3433224,0,0,0,0,1161773,0,741267,0,7,5837049
57,T.J. Maxx,FL,25.77152352,-80.3586794,357749,"25.77152352,-80.3586794",2,0,0,0,0,0,5,0,0,0,0,0,0,2,0,800051,0,0,0,0,0,4872401,0,0,0,0,0,0,1561217,0,9,7233669
58,T.J. Maxx,FL,28.23810502,-80.72728213,350150,"28.23810502,-80.72728213",0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1883968,0,0,289296,0,0,0,0,48284,4,2221548
59,T.J. Maxx,FL,28.46601142,-81.45315319,345585,"28.46601142,-81.45315319",0,0,0,0,0,0,5,1,0,1,1,0,1,0,0,0,0,0,0,0,0,3949427,185185,0,461074,678907,0,1081987,0,0,9,6356580
60,T.J. Maxx,FL,26.24607539,-80.25473906,344990,"26.24607539,-80.25473906",1,0,0,0,0,0,7,0,1,1,1,3,1,0,0,278111,0,0,0,0,0,5763818,0,357329,347755,388874,1849932,577661,0,0,15,9563480
61,T.J. Maxx,FL,26.62472624,-81.94223871,342542,"26.62472624,-81.94223871",1,0,0,0,0,0,4,0,0,0,0,0,0,0,1,244614,0,0,0,0,0,3406872,0,0,0,0,0,0,0,98804,6,3750290
62,T.J. Maxx,FL,27.78777098,-82.72691369,339013,"27.78777098,-82.72691369",1,0,0,0,0,0,7,0,0,1,0,1,0,3,2,164925,0,0,0,0,0,5998984,0,0,372268,0,495820,0,808450,87545,15,7927992
63,T.J. Maxx,FL,25.64533932,-80.33584156,337427,"25.64533932,-80.33584156",0,0,0,0,0,0,4,0,1,1,0,0,1,0,0,0,0,0,0,0,0,3409989,0,656538,458028,0,0,1047807,0,0,7,5572362
64,T.J. Maxx,FL,30.19218922,-81.74298135,335570,"30.19218922,-81.74298135",0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1563376,0,0,0,0,0,0,393812,41283,4,1998471
65,T.J. Maxx,FL,27.99824863,-82.56452435,335513,"27.99824863,-82.56452435",1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,184795,0,0,0,0,0,1919253,0,0,0,0,620514,0,0,0,4,2724562
66,T.J. Maxx,FL,28.53867377,-81.73534444,335203,"28.53867377,-81.73534444",1,0,0,0,0,0,2,0,0,0,0,0,0,1,1,296874,0,0,0,0,0,2147279,0,0,0,0,0,0,393542,214163,5,3051858
67,T.J. Maxx,FL,26.93601626,-80.09159423,333353,"26.93601626,-80.09159423",1,0,0,0,0,0,5,1,1,0,0,0,0,0,1,276391,0,0,0,0,0,3133119,553563,342207,0,0,0,0,0,45875,9,4351155
68,T.J. Maxx,FL,27.93010714,-82.7891115,333314,"27.93010714,-82.7891115",1,0,0,0,0,0,8,0,0,0,0,1,0,1,1,233930,0,0,0,0,0,5205472,0,0,0,0,628485,0,253935,55206,12,6377028
69,T.J. Maxx,FL,26.53119923,-80.08904205,330921,"26.53119923,-80.08904205",1,0,0,0,0,0,5,0,0,1,0,1,0,0,1,63477,0,0,0,0,0,4530525,0,0,332659,0,544660,0,0,65167,9,5536488
70,T.J. Maxx,FL,29.47775566,-81.2153126,330474,"29.47775566,-81.2153126",1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,234330,0,0,0,0,0,722689,0,0,0,0,0,0,374739,0,3,1331758
71,T.J. Maxx,FL,26.00974618,-80.35720031,320118,"26.00974618,-80.35720031",1,0,0,0,0,0,5,0,1,1,1,0,1,1,1,440788,0,0,0,0,0,4567787,0,397661,412301,920914,0,1089807,628154,94528,12,8551940
72,T.J. Maxx,FL,27.6385425,-80.38230785,318362,"27.6385425,-80.38230785",0,0,0,0,0,0,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1731460,0,315764,0,0,492526,0,0,88330,5,2628080
73,T.J. Maxx,FL,28.81919966,-81.67658074,317349,"28.81919966,-81.67658074",1,0,0,0,0,0,2,0,0,0,0,0,0,1,1,276508,0,0,0,0,0,1946068,0,0,0,0,0,0,507220,79212,5,2809008
74,T.J. Maxx,FL,26.8431894,-80.07067753,309767,"26.8431894,-80.07067753",0,0,0,0,0,0,5,0,0,1,1,0,1,0,1,0,0,0,0,0,0,3674284,0,0,353129,754631,0,991086,0,62829,9,5835959
75,T.J. Maxx,FL,28.93295269,-81.93829386,308812,"28.93295269,-81.93829386",1,0,0,0,0,0,2,0,0,1,0,0,0,2,1,248988,0,0,0,0,0,1634026,0,0,628375,0,0,0,969858,34190,7,3515437
76,T.J. Maxx,FL,26.44302204,-80.07223489,302075,"26.44302204,-80.07223489",0,0,0,0,0,0,3,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1790768,0,236735,0,672562,431792,815893,0,24617,8,3972367
77,T.J. Maxx,FL,28.6278281,-81.31945704,299426,"28.6278281,-81.31945704",2,0,0,0,0,0,4,1,0,0,0,1,0,1,1,497365,0,0,0,0,0,3108631,347518,0,0,0,732743,0,429758,55159,10,5171174
78,T.J. Maxx,FL,28.23348648,-82.73085927,296551,"28.23348648,-82.73085927",1,0,0,0,0,0,2,0,0,0,0,0,0,3,0,233929,0,0,0,0,0,1461695,0,0,0,0,0,0,941454,0,6,2637078
79,T.J. Maxx,FL,28.51589552,-81.37907899,280372,"28.51589552,-81.37907899",1,0,0,0,0,0,4,0,0,0,0,2,0,1,1,130063,0,0,0,0,0,3318489,0,0,0,0,1135504,0,224582,87033,9,4895671
80,T.J. Maxx,FL,28.34613124,-81.482625,276207,"28.34613124,-81.482625",1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,226313,0,0,0,0,0,3971916,0,0,0,0,0,0,0,0,4,4198229
81,T.J. Maxx,FL,28.26414526,-82.18649301,271995,"28.26414526,-82.18649301",0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,877443,0,0,0,0,0,0,481536,0,3,1358979
82,T.J. Maxx,FL,28.65683065,-81.42086953,264589,"28.65683065,-81.42086953",1,0,0,0,0,0,6,0,0,1,0,1,1,1,1,369987,0,0,0,0,0,5094544,0,0,320848,0,887058,646675,486547,45873,12,7851532
83,T.J. Maxx,FL,28.39139541,-81.24781724,264054,"28.39139541,-81.24781724",1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,221831,0,0,0,0,0,1377913,0,0,0,0,0,0,0,91784,4,1691528
84,T.J. Maxx,FL,26.60843087,-81.81345361,239397,"26.60843087,-81.81345361",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1093090,0,0,0,0,0,0,483102,0,2,1576192
85,T.J. Maxx,FL,30.26072448,-81.6244509,182806,"30.26072448,-81.6244509",1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,145739,0,0,0,0,0,1149606,0,0,0,0,0,0,385896,35277,4,1716518
86,T.J. Maxx,FL,26.09717542,-80.12949882,179403,"26.09717542,-80.12949882",1,0,0,0,0,0,3,0,1,1,0,0,1,3,0,220319,0,0,0,0,0,2968529,0,498725,230919,0,0,475549,941435,0,10,5335476
87,T.J. Maxx,FL,27.43332377,-82.57887006,134530,"27.43332377,-82.57887006",2,0,0,0,0,0,2,0,0,0,0,0,0,2,1,317604,0,0,0,0,0,1993089,0,0,0,0,0,0,766681,77706,7,3155080
88,T.J. Maxx,FL,25.88796775,-80.16249003,112783,"25.88796775,-80.16249003",1,0,0,0,0,0,5,0,0,1,0,0,1,0,1,625381,0,0,0,0,0,6153005,0,0,529603,0,0,1388747,0,104558,9,8801294
1,T.J. Maxx,AL,34.82570805,-87.62562727,757204,"34.82570805,-87.62562727",1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,242998,0,0,0,0,0,908940,0,0,0,0,680293,0,0,0,3,1832231
2,T.J. Maxx,AL,31.2460136,-85.424775,710596,"31.2460136,-85.424775",0,0,0,0,0,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,245752,1843053,0,0,0,0,1034174,0,416448,0,6,3539427
3,T.J. Maxx,AL,33.39335053,-86.80787109,676723,"33.39335053,-86.80787109",0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,758783,0,0,0,0,1339123,0,0,0,3,2097906
4,T.J. Maxx,AL,32.61772288,-85.40596121,672003,"32.61772288,-85.40596121",1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,234191,0,0,0,1478122,173806,803157,0,0,0,0,575146,0,0,0,5,3264422
5,T.J. Maxx,AL,34.01266801,-85.98970988,595703,"34.01266801,-85.98970988",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,275791
6,T.J. Maxx,AL,33.18497378,-87.52800996,585935,"33.18497378,-87.52800996",1,0,0,0,0,2,1,0,1,0,0,1,0,1,0,461164,0,0,0,0,215765,796937,0,332089,0,0,811224,0,394169,0,7,3011348
7,T.J. Maxx,AL,34.27934442,-86.20673902,550241,"34.27934442,-86.20673902",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137224,0,0,0,0,0,0,0,0,0,1,137224
8,T.J. Maxx,AL,32.45711144,-86.3968484,548695,"32.45711144,-86.3968484",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,240610,0,0,0,0,0,1039268,0,0,0,0,0,0,0,0,2,1279878
9,T.J. Maxx,AL,33.60483555,-86.63828671,531727,"33.60483555,-86.63828671",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,292778,0,0,0,0,0,0,0,0,0,0,0,0,469357,0,2,762135
10,T.J. Maxx,AL,33.60837815,-85.78320548,531480,"33.60837815,-85.78320548",1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,247985,0,0,0,0,0,1011559,0,0,0,0,0,0,502347,0,3,1761891
11,T.J. Maxx,AL,33.22367944,-86.80391794,524758,"33.22367944,-86.80391794",1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,255259,0,0,0,0,0,889756,0,0,0,0,723874,0,0,0,3,1868889
12,T.J. Maxx,AL,34.15084311,-86.83897821,522109,"34.15084311,-86.83897821",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,196315,0,0,0,0,0,766198,0,0,0,0,0,0,0,0,2,962513
13,T.J. Maxx,AL,34.68981044,-86.57808509,520098,"34.68981044,-86.57808509",1,0,0,0,1,0,2,0,1,0,0,0,1,0,0,142973,0,0,0,624766,0,1391381,0,347958,0,0,0,697483,0,0,6,3204561
14,T.J. Maxx,AL,32.34508806,-86.22138895,510554,"32.34508806,-86.22138895",1,0,0,0,0,0,3,0,1,0,0,1,1,1,0,301500,0,0,0,0,0,3279361,0,393555,0,0,1046744,462819,603234,0,8,6087213
15,T.J. Maxx,AL,33.64939863,-86.823636,489876,"33.64939863,-86.823636",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1052756,0,0,0,0,0,0,0,0,1,1052756
16,T.J. Maxx,AL,34.75703117,-86.73690152,485713,"34.75703117,-86.73690152",1,0,0,0,1,0,2,1,0,0,0,1,0,0,0,157785,0,0,0,1178949,0,988018,217720,0,0,0,505329,0,0,0,6,3047801
17,T.J. Maxx,AL,30.65283447,-87.90662753,471157,"30.65283447,-87.90662753",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,485905,0,259947,0,0,0,0,0,0,2,745852
18,T.J. Maxx,AL,31.3179396,-85.82869189,469954,"31.3179396,-85.82869189",0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,123489,1226383,0,0,0,0,0,0,0,0,3,1349872
19,T.J. Maxx,AL,30.37584144,-87.67847689,458653,"30.37584144,-87.67847689",0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,219442,702358,0,0,0,0,0,0,388562,0,3,1310362
20,T.J. Maxx,AL,33.84977072,-87.26907566,456588,"33.84977072,-87.26907566",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,239508,0,0,0,0,0,0,0,0,0,0,0,0,408060,0,2,647568
21,T.J. Maxx,AL,33.4218513,-86.69223753,422139,"33.4218513,-86.69223753",1,0,0,0,0,0,3,1,1,0,1,0,0,1,0,169309,0,0,0,0,0,1699745,191376,188122,0,1144672,0,0,323736,0,8,3716960
22,T.J. Maxx,AL,30.67742241,-88.14683993,365909,"30.67742241,-88.14683993",0,0,0,0,0,0,1,0,1,0,0,4,1,1,0,0,0,0,0,0,0,1155486,0,670136,0,0,2630621,397870,358646,0,8,5212759
23,T.J. Maxx,AL,31.77784479,-85.9452729,347167,"31.77784479,-85.9452729",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,466516,0,0,0,0,0,0,0,0,0,2,466516
24,T.J. Maxx,AL,33.33548414,-86.99132475,314216,"33.33548414,-86.99132475",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,548328,963464,0,0,0,0,0,0,0,0,2,1511792
25,T.J. Maxx,AL,33.17396136,-86.28282353,296829,"33.17396136,-86.28282353",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550161,0,0,0,0,0,0,0,0,0,2,550161
1,Marshalls,TN,35.90036903,-84.16504292,667805,"35.90036903,-84.16504292",0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,347113,0,552784,1337301,0,641018,0,248678,587151,0,0,0,0,0,6,3714045
2,Marshalls,TN,36.59428253,-82.26120263,603255,"36.59428253,-82.26120263",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
3,Marshalls,TN,36.00560161,-84.02129132,561367,"36.00560161,-84.02129132",1,2,0,0,2,0,0,0,0,0,0,1,0,0,0,171183,798885,0,0,1692199,0,0,0,0,0,0,595882,0,0,0,6,3258149
4,Marshalls,TN,36.06464859,-87.38214268,498539,"36.06464859,-87.38214268",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1257352,0,0,0,0,0,0,0,0,0,0,1,1257352
5,Marshalls,TN,35.7947587,-83.55793115,482572,"35.7947587,-83.55793115",0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1458230,0,0,1705487,0,1665507,0,0,0,0,0,0,0,0,4,4829224
6,Marshalls,TN,35.66831885,-88.86081176,429958,"35.66831885,-88.86081176",1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,237039,0,0,0,3527270,0,0,0,0,0,0,0,0,0,0,4,3764309
7,Marshalls,TN,35.06692717,-89.75868571,425903,"35.06692717,-89.75868571",0,0,0,0,2,0,0,1,1,0,1,0,1,0,0,0,0,0,0,2103440,0,0,530261,247639,0,787341,0,547879,0,0,6,4216560
