,Rank,Name,State,Lat,Long,Total_Visits,client_coords,Household_Income_0-25K,Household_Income_25K-50K,Household_Income_50K-75K,Household_Income_75K-100K,Household_Income_100K-150K,Household_Income_150K+
42,29,HomeGoods,FL,28.22413088,-81.64240978,329864,"28.22413088,-81.64240978",1042.0,2548.0,2046.0,1600.0,1343.0,932.0
43,30,HomeGoods,FL,26.48350393,-81.78857966,324403,"26.48350393,-81.78857966",1093.0,2567.0,3556.0,3656.0,3795.0,3915.0
44,31,HomeGoods,FL,28.66604187,-81.42310081,318395,"28.66604187,-81.42310081",6293.0,12899.0,10666.0,8377.0,8962.0,7357.0
45,32,HomeGoods,FL,27.84483595,-82.79276146,315668,"27.84483595,-82.79276146",4529.0,10941.0,9162.0,7698.0,9601.0,8227.0
46,33,HomeGoods,FL,27.2974095,-82.49483224,315346,"27.2974095,-82.49483224",4205.0,8628.0,9077.0,6722.0,8202.0,9295.0
47,34,HomeGoods,FL,28.53574365,-82.50738891,312041,"28.53574365,-82.50738891",2379.0,4960.0,4919.0,2894.0,3156.0,1219.0
48,35,HomeGoods,FL,30.38946502,-86.43853555,308755,"30.38946502,-86.43853555",393.0,733.0,916.0,965.0,1250.0,1374.0
49,36,HomeGoods,FL,25.80854892,-80.19409305,301033,"25.80854892,-80.19409305",28420.0,32813.0,19495.0,11676.0,12601.0,15990.0
50,37,HomeGoods,FL,27.31814121,-80.38932411,287583,"27.31814121,-80.38932411",3135.0,7999.0,7223.0,5010.0,5893.0,3625.0
51,38,HomeGoods,FL,28.20429473,-82.66904311,283091,"28.20429473,-82.66904311",3430.0,8858.0,5243.0,4538.0,5115.0,3122.0
52,39,HomeGoods,FL,27.84340964,-82.64425415,277716,"27.84340964,-82.64425415",4932.0,9152.0,8539.0,7588.0,8102.0,8390.0
53,40,HomeGoods,FL,28.03892629,-80.6652918,257867,"28.03892629,-80.6652918",4459.0,6645.0,7490.0,4294.0,5067.0,2625.0
54,41,HomeGoods,FL,30.3181815,-81.49375477,255909,"30.3181815,-81.49375477",4370.0,8609.0,8340.0,6498.0,8476.0,7094.0
55,42,HomeGoods,FL,30.19935294,-81.82823341,249352,"30.19935294,-81.82823341",3528.0,4790.0,6670.0,5348.0,5458.0,3146.0
56,43,HomeGoods,FL,28.46543125,-81.30425886,242747,"28.46543125,-81.30425886",6874.0,11351.0,8769.0,6290.0,7435.0,6356.0
57,44,HomeGoods,FL,30.62694002,-81.54215145,240966,"30.62694002,-81.54215145",1002.0,1136.0,1757.0,1643.0,2324.0,2595.0
58,45,HomeGoods,FL,28.45118691,-81.49093846,225273,"28.45118691,-81.49093846",4295.0,5982.0,5299.0,3606.0,4629.0,7519.0
59,46,HomeGoods,FL,28.54890771,-81.72528837,224992,"28.54890771,-81.72528837",1727.0,3179.0,2710.0,2759.0,4170.0,2472.0
60,47,HomeGoods,FL,28.49443206,-81.43089219,216774,"28.49443206,-81.43089219",10495.0,13026.0,9466.0,5635.0,5987.0,7163.0
61,48,HomeGoods,FL,27.46369814,-82.63350917,207024,"27.46369814,-82.63350917",4516.0,9275.0,7908.0,4363.0,4959.0,3683.0
62,49,HomeGoods,FL,28.13186982,-82.36669457,205392,"28.13186982,-82.36669457",2450.0,4033.0,4916.0,4628.0,5873.0,7036.0
63,50,HomeGoods,FL,26.34287079,-81.80516736,202822,"26.34287079,-81.80516736",1077.0,3097.0,3537.0,2477.0,3989.0,6005.0
64,51,HomeGoods,FL,26.26183053,-80.10120799,164402,"26.26183053,-80.10120799",7467.0,11699.0,10044.0,6368.0,7686.0,8004.0
65,52,HomeGoods,FL,25.64231842,-80.33253931,111883,"25.64231842,-80.33253931",7035.0,11122.0,9641.0,7208.0,10497.0,17563.0
66,1,HomeGoods,AL,33.42006286,-86.68573381,403453,"33.42006286,-86.68573381",928.0,1729.0,2546.0,2477.0,4560.0,8991.0
67,2,HomeGoods,AL,33.39283881,-86.8078986,396697,"33.39283881,-86.8078986",2056.0,3883.0,5064.0,4288.0,6938.0,10625.0
68,3,HomeGoods,AL,33.18501388,-87.52761229,393842,"33.18501388,-87.52761229",4523.0,5425.0,4310.0,2778.0,3962.0,2374.0
69,4,HomeGoods,AL,31.22710584,-85.43081099,368202,"31.22710584,-85.43081099",2573.0,3349.0,2355.0,2056.0,2337.0,1944.0
70,5,HomeGoods,AL,30.65240475,-88.11551895,319823,"30.65240475,-88.11551895",6712.0,7697.0,6109.0,4093.0,4660.0,4084.0
71,6,HomeGoods,AL,33.61003818,-86.62374802,266300,"33.61003818,-86.62374802",3437.0,5116.0,3716.0,3521.0,4125.0,2896.0
72,7,HomeGoods,AL,34.74181903,-86.66475598,200023,"34.74181903,-86.66475598",4826.0,5236.0,3497.0,2913.0,3701.0,4130.0
73,1,T.J. Maxx,TN,35.86071326,-83.5683857,788124,"35.86071326,-83.5683857",1422.0,1967.0,1326.0,692.0,1095.0,771.0
74,2,T.J. Maxx,TN,36.16725845,-86.50742595,749091,"36.16725845,-86.50742595",633.0,1267.0,2047.0,2041.0,3915.0,3819.0
75,3,T.J. Maxx,TN,35.92612102,-84.05038172,745427,"35.92612102,-84.05038172",2192.0,4737.0,5569.0,4927.0,7123.0,7728.0
76,4,T.J. Maxx,TN,36.15764194,-85.51977024,660811,"36.15764194,-85.51977024",1681.0,2586.0,2320.0,1544.0,1469.0,1104.0
77,5,T.J. Maxx,TN,35.20680554,-84.85005376,640877,"35.20680554,-84.85005376",2522.0,3805.0,2539.0,2075.0,2655.0,1280.0
78,6,T.J. Maxx,TN,35.68535549,-88.85815346,570941,"35.68535549,-88.85815346",2909.0,2828.0,2689.0,1900.0,2127.0,1764.0
79,7,T.J. Maxx,TN,36.00897711,-84.25540392,564026,"36.00897711,-84.25540392",862.0,2017.0,1658.0,939.0,967.0,967.0
80,8,T.J. Maxx,TN,35.84369359,-86.42686426,561342,"35.84369359,-86.42686426",2769.0,6194.0,6146.0,4751.0,5660.0,4250.0
81,9,T.J. Maxx,TN,35.94843845,-86.82378745,556232,"35.94843845,-86.82378745",1137.0,2342.0,2884.0,2594.0,6032.0,9501.0
82,10,T.J. Maxx,TN,36.34252832,-82.37427925,545687,"36.34252832,-82.37427925",3857.0,3501.0,2895.0,2149.0,2375.0,2080.0
83,11,T.J. Maxx,TN,36.58458236,-87.29943281,534449,"36.58458236,-87.29943281",1795.0,4262.0,3640.0,3567.0,3565.0,1675.0
84,12,T.J. Maxx,TN,35.10794912,-89.89152508,500644,"35.10794912,-89.89152508",10557.0,11051.0,7754.0,5885.0,6702.0,8561.0
85,13,T.J. Maxx,TN,35.13082689,-85.24237553,500491,"35.13082689,-85.24237553",2258.0,4351.0,3775.0,3464.0,3790.0,3285.0
86,14,T.J. Maxx,TN,35.19806565,-89.79795181,493384,"35.19806565,-89.79795181",3327.0,7590.0,8578.0,7412.0,8170.0,5979.0
87,15,T.J. Maxx,TN,35.98682337,-86.55388837,485393,"35.98682337,-86.55388837",2123.0,5081.0,4939.0,4502.0,5133.0,1801.0
88,16,T.J. Maxx,TN,35.09294198,-89.80711403,472892,"35.09294198,-89.80711403",3898.0,7382.0,7499.0,6463.0,9803.0,11473.0
89,17,T.J. Maxx,TN,35.59649977,-87.05967781,420748,"35.59649977,-87.05967781",1700.0,2598.0,2279.0,1407.0,1385.0,1122.0
90,18,T.J. Maxx,TN,36.54353673,-82.5164586,411169,"36.54353673,-82.5164586",2881.0,3892.0,3236.0,2271.0,2189.0,1807.0
91,19,T.J. Maxx,TN,36.2929558,-86.7005579,394611,"36.2929558,-86.7005579",2769.0,4387.0,4427.0,3201.0,3094.0,1689.0
92,20,T.J. Maxx,TN,36.07580319,-86.92191319,327611,"36.07580319,-86.92191319",723.0,1604.0,2142.0,2593.0,3928.0,7027.0
93,21,T.J. Maxx,TN,35.15045294,-89.919667,308351,"35.15045294,-89.919667",11433.0,11307.0,8434.0,6002.0,6891.0,8177.0
94,22,T.J. Maxx,TN,35.03692797,-85.15375197,192587,"35.03692797,-85.15375197",2290.0,4157.0,4257.0,3854.0,4260.0,3244.0
95,1,T.J. Maxx,FL,25.65297847,-80.41389258,1134979,"25.65297847,-80.41389258",12055.0,18348.0,17114.0,13511.0,17903.0,15224.0
96,2,T.J. Maxx,FL,29.6620785,-82.42281801,827305,"29.6620785,-82.42281801",2684.0,4126.0,4715.0,3652.0,4969.0,5621.0
97,3,T.J. Maxx,FL,30.49295275,-87.22688285,817421,"30.49295275,-87.22688285",5080.0,8556.0,7454.0,4170.0,5050.0,3378.0
98,4,T.J. Maxx,FL,26.58756608,-80.14509673,802937,"26.58756608,-80.14509673",8392.0,17276.0,14616.0,10629.0,12711.0,9963.0
99,5,T.J. Maxx,FL,28.55369117,-81.19964538,768982,"28.55369117,-81.19964538",4592.0,7548.0,7756.0,6156.0,8847.0,6278.0
100,6,T.J. Maxx,FL,26.15151895,-80.32182243,697556,"26.15151895,-80.32182243",5474.0,10636.0,9676.0,7979.0,10262.0,9988.0
101,7,T.J. Maxx,FL,28.75430353,-81.34597083,673708,"28.75430353,-81.34597083",3902.0,7514.0,6720.0,6954.0,8641.0,8122.0
102,8,T.J. Maxx,FL,27.107679,-82.43585655,659108,"27.107679,-82.43585655",1285.0,3663.0,4295.0,3556.0,4088.0,3684.0
103,9,T.J. Maxx,FL,30.50322099,-84.24983703,629904,"30.50322099,-84.24983703",1483.0,3983.0,4010.0,3095.0,4928.0,4747.0
104,10,T.J. Maxx,FL,28.01355971,-82.73333397,625093,"28.01355971,-82.73333397",6916.0,11967.0,10888.0,7790.0,10399.0,7752.0
105,11,T.J. Maxx,FL,25.74593131,-80.33410972,596128,"25.74593131,-80.33410972",15905.0,24500.0,18478.0,13475.0,18026.0,18599.0
106,12,T.J. Maxx,FL,26.31583737,-80.15573678,592478,"26.31583737,-80.15573678",7951.0,15525.0,13470.0,9771.0,12888.0,14801.0
107,13,T.J. Maxx,FL,25.86853738,-80.29271011,584261,"25.86853738,-80.29271011",26129.0,34269.0,21405.0,14246.0,11552.0,7307.0
108,14,T.J. Maxx,FL,27.84696052,-82.64561699,528605,"27.84696052,-82.64561699",5091.0,9432.0,8797.0,7571.0,8444.0,8450.0
109,15,T.J. Maxx,FL,30.60089884,-87.12569893,505569,"30.60089884,-87.12569893",1363.0,3023.0,2778.0,2265.0,2668.0,1258.0
