,Rank,Name,State,Lat,Long,Total_Visits,client_coords,Household_Income_0-25K,Household_Income_25K-50K,Household_Income_50K-75K,Household_Income_75K-100K,Household_Income_100K-150K,Household_Income_150K+
182,88,T.J. Maxx,FL,25.88796775,-80.16249003,112783,"25.88796775,-80.16249003",17232.0,25156.0,16805.0,10183.0,9983.0,10930.0
183,1,T.J. Maxx,AL,34.82570805,-87.62562727,757204,"34.82570805,-87.62562727",2052.0,3230.0,2193.0,1814.0,1318.0,1198.0
184,2,T.J. Maxx,AL,31.2460136,-85.424775,710596,"31.2460136,-85.424775",2573.0,3349.0,2355.0,2056.0,2337.0,1944.0
185,3,T.J. Maxx,AL,33.39335053,-86.80787109,676723,"33.39335053,-86.80787109",2062.0,3909.0,5146.0,4421.0,7134.0,11133.0
186,4,T.J. Maxx,AL,32.61772288,-85.40596121,672003,"32.61772288,-85.40596121",1935.0,2289.0,1858.0,1827.0,2413.0,2125.0
187,5,T.J. Maxx,AL,34.01266801,-85.98970988,595703,"34.01266801,-85.98970988",2454.0,2372.0,1841.0,1467.0,1017.0,481.0
188,6,T.J. Maxx,AL,33.18497378,-87.52800996,585935,"33.18497378,-87.52800996",4523.0,5425.0,4310.0,2778.0,3962.0,2374.0
189,7,T.J. Maxx,AL,34.27934442,-86.20673902,550241,"34.27934442,-86.20673902",1368.0,1885.0,1598.0,1131.0,1277.0,459.0
190,8,T.J. Maxx,AL,32.45711144,-86.3968484,548695,"32.45711144,-86.3968484",1846.0,2398.0,2486.0,2070.0,2462.0,1467.0
191,9,T.J. Maxx,AL,33.60483555,-86.63828671,531727,"33.60483555,-86.63828671",4085.0,6044.0,4427.0,3939.0,4666.0,3189.0
192,10,T.J. Maxx,AL,33.60837815,-85.78320548,531480,"33.60837815,-85.78320548",1114.0,1407.0,1159.0,1065.0,1028.0,1028.0
193,11,T.J. Maxx,AL,33.22367944,-86.80391794,524758,"33.22367944,-86.80391794",744.0,2185.0,3110.0,2950.0,4258.0,2577.0
194,12,T.J. Maxx,AL,34.15084311,-86.83897821,522109,"34.15084311,-86.83897821",845.0,1518.0,1686.0,1186.0,1087.0,582.0
195,13,T.J. Maxx,AL,34.68981044,-86.57808509,520098,"34.68981044,-86.57808509",4384.0,4306.0,3566.0,2698.0,4105.0,4827.0
196,14,T.J. Maxx,AL,32.34508806,-86.22138895,510554,"32.34508806,-86.22138895",5809.0,7016.0,5937.0,4520.0,6328.0,4267.0
197,15,T.J. Maxx,AL,33.64939863,-86.823636,489876,"33.64939863,-86.823636",676.0,1557.0,1434.0,1493.0,1595.0,1319.0
198,16,T.J. Maxx,AL,34.75703117,-86.73690152,485713,"34.75703117,-86.73690152",1743.0,2997.0,3565.0,4076.0,6121.0,8024.0
199,17,T.J. Maxx,AL,30.65283447,-87.90662753,471157,"30.65283447,-87.90662753",406.0,1433.0,1062.0,1018.0,1464.0,1371.0
200,18,T.J. Maxx,AL,31.3179396,-85.82869189,469954,"31.3179396,-85.82869189",1444.0,1556.0,1906.0,1471.0,1700.0,958.0
201,19,T.J. Maxx,AL,30.37584144,-87.67847689,458653,"30.37584144,-87.67847689",583.0,1205.0,1304.0,747.0,1286.0,372.0
202,20,T.J. Maxx,AL,33.84977072,-87.26907566,456588,"33.84977072,-87.26907566",817.0,1120.0,796.0,1071.0,772.0,522.0
203,21,T.J. Maxx,AL,33.4218513,-86.69223753,422139,"33.4218513,-86.69223753",1073.0,2020.0,2797.0,2777.0,4960.0,9664.0
204,22,T.J. Maxx,AL,30.67742241,-88.14683993,365909,"30.67742241,-88.14683993",7221.0,9048.0,6910.0,4899.0,5754.0,4273.0
205,23,T.J. Maxx,AL,31.77784479,-85.9452729,347167,"31.77784479,-85.9452729",405.0,739.0,696.0,357.0,498.0,468.0
206,24,T.J. Maxx,AL,33.33548414,-86.99132475,314216,"33.33548414,-86.99132475",1427.0,2061.0,2056.0,1396.0,2958.0,1864.0
207,25,T.J. Maxx,AL,33.17396136,-86.28282353,296829,"33.17396136,-86.28282353",1353.0,1131.0,825.0,760.0,632.0,458.0
208,1,Marshalls,TN,35.90036903,-84.16504292,667805,"35.90036903,-84.16504292",883.0,1823.0,2733.0,3326.0,5298.0,7037.0
209,2,Marshalls,TN,36.59428253,-82.26120263,603255,"36.59428253,-82.26120263",1155.0,1678.0,1278.0,1114.0,982.0,429.0
210,3,Marshalls,TN,36.00560161,-84.02129132,561367,"36.00560161,-84.02129132",4496.0,6658.0,6255.0,4895.0,5639.0,2441.0
211,4,Marshalls,TN,36.06464859,-87.38214268,498539,"36.06464859,-87.38214268",680.0,848.0,1595.0,748.0,699.0,353.0
212,5,Marshalls,TN,35.7947587,-83.55793115,482572,"35.7947587,-83.55793115",1084.0,1920.0,1187.0,612.0,986.0,593.0
213,6,Marshalls,TN,35.66831885,-88.86081176,429958,"35.66831885,-88.86081176",3288.0,3025.0,2724.0,1939.0,2167.0,1717.0
214,7,Marshalls,TN,35.06692717,-89.75868571,425903,"35.06692717,-89.75868571",1426.0,4754.0,5550.0,5173.0,9178.0,11931.0
215,8,Marshalls,TN,35.03060566,-85.1603834,404148,"35.03060566,-85.1603834",2510.0,4678.0,4765.0,4257.0,4624.0,3506.0
216,9,Marshalls,TN,36.50635176,-87.27211958,380377,"36.50635176,-87.27211958",1381.0,2769.0,2153.0,2379.0,3210.0,2497.0
217,10,Marshalls,TN,35.1717264,-89.79537508,376821,"35.1717264,-89.79537508",2775.0,6957.0,7333.0,6452.0,8465.0,6205.0
218,11,Marshalls,TN,36.18078371,-86.63873721,357338,"36.18078371,-86.63873721",2198.0,4450.0,5771.0,4239.0,5901.0,3976.0
219,12,Marshalls,TN,36.058481,-89.38297864,346149,"36.058481,-89.38297864",1205.0,1680.0,1095.0,750.0,918.0,600.0
220,13,Marshalls,TN,35.85514928,-86.42752802,345718,"35.85514928,-86.42752802",2602.0,5869.0,6305.0,4732.0,6069.0,4377.0
221,14,Marshalls,TN,35.05252409,-89.80833985,340179,"35.05252409,-89.80833985",4612.0,8070.0,7877.0,6031.0,9024.0,8985.0
222,15,Marshalls,TN,35.15531384,-85.2457901,319111,"35.15531384,-85.2457901",1335.0,3174.0,2893.0,2917.0,3354.0,2903.0
223,16,Marshalls,TN,35.9487633,-86.8177021,294725,"35.9487633,-86.8177021",1009.0,2193.0,2564.0,2533.0,5638.0,8924.0
224,17,Marshalls,TN,35.20774682,-89.89610965,274228,"35.20774682,-89.89610965",8562.0,10513.0,8136.0,5858.0,5965.0,3702.0
225,18,Marshalls,TN,36.13668573,-86.89025267,256613,"36.13668573,-86.89025267",1971.0,2620.0,2648.0,3039.0,4190.0,7428.0
226,19,Marshalls,TN,36.17549394,-82.79590644,247037,"36.17549394,-82.79590644",1368.0,2346.0,1143.0,1008.0,1169.0,594.0
227,20,Marshalls,TN,36.03737298,-83.8873844,241529,"36.03737298,-83.8873844",4085.0,6040.0,5245.0,3864.0,3702.0,2124.0
228,21,Marshalls,TN,36.32191681,-86.6014702,199711,"36.32191681,-86.6014702",1356.0,2816.0,4113.0,3759.0,5134.0,5341.0
229,1,Marshalls,FL,26.6834479,-80.22362638,819819,"26.6834479,-80.22362638",2389.0,4442.0,6026.0,6501.0,6778.0,8526.0
230,2,Marshalls,FL,29.11130473,-81.03616413,754601,"29.11130473,-81.03616413",2836.0,5540.0,5368.0,3796.0,4993.0,2447.0
231,3,Marshalls,FL,27.63733172,-80.44914495,702859,"27.63733172,-80.44914495",1650.0,3712.0,3789.0,2880.0,3342.0,2342.0
232,4,Marshalls,FL,28.52103765,-81.58389624,650072,"28.52103765,-81.58389624",2735.0,4557.0,5039.0,4409.0,7899.0,9876.0
233,5,Marshalls,FL,25.86463408,-80.31606456,622791,"25.86463408,-80.31606456",21862.0,28435.0,19889.0,12453.0,12178.0,8542.0
234,6,Marshalls,FL,29.86862798,-81.32534911,599968,"29.86862798,-81.32534911",1510.0,3560.0,2766.0,2324.0,2653.0,2662.0
235,7,Marshalls,FL,25.74786693,-80.38838071,562742,"25.74786693,-80.38838071",15989.0,23898.0,19769.0,15088.0,19303.0,15180.0
236,8,Marshalls,FL,28.34226274,-81.41032988,559928,"28.34226274,-81.41032988",7676.0,14219.0,9143.0,5916.0,5718.0,2851.0
237,9,Marshalls,FL,27.99839165,-81.96058114,559641,"27.99839165,-81.96058114",4293.0,6847.0,5817.0,4210.0,4830.0,3751.0
238,10,Marshalls,FL,28.20242974,-82.66406799,555623,"28.20242974,-82.66406799",3286.0,8679.0,5156.0,4492.0,5092.0,3122.0
239,11,Marshalls,FL,28.02853219,-82.50300763,552525,"28.02853219,-82.50300763",13117.0,17361.0,15323.0,8991.0,9975.0,7974.0
240,12,Marshalls,FL,26.14945018,-80.32563391,548214,"26.14945018,-80.32563391",5154.0,10043.0,9008.0,7526.0,9552.0,9627.0
241,13,Marshalls,FL,30.27075293,-81.39014639,541376,"30.27075293,-81.39014639",1166.0,2877.0,2505.0,2303.0,4248.0,5499.0
242,14,Marshalls,FL,29.62730729,-82.38218874,527287,"29.62730729,-82.38218874",2660.0,3858.0,3997.0,2903.0,3974.0,4817.0
243,15,Marshalls,FL,28.53635626,-82.50622751,502202,"28.53635626,-82.50622751",2379.0,4960.0,4919.0,2894.0,3156.0,1219.0
244,16,Marshalls,FL,25.6861927,-80.42254009,483807,"25.6861927,-80.42254009",12727.0,18352.0,16801.0,14610.0,18880.0,17243.0
245,17,Marshalls,FL,27.94261139,-82.32225189,482310,"27.94261139,-82.32225189",6864.0,11734.0,11627.0,7728.0,7023.0,5380.0
246,18,Marshalls,FL,25.93155015,-80.12302813,481957,"25.93155015,-80.12302813",11030.0,17744.0,12239.0,7847.0,8368.0,9604.0
247,19,Marshalls,FL,28.60393079,-81.36809838,473033,"28.60393079,-81.36809838",7671.0,12085.0,9575.0,8297.0,9421.0,12280.0
248,20,Marshalls,FL,28.93027812,-82.01828307,466065,"28.93027812,-82.01828307",1972.0,6399.0,7284.0,6205.0,5650.0,2731.0
249,21,Marshalls,FL,26.96015233,-80.08295057,458671,"26.96015233,-80.08295057",1647.0,2544.0,2893.0,3071.0,4108.0,6710.0
250,22,Marshalls,FL,30.22129622,-85.8701446,454293,"30.22129622,-85.8701446",402.0,991.0,1127.0,500.0,707.0,672.0
251,23,Marshalls,FL,27.79620131,-82.33245096,453903,"27.79620131,-82.33245096",2316.0,4995.0,5497.0,5902.0,6445.0,5463.0
252,24,Marshalls,FL,27.39169372,-82.45327833,436709,"27.39169372,-82.45327833",2312.0,5022.0,5547.0,4690.0,6245.0,6343.0
253,25,Marshalls,FL,28.17546464,-82.35555788,435297,"28.17546464,-82.35555788",2126.0,4041.0,5463.0,5631.0,7947.0,9645.0
254,26,Marshalls,FL,27.49891405,-81.485903,429195,"27.49891405,-81.485903",1599.0,3542.0,3297.0,1457.0,1147.0,962.0
255,27,Marshalls,FL,30.44015803,-84.25826912,427271,"30.44015803,-84.25826912",4433.0,6267.0,4791.0,3355.0,4115.0,3089.0
256,28,Marshalls,FL,25.80987875,-80.19355365,424338,"25.80987875,-80.19355365",28219.0,32831.0,19443.0,11624.0,12426.0,15755.0
257,29,Marshalls,FL,26.48581527,-81.78940397,423864,"26.48581527,-81.78940397",1093.0,2613.0,3607.0,3698.0,3861.0,4145.0
258,30,Marshalls,FL,28.05040396,-82.69797409,417388,"28.05040396,-82.69797409",3993.0,8548.0,8696.0,6970.0,10026.0,9625.0
259,31,Marshalls,FL,26.21278703,-80.10717035,415341,"26.21278703,-80.10717035",6501.0,11177.0,8783.0,6666.0,8396.0,9420.0
260,32,Marshalls,FL,25.48042614,-80.46169303,414816,"25.48042614,-80.46169303",7890.0,8562.0,5818.0,3567.0,3499.0,2420.0
261,33,Marshalls,FL,30.38944671,-86.43912186,406771,"30.38944671,-86.43912186",393.0,733.0,916.0,965.0,1250.0,1374.0
262,34,Marshalls,FL,26.17261584,-81.80103344,406080,"26.17261584,-81.80103344",1670.0,3919.0,3359.0,3368.0,3843.0,8211.0
263,35,Marshalls,FL,27.23554687,-80.26661916,403317,"27.23554687,-80.26661916",2322.0,5149.0,4239.0,3800.0,5022.0,4157.0
264,36,Marshalls,FL,26.31571519,-80.15697515,396312,"26.31571519,-80.15697515",7978.0,15591.0,13407.0,9726.0,12674.0,14318.0
265,37,Marshalls,FL,26.84377179,-80.0737879,395690,"26.84377179,-80.0737879",3066.0,5609.0,5303.0,4222.0,6457.0,10580.0
266,38,Marshalls,FL,29.13878799,-82.19278881,394080,"29.13878799,-82.19278881",2158.0,3377.0,2825.0,1953.0,1523.0,1729.0
267,39,Marshalls,FL,26.58642025,-81.86958965,393505,"26.58642025,-81.86958965",4221.0,7273.0,6644.0,4842.0,5064.0,4932.0
268,40,Marshalls,FL,28.49535372,-81.43035435,392484,"28.49535372,-81.43035435",10495.0,13026.0,9466.0,5635.0,5987.0,7163.0
269,41,Marshalls,FL,27.01499547,-82.14422047,376088,"27.01499547,-82.14422047",2893.0,6185.0,6142.0,3897.0,4675.0,3008.0
270,42,Marshalls,FL,28.03888338,-80.66485967,375449,"28.03888338,-80.66485967",4459.0,6645.0,7490.0,4294.0,5067.0,2625.0
271,43,Marshalls,FL,26.27086874,-81.79847013,374136,"26.27086874,-81.79847013",1497.0,3662.0,3861.0,3698.0,4390.0,8643.0
272,44,Marshalls,FL,26.36594881,-80.1735641,367379,"26.36594881,-80.1735641",3861.0,9812.0,8565.0,6693.0,10344.0,15920.0
273,45,Marshalls,FL,26.04343239,-80.15896058,363170,"26.04343239,-80.15896058",11429.0,17996.0,13061.0,9375.0,10356.0,9167.0
274,46,Marshalls,FL,26.52946565,-80.09281893,360793,"26.52946565,-80.09281893",6057.0,12903.0,12121.0,9030.0,11431.0,10221.0
275,47,Marshalls,FL,30.48249025,-81.6407356,360382,"30.48249025,-81.6407356",1397.0,2908.0,3163.0,2627.0,2624.0,1585.0
276,48,Marshalls,FL,26.28817959,-80.24929148,358726,"26.28817959,-80.24929148",7689.0,14158.0,13622.0,11283.0,15120.0,18084.0
277,49,Marshalls,FL,28.67530247,-81.4710751,358512,"28.67530247,-81.4710751",4279.0,10276.0,9006.0,7419.0,8173.0,6265.0
278,50,Marshalls,FL,28.39222915,-81.48445473,356655,"28.39222915,-81.48445473",3320.0,6110.0,5197.0,3390.0,4360.0,4876.0
279,51,Marshalls,FL,28.22398965,-81.64276718,356560,"28.22398965,-81.64276718",1042.0,2548.0,2046.0,1600.0,1343.0,932.0
280,52,Marshalls,FL,27.26052384,-82.51795607,350911,"27.26052384,-82.51795607",2287.0,5082.0,5732.0,4291.0,5709.0,6206.0
281,53,Marshalls,FL,30.17570908,-81.62667292,341760,"30.17570908,-81.62667292",2022.0,5595.0,5546.0,5338.0,6967.0,7482.0
282,54,Marshalls,FL,28.47550606,-81.28715209,339297,"28.47550606,-81.28715209",6171.0,10503.0,8332.0,5877.0,6864.0,5231.0
283,55,Marshalls,FL,25.62066372,-80.34234868,335509,"25.62066372,-80.34234868",7858.0,12665.0,10859.0,7901.0,10776.0,15038.0
284,56,Marshalls,FL,28.55145091,-80.84290999,335028,"28.55145091,-80.84290999",1280.0,2412.0,2382.0,1286.0,1813.0,970.0
285,57,Marshalls,FL,26.44065508,-80.07277198,332075,"26.44065508,-80.07277198",3175.0,7226.0,6278.0,5240.0,6376.0,8354.0
286,58,Marshalls,FL,27.90785906,-82.50472481,331600,"27.90785906,-82.50472481",3418.0,5083.0,4510.0,4144.0,6445.0,12057.0
287,59,Marshalls,FL,27.98832505,-82.1249478,330807,"27.98832505,-82.1249478",2238.0,3816.0,3220.0,2313.0,2607.0,1965.0
288,60,Marshalls,FL,25.98142858,-80.35797757,323604,"25.98142858,-80.35797757",8148.0,12541.0,12906.0,10659.0,15606.0,15305.0
289,61,Marshalls,FL,28.79847527,-81.3341345,320817,"28.79847527,-81.3341345",3385.0,5870.0,4898.0,5100.0,6447.0,6734.0
290,62,Marshalls,FL,27.96626249,-82.72824974,315075,"27.96626249,-82.72824974",7651.0,13905.0,11376.0,7938.0,9550.0,6645.0
291,63,Marshalls,FL,26.01274602,-80.25153526,309341,"26.01274602,-80.25153526",13847.0,24189.0,20196.0,15374.0,18465.0,12873.0
292,64,Marshalls,FL,27.46365197,-82.63403533,305582,"27.46365197,-82.63403533",4431.0,8900.0,7610.0,4225.0,4703.0,3543.0
293,65,Marshalls,FL,26.6160286,-80.14417633,302981,"26.6160286,-80.14417633",9205.0,17077.0,14456.0,10270.0,12194.0,10758.0
294,66,Marshalls,FL,28.66364034,-81.38252103,287427,"28.66364034,-81.38252103",5593.0,11599.0,9987.0,8993.0,10602.0,9593.0
295,67,Marshalls,FL,28.26592456,-81.3308053,285714,"28.26592456,-81.3308053",3266.0,8101.0,5148.0,4104.0,3062.0,2046.0
296,68,Marshalls,FL,25.8314203,-80.25975734,283748,"25.8314203,-80.25975734",35883.0,42472.0,22547.0,13912.0,11067.0,6949.0
297,69,Marshalls,FL,27.83623061,-82.68780706,279016,"27.83623061,-82.68780706",6967.0,14032.0,12025.0,10139.0,11034.0,8937.0
298,70,Marshalls,FL,30.48203772,-87.20826445,277451,"30.48203772,-87.20826445",3999.0,7080.0,5303.0,3186.0,3969.0,2889.0
299,71,Marshalls,FL,30.31105405,-81.73429752,268583,"30.31105405,-81.73429752",8322.0,9967.0,7696.0,5047.0,5418.0,4000.0
300,72,Marshalls,FL,28.19081911,-82.45722617,268041,"28.19081911,-82.45722617",1412.0,3381.0,4314.0,4144.0,6826.0,7607.0
301,73,Marshalls,FL,26.23680797,-80.20107708,266804,"26.23680797,-80.20107708",13703.0,21897.0,19543.0,13456.0,14793.0,10328.0
302,74,Marshalls,FL,29.26168687,-81.02659535,264460,"29.26168687,-81.02659535",4479.0,6286.0,4706.0,2785.0,2716.0,1776.0
303,75,Marshalls,FL,26.06015291,-81.69784683,242889,"26.06015291,-81.69784683",1186.0,2986.0,2460.0,2001.0,2426.0,2382.0
304,76,Marshalls,FL,28.33256231,-81.47381297,242170,"28.33256231,-81.47381297",4650.0,7613.0,4925.0,2849.0,3649.0,2301.0
305,77,Marshalls,FL,28.54893327,-81.34961019,236513,"28.54893327,-81.34961019",9741.0,13285.0,10532.0,7406.0,8469.0,11909.0
306,78,Marshalls,FL,28.55435066,-81.47929418,235265,"28.55435066,-81.47929418",10793.0,17064.0,11788.0,7638.0,6841.0,5209.0
307,79,Marshalls,FL,25.93840204,-80.2473497,233046,"25.93840204,-80.2473497",20201.0,33459.0,25323.0,16219.0,14936.0,7495.0
308,80,Marshalls,FL,26.18834769,-80.20689326,223103,"26.18834769,-80.20689326",16803.0,28609.0,22657.0,14646.0,14879.0,8015.0
309,81,Marshalls,FL,30.14840093,-81.75340135,211309,"30.14840093,-81.75340135",3670.0,6727.0,7038.0,7811.0,7221.0,5335.0
310,82,Marshalls,FL,27.78893025,-82.73017403,201749,"27.78893025,-82.73017403",6656.0,13641.0,10950.0,8532.0,9682.0,7256.0
311,83,Marshalls,FL,26.11916123,-80.17708116,188704,"26.11916123,-80.17708116",13590.0,20877.0,14076.0,10496.0,11329.0,10711.0
312,84,Marshalls,FL,25.77398514,-80.32171357,175715,"25.77398514,-80.32171357",18384.0,28324.0,19408.0,13822.0,16973.0,14727.0
313,85,Marshalls,FL,28.65364973,-81.20987675,150855,"28.65364973,-81.20987675",2218.0,4076.0,4412.0,5094.0,7586.0,8971.0
314,86,Marshalls,FL,27.07493951,-82.42337358,127309,"27.07493951,-82.42337358",1406.0,4107.0,4670.0,3773.0,3945.0,3582.0
315,87,Marshalls,FL,27.89163011,-82.78264183,114594,"27.89163011,-82.78264183",6582.0,14354.0,12174.0,9500.0,11647.0,9102.0
316,1,Marshalls,AL,34.67480735,-86.5457253,579489,"34.67480735,-86.5457253",2750.0,3030.0,3042.0,2827.0,4275.0,5218.0
317,2,Marshalls,AL,30.37788523,-87.68632428,560818,"30.37788523,-87.68632428",583.0,1205.0,1304.0,747.0,1286.0,372.0
318,3,Marshalls,AL,32.3596849,-86.15858661,459410,"32.3596849,-86.15858661",2396.0,3285.0,3985.0,3552.0,5196.0,3960.0
319,4,Marshalls,AL,30.67761061,-88.12260762,418587,"30.67761061,-88.12260762",7892.0,9004.0,6665.0,4635.0,4984.0,3994.0
320,5,Marshalls,AL,33.36105771,-86.85386633,395458,"33.36105771,-86.85386633",1517.0,3579.0,3419.0,3346.0,5336.0,6243.0
321,6,Marshalls,AL,33.63910488,-86.62771501,330430,"33.63910488,-86.62771501",3481.0,4713.0,3717.0,3324.0,3913.0,2972.0
322,7,Marshalls,AL,34.75430438,-86.74775761,266024,"34.75430438,-86.74775761",1500.0,2428.0,3618.0,4193.0,6091.0,8238.0
