,Rank,Name,State,Lat,Long,Total_Visits,client_coords,num_starbucks,has_starbucks
69,4,HomeGoods,AL,31.22710584,-85.43081099,368202,"31.22710584,-85.43081099",0,0
70,5,HomeGoods,AL,30.65240475,-88.11551895,319823,"30.65240475,-88.11551895",1,1
71,6,HomeGoods,AL,33.61003818,-86.62374802,266300,"33.61003818,-86.62374802",0,0
72,7,HomeGoods,AL,34.74181903,-86.66475598,200023,"34.74181903,-86.66475598",0,0
73,1,T.J. Maxx,TN,35.86071326,-83.5683857,788124,"35.86071326,-83.5683857",0,0
74,2,T.J. Maxx,TN,36.16725845,-86.50742595,749091,"36.16725845,-86.50742595",2,1
75,3,T.J. Maxx,TN,35.92612102,-84.05038172,745427,"35.92612102,-84.05038172",3,1
76,4,T.J. Maxx,TN,36.15764194,-85.51977024,660811,"36.15764194,-85.51977024",0,0
77,5,T.J. Maxx,TN,35.20680554,-84.85005376,640877,"35.20680554,-84.85005376",1,1
78,6,T.J. Maxx,TN,35.68535549,-88.85815346,570941,"35.68535549,-88.85815346",2,1
79,7,T.J. Maxx,TN,36.00897711,-84.25540392,564026,"36.00897711,-84.25540392",2,1
80,8,T.J. Maxx,TN,35.84369359,-86.42686426,561342,"35.84369359,-86.42686426",2,1
81,9,T.J. Maxx,TN,35.94843845,-86.82378745,556232,"35.94843845,-86.82378745",1,1
82,10,T.J. Maxx,TN,36.34252832,-82.37427925,545687,"36.34252832,-82.37427925",2,1
83,11,T.J. Maxx,TN,36.58458236,-87.29943281,534449,"36.58458236,-87.29943281",1,1
84,12,T.J. Maxx,TN,35.10794912,-89.89152508,500644,"35.10794912,-89.89152508",2,1
85,13,T.J. Maxx,TN,35.13082689,-85.24237553,500491,"35.13082689,-85.24237553",0,0
86,14,T.J. Maxx,TN,35.19806565,-89.79795181,493384,"35.19806565,-89.79795181",3,1
87,15,T.J. Maxx,TN,35.98682337,-86.55388837,485393,"35.98682337,-86.55388837",2,1
88,16,T.J. Maxx,TN,35.09294198,-89.80711403,472892,"35.09294198,-89.80711403",2,1
89,17,T.J. Maxx,TN,35.59649977,-87.05967781,420748,"35.59649977,-87.05967781",1,1
90,18,T.J. Maxx,TN,36.54353673,-82.5164586,411169,"36.54353673,-82.5164586",1,1
91,19,T.J. Maxx,TN,36.2929558,-86.7005579,394611,"36.2929558,-86.7005579",1,1
92,20,T.J. Maxx,TN,36.07580319,-86.92191319,327611,"36.07580319,-86.92191319",1,1
93,21,T.J. Maxx,TN,35.15045294,-89.919667,308351,"35.15045294,-89.919667",0,0
94,22,T.J. Maxx,TN,35.03692797,-85.15375197,192587,"35.03692797,-85.15375197",2,1
95,1,T.J. Maxx,FL,25.65297847,-80.41389258,1134979,"25.65297847,-80.41389258",1,1
96,2,T.J. Maxx,FL,29.6620785,-82.42281801,827305,"29.6620785,-82.42281801",0,0
97,3,T.J. Maxx,FL,30.49295275,-87.22688285,817421,"30.49295275,-87.22688285",0,0
98,4,T.J. Maxx,FL,26.58756608,-80.14509673,802937,"26.58756608,-80.14509673",0,0
99,5,T.J. Maxx,FL,28.55369117,-81.19964538,768982,"28.55369117,-81.19964538",1,1
100,6,T.J. Maxx,FL,26.15151895,-80.32182243,697556,"26.15151895,-80.32182243",3,1
101,7,T.J. Maxx,FL,28.75430353,-81.34597083,673708,"28.75430353,-81.34597083",1,1
102,8,T.J. Maxx,FL,27.107679,-82.43585655,659108,"27.107679,-82.43585655",0,0
103,9,T.J. Maxx,FL,30.50322099,-84.24983703,629904,"30.50322099,-84.24983703",1,1
104,10,T.J. Maxx,FL,28.01355971,-82.73333397,625093,"28.01355971,-82.73333397",2,1
105,11,T.J. Maxx,FL,25.74593131,-80.33410972,596128,"25.74593131,-80.33410972",1,1
106,12,T.J. Maxx,FL,26.31583737,-80.15573678,592478,"26.31583737,-80.15573678",2,1
107,13,T.J. Maxx,FL,25.86853738,-80.29271011,584261,"25.86853738,-80.29271011",1,1
108,14,T.J. Maxx,FL,27.84696052,-82.64561699,528605,"27.84696052,-82.64561699",1,1
109,15,T.J. Maxx,FL,30.60089884,-87.12569893,505569,"30.60089884,-87.12569893",1,1
110,16,T.J. Maxx,FL,30.42708329,-86.64275731,502766,"30.42708329,-86.64275731",2,1
111,17,T.J. Maxx,FL,28.09361164,-81.97052271,501134,"28.09361164,-81.97052271",2,1
112,18,T.J. Maxx,FL,30.18750453,-85.66889004,488801,"30.18750453,-85.66889004",0,0
113,19,T.J. Maxx,FL,25.48055461,-80.44006876,487096,"25.48055461,-80.44006876",0,0
114,20,T.J. Maxx,FL,29.1655025,-82.17087219,486906,"29.1655025,-82.17087219",2,1
115,21,T.J. Maxx,FL,27.94218865,-82.32392391,483380,"27.94218865,-82.32392391",2,1
116,22,T.J. Maxx,FL,26.20787927,-81.76659535,474058,"26.20787927,-81.76659535",1,1
117,23,T.J. Maxx,FL,26.72314373,-80.09031477,471527,"26.72314373,-80.09031477",2,1
118,24,T.J. Maxx,FL,30.31812252,-81.49467181,468333,"30.31812252,-81.49467181",0,0
119,25,T.J. Maxx,FL,26.54322828,-81.87297893,462091,"26.54322828,-81.87297893",2,1
120,26,T.J. Maxx,FL,28.00274354,-81.71699889,452901,"28.00274354,-81.71699889",0,0
121,27,T.J. Maxx,FL,27.83769786,-82.78558611,447977,"27.83769786,-82.78558611",1,1
122,28,T.J. Maxx,FL,28.34259836,-81.43024952,440521,"28.34259836,-81.43024952",0,0
123,29,T.J. Maxx,FL,25.94449895,-80.16804489,437395,"25.94449895,-80.16804489",1,1
124,30,T.J. Maxx,FL,28.35488355,-80.69962881,436561,"28.35488355,-80.69962881",1,1
125,31,T.J. Maxx,FL,28.85592895,-82.38808677,436022,"28.85592895,-82.38808677",0,0
126,32,T.J. Maxx,FL,27.9343907,-82.5041293,433619,"27.9343907,-82.5041293",1,1
127,33,T.J. Maxx,FL,28.98319412,-81.2970863,433588,"28.98319412,-81.2970863",1,1
128,34,T.J. Maxx,FL,26.05054556,-80.1584286,432420,"26.05054556,-80.1584286",0,0
129,35,T.J. Maxx,FL,28.09657182,-82.50415771,426394,"28.09657182,-82.50415771",1,1
130,36,T.J. Maxx,FL,27.3912488,-82.45129698,425778,"27.3912488,-82.45129698",4,1
131,37,T.J. Maxx,FL,26.4087816,-81.80781382,424396,"26.4087816,-81.80781382",2,1
132,38,T.J. Maxx,FL,28.24525552,-82.3519224,422295,"28.24525552,-82.3519224",0,0
133,39,T.J. Maxx,FL,27.17634489,-80.23343587,420282,"27.17634489,-80.23343587",1,1
134,40,T.J. Maxx,FL,26.67048683,-80.20063747,420064,"26.67048683,-80.20063747",0,0
135,41,T.J. Maxx,FL,26.00591221,-80.29370672,417530,"26.00591221,-80.29370672",2,1
136,42,T.J. Maxx,FL,30.17392564,-81.62531711,414246,"30.17392564,-81.62531711",1,1
137,43,T.J. Maxx,FL,27.26705026,-80.42612145,412044,"27.26705026,-80.42612145",1,1
138,44,T.J. Maxx,FL,27.30044557,-82.51561173,407702,"27.30044557,-82.51561173",0,0
139,45,T.J. Maxx,FL,28.65402248,-81.23824259,407213,"28.65402248,-81.23824259",1,1
140,46,T.J. Maxx,FL,26.09446672,-80.24687382,404350,"26.09446672,-80.24687382",1,1
141,47,T.J. Maxx,FL,28.3437306,-81.61100861,403661,"28.3437306,-81.61100861",0,0
142,48,T.J. Maxx,FL,24.56895824,-81.76467933,398704,"24.56895824,-81.76467933",0,0
143,49,T.J. Maxx,FL,29.21491333,-81.09462894,394250,"29.21491333,-81.09462894",0,0
144,50,T.J. Maxx,FL,28.14520774,-82.74282158,393258,"28.14520774,-82.74282158",1,1
145,51,T.J. Maxx,FL,26.36939616,-80.18476253,388285,"26.36939616,-80.18476253",0,0
146,52,T.J. Maxx,FL,30.62725796,-81.54318296,384661,"30.62725796,-81.54318296",1,1
147,53,T.J. Maxx,FL,27.03686694,-82.21180891,372532,"27.03686694,-82.21180891",1,1
148,54,T.J. Maxx,FL,27.53392359,-82.5001003,361127,"27.53392359,-82.5001003",1,1
149,55,T.J. Maxx,FL,25.93157044,-80.13307806,358812,"25.93157044,-80.13307806",0,0
150,56,T.J. Maxx,FL,25.84220634,-80.36722567,358548,"25.84220634,-80.36722567",0,0
151,57,T.J. Maxx,FL,25.77152352,-80.3586794,357749,"25.77152352,-80.3586794",1,1
152,58,T.J. Maxx,FL,28.23810502,-80.72728213,350150,"28.23810502,-80.72728213",0,0
153,59,T.J. Maxx,FL,28.46601142,-81.45315319,345585,"28.46601142,-81.45315319",2,1
154,60,T.J. Maxx,FL,26.24607539,-80.25473906,344990,"26.24607539,-80.25473906",1,1
155,61,T.J. Maxx,FL,26.62472624,-81.94223871,342542,"26.62472624,-81.94223871",0,0
156,62,T.J. Maxx,FL,27.78777098,-82.72691369,339013,"27.78777098,-82.72691369",2,1
157,63,T.J. Maxx,FL,25.64533932,-80.33584156,337427,"25.64533932,-80.33584156",1,1
158,64,T.J. Maxx,FL,30.19218922,-81.74298135,335570,"30.19218922,-81.74298135",1,1
159,65,T.J. Maxx,FL,27.99824863,-82.56452435,335513,"27.99824863,-82.56452435",0,0
160,66,T.J. Maxx,FL,28.53867377,-81.73534444,335203,"28.53867377,-81.73534444",0,0
161,67,T.J. Maxx,FL,26.93601626,-80.09159423,333353,"26.93601626,-80.09159423",1,1
162,68,T.J. Maxx,FL,27.93010714,-82.7891115,333314,"27.93010714,-82.7891115",0,0
163,69,T.J. Maxx,FL,26.53119923,-80.08904205,330921,"26.53119923,-80.08904205",2,1
164,70,T.J. Maxx,FL,29.47775566,-81.2153126,330474,"29.47775566,-81.2153126",1,1
165,71,T.J. Maxx,FL,26.00974618,-80.35720031,320118,"26.00974618,-80.35720031",1,1
166,72,T.J. Maxx,FL,27.6385425,-80.38230785,318362,"27.6385425,-80.38230785",0,0
167,73,T.J. Maxx,FL,28.81919966,-81.67658074,317349,"28.81919966,-81.67658074",0,0
168,74,T.J. Maxx,FL,26.8431894,-80.07067753,309767,"26.8431894,-80.07067753",0,0
169,75,T.J. Maxx,FL,28.93295269,-81.93829386,308812,"28.93295269,-81.93829386",2,1
170,76,T.J. Maxx,FL,26.44302204,-80.07223489,302075,"26.44302204,-80.07223489",1,1
171,77,T.J. Maxx,FL,28.6278281,-81.31945704,299426,"28.6278281,-81.31945704",1,1
172,78,T.J. Maxx,FL,28.23348648,-82.73085927,296551,"28.23348648,-82.73085927",1,1
173,79,T.J. Maxx,FL,28.51589552,-81.37907899,280372,"28.51589552,-81.37907899",2,1
174,80,T.J. Maxx,FL,28.34613124,-81.482625,276207,"28.34613124,-81.482625",0,0
175,81,T.J. Maxx,FL,28.26414526,-82.18649301,271995,"28.26414526,-82.18649301",0,0
176,82,T.J. Maxx,FL,28.65683065,-81.42086953,264589,"28.65683065,-81.42086953",1,1
177,83,T.J. Maxx,FL,28.39139541,-81.24781724,264054,"28.39139541,-81.24781724",1,1
178,84,T.J. Maxx,FL,26.60843087,-81.81345361,239397,"26.60843087,-81.81345361",0,0
179,85,T.J. Maxx,FL,30.26072448,-81.6244509,182806,"30.26072448,-81.6244509",0,0
180,86,T.J. Maxx,FL,26.09717542,-80.12949882,179403,"26.09717542,-80.12949882",2,1
181,87,T.J. Maxx,FL,27.43332377,-82.57887006,134530,"27.43332377,-82.57887006",0,0
182,88,T.J. Maxx,FL,25.88796775,-80.16249003,112783,"25.88796775,-80.16249003",0,0
183,1,T.J. Maxx,AL,34.82570805,-87.62562727,757204,"34.82570805,-87.62562727",0,0
184,2,T.J. Maxx,AL,31.2460136,-85.424775,710596,"31.2460136,-85.424775",0,0
185,3,T.J. Maxx,AL,33.39335053,-86.80787109,676723,"33.39335053,-86.80787109",1,1
186,4,T.J. Maxx,AL,32.61772288,-85.40596121,672003,"32.61772288,-85.40596121",2,1
187,5,T.J. Maxx,AL,34.01266801,-85.98970988,595703,"34.01266801,-85.98970988",0,0
188,6,T.J. Maxx,AL,33.18497378,-87.52800996,585935,"33.18497378,-87.52800996",0,0
189,7,T.J. Maxx,AL,34.27934442,-86.20673902,550241,"34.27934442,-86.20673902",0,0
190,8,T.J. Maxx,AL,32.45711144,-86.3968484,548695,"32.45711144,-86.3968484",1,1
191,9,T.J. Maxx,AL,33.60483555,-86.63828671,531727,"33.60483555,-86.63828671",1,1
192,10,T.J. Maxx,AL,33.60837815,-85.78320548,531480,"33.60837815,-85.78320548",1,1
193,11,T.J. Maxx,AL,33.22367944,-86.80391794,524758,"33.22367944,-86.80391794",2,1
194,12,T.J. Maxx,AL,34.15084311,-86.83897821,522109,"34.15084311,-86.83897821",1,1
195,13,T.J. Maxx,AL,34.68981044,-86.57808509,520098,"34.68981044,-86.57808509",1,1
196,14,T.J. Maxx,AL,32.34508806,-86.22138895,510554,"32.34508806,-86.22138895",0,0
197,15,T.J. Maxx,AL,33.64939863,-86.823636,489876,"33.64939863,-86.823636",1,1
198,16,T.J. Maxx,AL,34.75703117,-86.73690152,485713,"34.75703117,-86.73690152",1,1
199,17,T.J. Maxx,AL,30.65283447,-87.90662753,471157,"30.65283447,-87.90662753",1,1
200,18,T.J. Maxx,AL,31.3179396,-85.82869189,469954,"31.3179396,-85.82869189",0,0
201,19,T.J. Maxx,AL,30.37584144,-87.67847689,458653,"30.37584144,-87.67847689",1,1
202,20,T.J. Maxx,AL,33.84977072,-87.26907566,456588,"33.84977072,-87.26907566",0,0
203,21,T.J. Maxx,AL,33.4218513,-86.69223753,422139,"33.4218513,-86.69223753",1,1
204,22,T.J. Maxx,AL,30.67742241,-88.14683993,365909,"30.67742241,-88.14683993",1,1
205,23,T.J. Maxx,AL,31.77784479,-85.9452729,347167,"31.77784479,-85.9452729",0,0
206,24,T.J. Maxx,AL,33.33548414,-86.99132475,314216,"33.33548414,-86.99132475",0,0
207,25,T.J. Maxx,AL,33.17396136,-86.28282353,296829,"33.17396136,-86.28282353",0,0
208,1,Marshalls,TN,35.90036903,-84.16504292,667805,"35.90036903,-84.16504292",0,0
209,2,Marshalls,TN,36.59428253,-82.26120263,603255,"36.59428253,-82.26120263",0,0
210,3,Marshalls,TN,36.00560161,-84.02129132,561367,"36.00560161,-84.02129132",0,0
211,4,Marshalls,TN,36.06464859,-87.38214268,498539,"36.06464859,-87.38214268",0,0
212,5,Marshalls,TN,35.7947587,-83.55793115,482572,"35.7947587,-83.55793115",0,0
213,6,Marshalls,TN,35.66831885,-88.86081176,429958,"35.66831885,-88.86081176",1,1
214,7,Marshalls,TN,35.06692717,-89.75868571,425903,"35.06692717,-89.75868571",1,1
215,8,Marshalls,TN,35.03060566,-85.1603834,404148,"35.03060566,-85.1603834",2,1
216,9,Marshalls,TN,36.50635176,-87.27211958,380377,"36.50635176,-87.27211958",1,1
217,10,Marshalls,TN,35.1717264,-89.79537508,376821,"35.1717264,-89.79537508",1,1
218,11,Marshalls,TN,36.18078371,-86.63873721,357338,"36.18078371,-86.63873721",0,0
219,12,Marshalls,TN,36.058481,-89.38297864,346149,"36.058481,-89.38297864",0,0
220,13,Marshalls,TN,35.85514928,-86.42752802,345718,"35.85514928,-86.42752802",2,1
221,14,Marshalls,TN,35.05252409,-89.80833985,340179,"35.05252409,-89.80833985",1,1
222,15,Marshalls,TN,35.15531384,-85.2457901,319111,"35.15531384,-85.2457901",1,1
223,16,Marshalls,TN,35.9487633,-86.8177021,294725,"35.9487633,-86.8177021",1,1
224,17,Marshalls,TN,35.20774682,-89.89610965,274228,"35.20774682,-89.89610965",0,0
225,18,Marshalls,TN,36.13668573,-86.89025267,256613,"36.13668573,-86.89025267",1,1
226,19,Marshalls,TN,36.17549394,-82.79590644,247037,"36.17549394,-82.79590644",0,0
227,20,Marshalls,TN,36.03737298,-83.8873844,241529,"36.03737298,-83.8873844",1,1
228,21,Marshalls,TN,36.32191681,-86.6014702,199711,"36.32191681,-86.6014702",0,0
229,1,Marshalls,FL,26.6834479,-80.22362638,819819,"26.6834479,-80.22362638",1,1
230,2,Marshalls,FL,29.11130473,-81.03616413,754601,"29.11130473,-81.03616413",2,1
231,3,Marshalls,FL,27.63733172,-80.44914495,702859,"27.63733172,-80.44914495",2,1
232,4,Marshalls,FL,28.52103765,-81.58389624,650072,"28.52103765,-81.58389624",1,1
233,5,Marshalls,FL,25.86463408,-80.31606456,622791,"25.86463408,-80.31606456",1,1
234,6,Marshalls,FL,29.86862798,-81.32534911,599968,"29.86862798,-81.32534911",1,1
235,7,Marshalls,FL,25.74786693,-80.38838071,562742,"25.74786693,-80.38838071",0,0
236,8,Marshalls,FL,28.34226274,-81.41032988,559928,"28.34226274,-81.41032988",1,1
237,9,Marshalls,FL,27.99839165,-81.96058114,559641,"27.99839165,-81.96058114",0,0
238,10,Marshalls,FL,28.20242974,-82.66406799,555623,"28.20242974,-82.66406799",2,1
239,11,Marshalls,FL,28.02853219,-82.50300763,552525,"28.02853219,-82.50300763",0,0
240,12,Marshalls,FL,26.14945018,-80.32563391,548214,"26.14945018,-80.32563391",3,1
241,13,Marshalls,FL,30.27075293,-81.39014639,541376,"30.27075293,-81.39014639",1,1
242,14,Marshalls,FL,29.62730729,-82.38218874,527287,"29.62730729,-82.38218874",1,1
243,15,Marshalls,FL,28.53635626,-82.50622751,502202,"28.53635626,-82.50622751",1,1
244,16,Marshalls,FL,25.6861927,-80.42254009,483807,"25.6861927,-80.42254009",1,1
245,17,Marshalls,FL,27.94261139,-82.32225189,482310,"27.94261139,-82.32225189",2,1
246,18,Marshalls,FL,25.93155015,-80.12302813,481957,"25.93155015,-80.12302813",1,1
247,19,Marshalls,FL,28.60393079,-81.36809838,473033,"28.60393079,-81.36809838",2,1
248,20,Marshalls,FL,28.93027812,-82.01828307,466065,"28.93027812,-82.01828307",0,0
249,21,Marshalls,FL,26.96015233,-80.08295057,458671,"26.96015233,-80.08295057",0,0
250,22,Marshalls,FL,30.22129622,-85.8701446,454293,"30.22129622,-85.8701446",2,1
251,23,Marshalls,FL,27.79620131,-82.33245096,453903,"27.79620131,-82.33245096",1,1
252,24,Marshalls,FL,27.39169372,-82.45327833,436709,"27.39169372,-82.45327833",3,1
253,25,Marshalls,FL,28.17546464,-82.35555788,435297,"28.17546464,-82.35555788",2,1
254,26,Marshalls,FL,27.49891405,-81.485903,429195,"27.49891405,-81.485903",1,1
255,27,Marshalls,FL,30.44015803,-84.25826912,427271,"30.44015803,-84.25826912",2,1
256,28,Marshalls,FL,25.80987875,-80.19355365,424338,"25.80987875,-80.19355365",2,1
257,29,Marshalls,FL,26.48581527,-81.78940397,423864,"26.48581527,-81.78940397",3,1
258,30,Marshalls,FL,28.05040396,-82.69797409,417388,"28.05040396,-82.69797409",1,1
259,31,Marshalls,FL,26.21278703,-80.10717035,415341,"26.21278703,-80.10717035",0,0
260,32,Marshalls,FL,25.48042614,-80.46169303,414816,"25.48042614,-80.46169303",1,1
261,33,Marshalls,FL,30.38944671,-86.43912186,406771,"30.38944671,-86.43912186",0,0
262,34,Marshalls,FL,26.17261584,-81.80103344,406080,"26.17261584,-81.80103344",1,1
263,35,Marshalls,FL,27.23554687,-80.26661916,403317,"27.23554687,-80.26661916",3,1
264,36,Marshalls,FL,26.31571519,-80.15697515,396312,"26.31571519,-80.15697515",2,1
265,37,Marshalls,FL,26.84377179,-80.0737879,395690,"26.84377179,-80.0737879",0,0
266,38,Marshalls,FL,29.13878799,-82.19278881,394080,"29.13878799,-82.19278881",1,1
267,39,Marshalls,FL,26.58642025,-81.86958965,393505,"26.58642025,-81.86958965",0,0
268,40,Marshalls,FL,28.49535372,-81.43035435,392484,"28.49535372,-81.43035435",3,1
269,41,Marshalls,FL,27.01499547,-82.14422047,376088,"27.01499547,-82.14422047",2,1
270,42,Marshalls,FL,28.03888338,-80.66485967,375449,"28.03888338,-80.66485967",1,1
271,43,Marshalls,FL,26.27086874,-81.79847013,374136,"26.27086874,-81.79847013",1,1
272,44,Marshalls,FL,26.36594881,-80.1735641,367379,"26.36594881,-80.1735641",1,1
273,45,Marshalls,FL,26.04343239,-80.15896058,363170,"26.04343239,-80.15896058",0,0
274,46,Marshalls,FL,26.52946565,-80.09281893,360793,"26.52946565,-80.09281893",1,1
275,47,Marshalls,FL,30.48249025,-81.6407356,360382,"30.48249025,-81.6407356",1,1
276,48,Marshalls,FL,26.28817959,-80.24929148,358726,"26.28817959,-80.24929148",0,0
277,49,Marshalls,FL,28.67530247,-81.4710751,358512,"28.67530247,-81.4710751",0,0
278,50,Marshalls,FL,28.39222915,-81.48445473,356655,"28.39222915,-81.48445473",1,1
279,51,Marshalls,FL,28.22398965,-81.64276718,356560,"28.22398965,-81.64276718",1,1
280,52,Marshalls,FL,27.26052384,-82.51795607,350911,"27.26052384,-82.51795607",0,0
281,53,Marshalls,FL,30.17570908,-81.62667292,341760,"30.17570908,-81.62667292",1,1
282,54,Marshalls,FL,28.47550606,-81.28715209,339297,"28.47550606,-81.28715209",0,0
283,55,Marshalls,FL,25.62066372,-80.34234868,335509,"25.62066372,-80.34234868",1,1
284,56,Marshalls,FL,28.55145091,-80.84290999,335028,"28.55145091,-80.84290999",2,1
285,57,Marshalls,FL,26.44065508,-80.07277198,332075,"26.44065508,-80.07277198",1,1
