Rank,Name,State,Lat,Long,Total_Visits,client_coords,num_Discretionary,num_High-Mid-Range,num_Low-Mid-Range,num_Workforce,avg_sqft_Discretionary,avg_sqft_High_Mid-Range,avg_sqft_Low-Mid-Range,avg_sqft_Workforce,avg_rent_Discretionary,avg_rent_High_Mid-Range,avg_rent_Low-Mid-Range,avg_rent_Workforce,Student_Housing,Affordable_Housing,Military_Housing,Senior_Housing,Adaptive_Reuse,Single_Family_Rental,Fractured_Condo
42,T.J. Maxx,FL,30.17392564,-81.62531711,414246,"30.17392564,-81.62531711",0,10,8,3,,1034.176271,948.2315641,522.8398268,,1502.666667,1214.6,961,0,5,0,1,0,1,0
43,T.J. Maxx,FL,27.26705026,-80.42612145,412044,"27.26705026,-80.42612145",0,0,0,0,,,,,,,,,0,0,0,0,0,0,
44,T.J. Maxx,FL,27.30044557,-82.51561173,407702,"27.30044557,-82.51561173",1,2,5,9,1174.137681,1092.124555,981.6566962,784.7654865,3716,2314,1836.2,1320.142857,0,1,0,1,0,0,0
45,T.J. Maxx,FL,28.65402248,-81.23824259,407213,"28.65402248,-81.23824259",0,9,9,0,,1104.529848,1057.20961,,,1878.625,1836.142857,,1,5,0,0,0,1,1
46,T.J. Maxx,FL,26.09446672,-80.24687382,404350,"26.09446672,-80.24687382",0,16,16,1,,1066.711876,873.8467357,862.5,,2400.625,1946.909091,1591,0,2,0,1,0,0,3
47,T.J. Maxx,FL,28.3437306,-81.61100861,403661,"28.3437306,-81.61100861",0,5,2,1,,907.5678108,1018.265038,300,,1625.2,2156,795,0,1,0,0,0,0,0
48,T.J. Maxx,FL,24.56895824,-81.76467933,398704,"24.56895824,-81.76467933",0,0,0,0,,,,,,,,,0,0,0,0,0,0,
49,T.J. Maxx,FL,29.21491333,-81.09462894,394250,"29.21491333,-81.09462894",0,3,11,16,,1055.196789,1018.8389,815.213246,,1564,1688.222222,1187.5,2,8,0,3,0,0,0
50,T.J. Maxx,FL,28.14520774,-82.74282158,393258,"28.14520774,-82.74282158",0,1,4,8,,1067.574074,916.6875761,781.5081656,,2024,1525.333333,942,0,7,0,3,0,0,1
51,T.J. Maxx,FL,26.36939616,-80.18476253,388285,"26.36939616,-80.18476253",1,13,3,0,1551.225589,1196.421699,631.6976662,,3643,2553,2561,,0,3,0,2,0,1,1
52,T.J. Maxx,FL,30.62725796,-81.54318296,384661,"30.62725796,-81.54318296",0,1,3,0,,1066.658333,1073.849603,,,1703,1683,,0,2,0,0,0,0,1
53,T.J. Maxx,FL,27.03686694,-82.21180891,372532,"27.03686694,-82.21180891",0,0,1,1,,,890.375,753,,,,,0,2,0,1,0,0,0
54,T.J. Maxx,FL,27.53392359,-82.5001003,361127,"27.53392359,-82.5001003",0,2,4,1,,1204.585714,1002.15702,842.5714286,,2036,1975.5,,0,3,0,0,0,0,0
55,T.J. Maxx,FL,25.93157044,-80.13307806,358812,"25.93157044,-80.13307806",0,9,7,17,,1067.922351,846.264028,880.2167005,,2596.571429,1845.571429,1539.833333,0,5,0,1,0,1,1
56,T.J. Maxx,FL,25.84220634,-80.36722567,358548,"25.84220634,-80.36722567",0,18,2,4,,1060.734709,1015.009512,799.4863946,,2616.8125,2169,1748,0,3,0,1,0,1,1
57,T.J. Maxx,FL,25.77152352,-80.3586794,357749,"25.77152352,-80.3586794",0,10,16,19,,1018.249769,892.9628239,702.8824102,,2523.555556,2317.833333,1403.357143,4,7,0,5,0,0,1
58,T.J. Maxx,FL,28.23810502,-80.72728213,350150,"28.23810502,-80.72728213",0,4,4,0,,1088.269925,1034.945326,,,2027.666667,1759.5,,0,2,0,1,0,0,0
59,T.J. Maxx,FL,28.46601142,-81.45315319,345585,"28.46601142,-81.45315319",3,30,16,8,966.7488746,968.5647404,836.1086565,861.4094224,2321.5,1814.142857,1226.583333,1221.285714,0,9,0,1,0,0,2
60,T.J. Maxx,FL,26.24607539,-80.25473906,344990,"26.24607539,-80.25473906",0,20,12,1,,1152.000952,900.3246528,1016.504854,,2208.7,1772.636364,1664,0,1,0,1,0,0,2
61,T.J. Maxx,FL,26.62472624,-81.94223871,342542,"26.62472624,-81.94223871",0,1,0,1,,994.9953917,,589,,1453,,,0,1,0,1,0,0,1
62,T.J. Maxx,FL,27.78777098,-82.72691369,339013,"27.78777098,-82.72691369",0,1,4,14,,827.95,741.0652958,780.0888624,,1462,1762.666667,1188.076923,0,2,0,2,0,0,0
63,T.J. Maxx,FL,25.64533932,-80.33584156,337427,"25.64533932,-80.33584156",0,1,3,10,,977.0351288,720.1642385,860.3639384,,1990,1528,1642.25,0,6,0,1,0,0,1
64,T.J. Maxx,FL,30.19218922,-81.74298135,335570,"30.19218922,-81.74298135",0,1,30,3,,1123.1875,960.18396,891.1925065,,1408,1322.04,1209,0,9,0,1,0,0,1
65,T.J. Maxx,FL,27.99824863,-82.56452435,335513,"27.99824863,-82.56452435",1,9,21,1,,1003.657679,874.5338128,548.5714286,,1952.444444,1545.75,1063,0,1,0,0,0,0,2
66,T.J. Maxx,FL,28.53867377,-81.73534444,335203,"28.53867377,-81.73534444",0,7,4,0,,1045.371893,797.1050838,,,1790,1281,,0,2,0,1,0,0,0
67,T.J. Maxx,FL,26.93601626,-80.09159423,333353,"26.93601626,-80.09159423",0,4,5,1,,1118.367907,779.9331553,1100,,2716.5,1479.333333,1025,0,3,0,2,0,0,0
68,T.J. Maxx,FL,27.93010714,-82.7891115,333314,"27.93010714,-82.7891115",0,1,21,22,,781.8095238,898.9464244,793.3605343,,1211,1598.555556,1373.714286,0,15,0,8,1,0,2
69,T.J. Maxx,FL,26.53119923,-80.08904205,330921,"26.53119923,-80.08904205",0,15,16,4,,1084.419485,1036.246629,876.9722222,,2345.866667,1980.428571,1823.75,0,2,0,1,0,1,4
70,T.J. Maxx,FL,29.47775566,-81.2153126,330474,"29.47775566,-81.2153126",0,0,6,0,,,1047.178103,,,,1465.666667,,0,4,0,2,0,1,0
71,T.J. Maxx,FL,26.00974618,-80.35720031,320118,"26.00974618,-80.35720031",0,6,0,0,,1115.098013,,,,2785,,,0,0,0,0,0,0,0
72,T.J. Maxx,FL,27.6385425,-80.38230785,318362,"27.6385425,-80.38230785",0,0,0,0,,,,,,,,,0,0,0,0,0,0,
73,T.J. Maxx,FL,28.81919966,-81.67658074,317349,"28.81919966,-81.67658074",0,0,6,12,,,991.5562135,770.1043012,,,1234,858.75,0,10,0,5,0,0,0
74,T.J. Maxx,FL,26.8431894,-80.07067753,309767,"26.8431894,-80.07067753",1,10,1,1,,1218.024609,1005.756458,1011.666667,,2772.777778,2034,1423,0,2,0,1,0,1,1
75,T.J. Maxx,FL,28.93295269,-81.93829386,308812,"28.93295269,-81.93829386",0,0,5,1,,,1089.824145,807.1969697,,,1385.333333,655,0,3,0,1,0,0,0
76,T.J. Maxx,FL,26.44302204,-80.07223489,302075,"26.44302204,-80.07223489",1,13,6,2,1074.229167,1117.896304,936.4803672,812.4556962,2930,2973.461538,2938,1361,0,10,0,3,0,0,1
77,T.J. Maxx,FL,28.6278281,-81.31945704,299426,"28.6278281,-81.31945704",0,5,31,14,,1002.825323,881.5699484,829.3024302,,1965,1510.857143,1255.083333,0,6,0,2,0,1,1
78,T.J. Maxx,FL,28.23348648,-82.73085927,296551,"28.23348648,-82.73085927",0,0,4,11,,,1016.887083,853.5464478,,,1693,1103.125,0,7,0,6,0,0,0
79,T.J. Maxx,FL,28.51589552,-81.37907899,280372,"28.51589552,-81.37907899",0,21,23,41,,911.9786246,962.5589415,750.9665501,,2123.380952,1560.733333,1297.5,0,31,0,9,0,0,4
80,T.J. Maxx,FL,28.34613124,-81.482625,276207,"28.34613124,-81.482625",0,10,7,1,,1026.682279,950.9164463,,,1846.4,1819.4,,0,3,0,1,0,0,2
81,T.J. Maxx,FL,28.26414526,-82.18649301,271995,"28.26414526,-82.18649301",0,0,4,2,,,989.2748941,772.0520402,,,1010,,0,5,0,2,0,0,0
82,T.J. Maxx,FL,28.65683065,-81.42086953,264589,"28.65683065,-81.42086953",0,20,20,6,,1026.58379,921.7212247,720.9557439,,1742,1505.5,1206,0,7,0,0,0,0,1
83,T.J. Maxx,FL,28.39139541,-81.24781724,264054,"28.39139541,-81.24781724",0,14,0,0,,1043.823434,,,,2025.5,,,0,0,0,0,0,0,0
84,T.J. Maxx,FL,26.60843087,-81.81345361,239397,"26.60843087,-81.81345361",0,6,20,4,,978.3457385,981.5030236,809.7822222,,1857.833333,1741.333333,1116,0,12,0,2,0,0,1
85,T.J. Maxx,FL,30.26072448,-81.6244509,182806,"30.26072448,-81.6244509",0,6,27,16,,967.2543399,827.5457947,765.2803615,,1482.166667,1111.25,987.75,0,12,0,4,0,0,0
86,T.J. Maxx,FL,26.09717542,-80.12949882,179403,"26.09717542,-80.12949882",1,23,15,17,910.3477157,1031.077403,852.4766978,740.4006576,2629,2930.619048,1913.4,1251.375,0,14,0,6,0,0,0
87,T.J. Maxx,FL,27.43332377,-82.57887006,134530,"27.43332377,-82.57887006",0,2,15,10,,887.090041,898.4404192,813.3454136,,1952,1544.5,1257.875,0,8,0,2,0,0,2
88,T.J. Maxx,FL,25.88796775,-80.16249003,112783,"25.88796775,-80.16249003",0,4,8,46,,937.8270502,858.6919904,808.6509814,,2495.333333,1741.571429,1442.30303,0,10,0,3,0,0,2
1,T.J. Maxx,AL,34.82570805,-87.62562727,757204,"34.82570805,-87.62562727",0,0,0,0,,,,,,,,,0,0,0,0,0,0,
2,T.J. Maxx,AL,31.2460136,-85.424775,710596,"31.2460136,-85.424775",0,0,0,0,,,,,,,,,0,0,0,0,0,0,
3,T.J. Maxx,AL,33.39335053,-86.80787109,676723,"33.39335053,-86.80787109",0,13,33,0,,1126.992953,1012.440658,,,1269.583333,1070.741935,,0,3,0,2,0,0,0
4,T.J. Maxx,AL,32.61772288,-85.40596121,672003,"32.61772288,-85.40596121",0,0,0,0,,,,,,,,,0,0,0,0,0,0,
5,T.J. Maxx,AL,34.01266801,-85.98970988,595703,"34.01266801,-85.98970988",0,0,0,0,,,,,,,,,0,0,0,0,0,0,
6,T.J. Maxx,AL,33.18497378,-87.52800996,585935,"33.18497378,-87.52800996",0,2,37,29,,1117.29436,1070.416131,789.7435421,,1455,1217.068966,721.5454545,18,12,0,3,1,0,0
7,T.J. Maxx,AL,34.27934442,-86.20673902,550241,"34.27934442,-86.20673902",0,0,0,5,,,,939.4483598,,,,535.3333333,0,3,0,0,0,0,0
8,T.J. Maxx,AL,32.45711144,-86.3968484,548695,"32.45711144,-86.3968484",0,0,0,0,,,,,,,,,0,0,0,0,0,0,
9,T.J. Maxx,AL,33.60483555,-86.63828671,531727,"33.60483555,-86.63828671",0,1,4,8,,1091.329787,966.4386338,912.5671528,,1331,985.6666667,706.7142857,0,2,0,0,0,0,0
10,T.J. Maxx,AL,33.60837815,-85.78320548,531480,"33.60837815,-85.78320548",0,0,0,0,,,,,,,,,0,0,0,0,0,0,
11,T.J. Maxx,AL,33.22367944,-86.80391794,524758,"33.22367944,-86.80391794",0,0,2,1,,,1013.962564,827.4444444,,,1112.5,1086,0,0,0,0,0,0,0
12,T.J. Maxx,AL,34.15084311,-86.83897821,522109,"34.15084311,-86.83897821",0,0,0,0,,,,,,,,,0,0,0,0,0,0,
13,T.J. Maxx,AL,34.68981044,-86.57808509,520098,"34.68981044,-86.57808509",0,4,8,33,,942.3020539,990.5472497,796.1730559,,1546.25,1073.571429,723.7894737,0,15,0,5,2,0,0
14,T.J. Maxx,AL,32.34508806,-86.22138895,510554,"32.34508806,-86.22138895",0,0,0,0,,,,,,,,,0,0,0,0,0,0,
15,T.J. Maxx,AL,33.64939863,-86.823636,489876,"33.64939863,-86.823636",0,0,2,0,,,1039.842308,,,,1159,,0,1,0,0,0,0,0
16,T.J. Maxx,AL,34.75703117,-86.73690152,485713,"34.75703117,-86.73690152",0,9,9,0,,1052.840393,1068.103593,,,1405.5,1142.833333,,0,2,0,1,0,0,0
17,T.J. Maxx,AL,30.65283447,-87.90662753,471157,"30.65283447,-87.90662753",0,1,5,3,,959.8333333,1041.913556,775.4286461,,1419,1244.75,945.6666667,0,1,0,0,0,0,0
18,T.J. Maxx,AL,31.3179396,-85.82869189,469954,"31.3179396,-85.82869189",0,0,0,0,,,,,,,,,0,0,0,0,0,0,
19,T.J. Maxx,AL,30.37584144,-87.67847689,458653,"30.37584144,-87.67847689",0,1,4,5,,1261.816667,1048.09375,839.9731199,,1324,1061.5,1006,0,2,0,1,0,2,0
20,T.J. Maxx,AL,33.84977072,-87.26907566,456588,"33.84977072,-87.26907566",0,0,2,2,,,1095.532609,862.875,,,659,638,0,1,0,0,0,0,0
21,T.J. Maxx,AL,33.4218513,-86.69223753,422139,"33.4218513,-86.69223753",0,25,2,0,,1065.040519,1013.268932,,,1363.56,1067,,0,0,0,0,0,0,0
22,T.J. Maxx,AL,30.67742241,-88.14683993,365909,"30.67742241,-88.14683993",0,0,23,37,,,1068.377176,780.4973064,,,1204.363636,786.8275862,4,10,0,4,0,0,0
23,T.J. Maxx,AL,31.77784479,-85.9452729,347167,"31.77784479,-85.9452729",0,0,0,0,,,,,,,,,0,0,0,0,0,0,
24,T.J. Maxx,AL,33.33548414,-86.99132475,314216,"33.33548414,-86.99132475",0,0,1,4,,,960.7352941,951.3938188,,,,876.6666667,0,2,0,0,0,0,0
25,T.J. Maxx,AL,33.17396136,-86.28282353,296829,"33.17396136,-86.28282353",0,0,0,0,,,,,,,,,0,0,0,0,0,0,
1,Marshalls,TN,35.90036903,-84.16504292,667805,"35.90036903,-84.16504292",0,6,2,0,,1127.637717,1104.222222,,,1415.833333,1279,,0,0,0,0,0,0,0
2,Marshalls,TN,36.59428253,-82.26120263,603255,"36.59428253,-82.26120263",0,0,0,0,,,,,,,,,0,0,0,0,0,0,
3,Marshalls,TN,36.00560161,-84.02129132,561367,"36.00560161,-84.02129132",0,1,6,10,,971.7,982.0693287,751.7336565,,1308,1311.8,762.5,0,6,0,2,0,0,0
4,Marshalls,TN,36.06464859,-87.38214268,498539,"36.06464859,-87.38214268",0,0,0,0,,,,,,,,,0,0,0,0,0,0,
5,Marshalls,TN,35.7947587,-83.55793115,482572,"35.7947587,-83.55793115",0,0,0,0,,,,,,,,,0,0,0,0,0,0,
6,Marshalls,TN,35.66831885,-88.86081176,429958,"35.66831885,-88.86081176",0,0,0,0,,,,,,,,,0,0,0,0,0,0,
7,Marshalls,TN,35.06692717,-89.75868571,425903,"35.06692717,-89.75868571",0,15,2,0,,996.1129259,1004.308074,,,1436.2,1414.5,,0,0,0,0,0,0,0
8,Marshalls,TN,35.03060566,-85.1603834,404148,"35.03060566,-85.1603834",0,4,16,5,,1034.731666,998.7296315,806.841332,,1353.25,1257.733333,965.5,0,2,0,0,0,0,0
9,Marshalls,TN,36.50635176,-87.27211958,380377,"36.50635176,-87.27211958",0,0,0,0,,,,,,,,,0,0,0,0,0,0,
10,Marshalls,TN,35.1717264,-89.79537508,376821,"35.1717264,-89.79537508",0,6,18,1,,1040.340661,981.4513243,1100,,1437.666667,1083.4375,1104,1,1,0,1,0,0,0
11,Marshalls,TN,36.18078371,-86.63873721,357338,"36.18078371,-86.63873721",0,2,23,5,,1035.16438,941.5861195,752.8826523,,1445,1390.529412,1030,0,7,0,1,0,0,0
12,Marshalls,TN,36.058481,-89.38297864,346149,"36.058481,-89.38297864",0,0,0,0,,,,,,,,,0,0,0,0,0,0,
13,Marshalls,TN,35.85514928,-86.42752802,345718,"35.85514928,-86.42752802",0,19,7,11,,1041.15853,1102.191387,760.8206727,,1476.833333,1445.6,943.2,1,3,0,1,0,0,0
14,Marshalls,TN,35.05252409,-89.80833985,340179,"35.05252409,-89.80833985",0,13,19,7,,987.7687065,978.1844496,887.8925079,,1422.769231,1012,786.8571429,0,2,0,0,0,0,0
15,Marshalls,TN,35.15531384,-85.2457901,319111,"35.15531384,-85.2457901",0,1,7,2,,1318.852459,984.3378389,828.1557692,,1729,1290.4,893,0,3,0,1,0,0,0
16,Marshalls,TN,35.9487633,-86.8177021,294725,"35.9487633,-86.8177021",6,10,4,1,1002.620767,1000.387923,897.1714744,697.6,2036.166667,1845.222222,1369.25,,0,1,0,1,0,0,0
17,Marshalls,TN,35.20774682,-89.89610965,274228,"35.20774682,-89.89610965",0,0,5,33,,,933.5187469,937.9123983,,,957.8,804.1111111,0,6,0,3,0,0,0
18,Marshalls,TN,36.13668573,-86.89025267,256613,"36.13668573,-86.89025267",1,3,17,7,1097.87037,1122.822385,1041.798094,840.1743697,2298,1919.333333,1661.5,1262.571429,0,3,0,1,0,2,1
19,Marshalls,TN,36.17549394,-82.79590644,247037,"36.17549394,-82.79590644",0,0,0,0,,,,,,,,,0,0,0,0,0,0,
20,Marshalls,TN,36.03737298,-83.8873844,241529,"36.03737298,-83.8873844",0,0,4,5,,,945.6504171,991.2376126,,,1199.5,860.5,0,3,0,0,0,0,0
21,Marshalls,TN,36.32191681,-86.6014702,199711,"36.32191681,-86.6014702",0,6,12,1,,1044.553214,901.6192387,547.5555556,,1537.5,1282.2,,0,3,0,1,0,0,0
1,Marshalls,FL,26.6834479,-80.22362638,819819,"26.6834479,-80.22362638",1,7,2,0,1155.279279,1195.738438,1081.400901,,2196,2630.166667,2232,,0,0,0,0,0,0,1
2,Marshalls,FL,29.11130473,-81.03616413,754601,"29.11130473,-81.03616413",0,3,8,2,,1002.563139,1001.342799,588.9920509,,1842.333333,1472,1094,0,2,0,0,0,0,0
3,Marshalls,FL,27.63733172,-80.44914495,702859,"27.63733172,-80.44914495",0,0,0,0,,,,,,,,,0,0,0,0,0,0,
4,Marshalls,FL,28.52103765,-81.58389624,650072,"28.52103765,-81.58389624",0,3,2,4,,1179.96665,995.8591304,802.1063669,,1950,1655,1357,0,3,0,0,0,0,0
5,Marshalls,FL,25.86463408,-80.31606456,622791,"25.86463408,-80.31606456",0,1,6,58,,1226.111111,940.8672179,739.3394859,,2380,1760.8,1359.595238,0,15,0,9,0,0,5
6,Marshalls,FL,29.86862798,-81.32534911,599968,"29.86862798,-81.32534911",0,1,7,2,,918.3935743,834.0847374,684.4682353,,2057,1220.75,1009,0,5,0,2,0,0,0
7,Marshalls,FL,25.74786693,-80.38838071,562742,"25.74786693,-80.38838071",0,1,11,14,,,928.3479704,690.1091878,,,2406.444444,1295.2,4,5,0,4,0,0,0
8,Marshalls,FL,28.34226274,-81.41032988,559928,"28.34226274,-81.41032988",0,12,22,16,,1082.893565,992.9354456,920.9200977,,1947.272727,1688.133333,1401.857143,0,16,0,2,0,0,3
9,Marshalls,FL,27.99839165,-81.96058114,559641,"27.99839165,-81.96058114",0,2,5,13,,1059.5875,993.8228557,782.1817254,,1586,1515.25,1280.444444,0,5,0,2,0,0,0
10,Marshalls,FL,28.20242974,-82.66406799,555623,"28.20242974,-82.66406799",0,4,3,6,,1028.130421,1086.335405,925.899931,,1781.25,1453,1225.5,0,0,0,2,0,0,0
11,Marshalls,FL,28.02853219,-82.50300763,552525,"28.02853219,-82.50300763",0,0,24,22,,,894.7075684,811.635989,,,1383.166667,1301.142857,0,7,0,1,0,0,4
12,Marshalls,FL,26.14945018,-80.32563391,548214,"26.14945018,-80.32563391",0,10,3,0,,1088.18617,1058.561034,,,2360.1,1946,,0,1,0,0,0,0,1
13,Marshalls,FL,30.27075293,-81.39014639,541376,"30.27075293,-81.39014639",1,8,2,3,1236.720238,978.8272771,685.0852273,728.8736574,2241,1873.857143,1213,,0,4,0,2,0,0,0
14,Marshalls,FL,29.62730729,-82.38218874,527287,"29.62730729,-82.38218874",0,5,40,47,,1257.838053,1117.48557,814.1890238,,2009.2,1662.972973,1107.886364,25,6,0,1,0,1,1
15,Marshalls,FL,28.53635626,-82.50622751,502202,"28.53635626,-82.50622751",0,0,1,0,,,882.0097087,,,,,,0,1,0,1,0,0,0
16,Marshalls,FL,25.6861927,-80.42254009,483807,"25.6861927,-80.42254009",0,4,9,8,,973.4062813,830.2101508,699.2536791,,2223.75,1924.25,1224.428571,0,3,0,1,0,0,3
17,Marshalls,FL,27.94261139,-82.32225189,482310,"27.94261139,-82.32225189",0,24,24,5,,1061.653517,956.4814283,785.1450254,,1943.041667,1542.214286,1068.75,0,12,0,1,0,0,1
18,Marshalls,FL,25.93155015,-80.12302813,481957,"25.93155015,-80.12302813",0,9,5,13,,1067.922351,845.7483383,850.2084968,,2596.571429,1876.8,1633.25,0,5,0,1,0,1,1
19,Marshalls,FL,28.60393079,-81.36809838,473033,"28.60393079,-81.36809838",0,16,12,11,,999.9630407,884.417098,663.5652017,,2120.9375,1781,1274.333333,0,12,0,6,0,0,0
20,Marshalls,FL,28.93027812,-82.01828307,466065,"28.93027812,-82.01828307",0,0,0,0,,,,,,,,,0,0,0,0,0,0,
21,Marshalls,FL,26.96015233,-80.08295057,458671,"26.96015233,-80.08295057",0,2,3,0,,1090.995629,826.4705116,,,2783,945,,0,3,0,2,0,0,0
22,Marshalls,FL,30.22129622,-85.8701446,454293,"30.22129622,-85.8701446",0,0,3,0,,,961.3052047,,,,1703.666667,,0,0,0,0,0,0,0
23,Marshalls,FL,27.79620131,-82.33245096,453903,"27.79620131,-82.33245096",0,2,1,0,,954.2966856,1140.982353,,,1854.5,1919,,0,0,0,0,0,0,0
24,Marshalls,FL,27.39169372,-82.45327833,436709,"27.39169372,-82.45327833",1,9,1,0,1047.416667,1026.724596,956.1129032,,2507,2138.875,1855,,0,0,0,0,0,0,0
25,Marshalls,FL,28.17546464,-82.35555788,435297,"28.17546464,-82.35555788",0,18,0,0,,1049.884311,,,,1873.588235,,,0,0,0,0,0,0,0
26,Marshalls,FL,27.49891405,-81.485903,429195,"27.49891405,-81.485903",0,0,0,0,,,,,,,,,0,0,0,0,0,0,
27,Marshalls,FL,30.44015803,-84.25826912,427271,"30.44015803,-84.25826912",0,1,38,43,,1232.703704,1029.810484,765.767351,,3094,1579.580645,956.6206897,27,15,0,5,0,0,0
28,Marshalls,FL,25.80987875,-80.19355365,424338,"25.80987875,-80.19355365",5,25,36,96,874.1515448,993.2753943,856.1215516,712.6093952,2514.2,2594.055556,2304.071429,1345.176471,0,95,0,33,4,0,3
29,Marshalls,FL,26.48581527,-81.78940397,423864,"26.48581527,-81.78940397",0,4,5,0,,1192.084256,1101.807224,,,2289.666667,2055.6,,3,0,0,0,0,0,0
30,Marshalls,FL,28.05040396,-82.69797409,417388,"28.05040396,-82.69797409",0,3,9,0,,1011.562169,1019.708823,,,1911,1793.125,,0,1,0,0,0,0,0
31,Marshalls,FL,26.21278703,-80.10717035,415341,"26.21278703,-80.10717035",1,4,12,7,1043.028436,927.0146415,871.4700216,746.0555573,3247,2149.75,1738.5,1197.2,0,7,0,1,0,0,0
32,Marshalls,FL,25.48042614,-80.46169303,414816,"25.48042614,-80.46169303",0,2,8,38,,996.8142857,1196.165456,765.5857032,,1685,1846.25,960.6,0,32,0,6,0,0,3
33,Marshalls,FL,30.38944671,-86.43912186,406771,"30.38944671,-86.43912186",3,2,1,0,929.5448268,1040.140071,914.7058824,,2061.333333,2373.5,1454,,0,0,0,0,0,0,0
34,Marshalls,FL,26.17261584,-81.80103344,406080,"26.17261584,-81.80103344",0,2,2,5,,829.1728395,956.2613909,734.4703609,,1779,1916,1400.333333,0,4,0,1,0,0,0
35,Marshalls,FL,27.23554687,-80.26661916,403317,"27.23554687,-80.26661916",0,0,0,0,,,,,,,,,0,0,0,0,0,0,
36,Marshalls,FL,26.31571519,-80.15697515,396312,"26.31571519,-80.15697515",1,26,15,4,1551.225589,1050.367551,935.5450194,822.7707164,3643,2300.458333,1782.692308,1554.5,0,6,0,3,0,0,4
37,Marshalls,FL,26.84377179,-80.0737879,395690,"26.84377179,-80.0737879",1,10,1,0,,1218.024609,1005.756458,,,2772.777778,2034,,0,2,0,1,0,1,1
38,Marshalls,FL,29.13878799,-82.19278881,394080,"29.13878799,-82.19278881",0,3,5,2,,1136.567354,1032.875801,652.2666667,,1797.666667,1417.6,1414,0,1,0,1,0,0,0
39,Marshalls,FL,26.58642025,-81.86958965,393505,"26.58642025,-81.86958965",0,3,24,11,,1109.747989,949.5446341,785.1222382,,1789.666667,1446.944444,1176.75,0,10,0,3,0,0,2
40,Marshalls,FL,28.49535372,-81.43035435,392484,"28.49535372,-81.43035435",0,31,31,34,,964.0247269,931.7402465,811.8622005,,1727.241379,1395.904762,1277.421053,0,31,0,3,0,0,6
41,Marshalls,FL,27.01499547,-82.14422047,376088,"27.01499547,-82.14422047",0,0,2,0,,,983.3359457,,,,1528,,0,1,0,0,0,0,0
42,Marshalls,FL,28.03888338,-80.66485967,375449,"28.03888338,-80.66485967",0,3,12,5,,1033.099723,987.7177525,758.7410714,,1750.333333,1520.5,1172.75,0,1,0,0,0,0,2
43,Marshalls,FL,26.27086874,-81.79847013,374136,"26.27086874,-81.79847013",0,3,0,0,,1001.56192,,,,2171.5,,,0,1,0,0,0,0,0
44,Marshalls,FL,26.36594881,-80.1735641,367379,"26.36594881,-80.1735641",1,17,2,0,1551.225589,1137.743426,506.0643564,,3643,2548.8,,,0,3,0,2,0,1,1
45,Marshalls,FL,26.04343239,-80.15896058,363170,"26.04343239,-80.15896058",0,8,7,14,,1092.85934,905.3692478,684.750294,,2464.75,1767.8,1190.714286,0,8,0,3,0,0,1
46,Marshalls,FL,26.52946565,-80.09281893,360793,"26.52946565,-80.09281893",0,15,16,4,,1084.419485,1036.246629,876.9722222,,2345.866667,1980.428571,1823.75,0,2,0,1,0,1,4
47,Marshalls,FL,30.48249025,-81.6407356,360382,"30.48249025,-81.6407356",0,2,6,0,,1054.857312,1096.006056,,,1698,1509.75,,0,2,0,1,0,0,0
48,Marshalls,FL,26.28817959,-80.24929148,358726,"26.28817959,-80.24929148",0,18,3,1,,1150.562466,758.7871092,1016.504854,,2284,1707,1664,0,1,0,1,0,0,1
49,Marshalls,FL,28.67530247,-81.4710751,358512,"28.67530247,-81.4710751",0,0,6,2,,,999.3711643,690.5717822,,,1684.25,,0,4,0,1,0,0,1
50,Marshalls,FL,28.39222915,-81.48445473,356655,"28.39222915,-81.48445473",1,18,7,0,,985.4325314,876.5808263,,,1946,1708.833333,,0,2,0,0,0,0,1
51,Marshalls,FL,28.22398965,-81.64276718,356560,"28.22398965,-81.64276718",0,1,4,0,,1216.9,986.6014376,,,1784,1726,,0,0,0,1,0,0,0
52,Marshalls,FL,27.26052384,-82.51795607,350911,"27.26052384,-82.51795607",0,0,6,2,,,952.2797017,745.75,,,1868.5,1218.5,0,0,0,0,0,0,0
53,Marshalls,FL,30.17570908,-81.62667292,341760,"30.17570908,-81.62667292",0,10,8,3,,1034.176271,948.2315641,522.8398268,,1502.666667,1214.6,961,0,5,0,1,0,1,0
54,Marshalls,FL,28.47550606,-81.28715209,339297,"28.47550606,-81.28715209",0,12,14,3,,1055.367769,937.7926353,805.1129103,,1853.714286,1553.272727,1363,0,11,0,1,0,0,1
55,Marshalls,FL,25.62066372,-80.34234868,335509,"25.62066372,-80.34234868",0,0,7,7,,,910.8156825,854.3861799,,,1787.5,1408.5,0,7,0,1,0,0,1
56,Marshalls,FL,28.55145091,-80.84290999,335028,"28.55145091,-80.84290999",0,1,4,4,,983.7194245,1064.241687,760.9198378,,1301,1300,982.3333333,0,2,0,0,0,0,1
57,Marshalls,FL,26.44065508,-80.07277198,332075,"26.44065508,-80.07277198",2,12,7,2,1035.419548,1116.936865,984.13593,812.4556962,2962.5,2942.25,2880.5,1361,0,9,0,3,0,0,1
58,Marshalls,FL,27.90785906,-82.50472481,331600,"27.90785906,-82.50472481",0,7,20,11,,991.6132462,817.3946901,682.153693,,2275.142857,1802.6875,1344,0,6,0,3,0,0,2
