Rank,Name,State,Lat,Long,Total_Visits,client_coords,num_Discretionary,num_High-Mid-Range,num_Low-Mid-Range,num_Workforce,avg_sqft_Discretionary,avg_sqft_High_Mid-Range,avg_sqft_Low-Mid-Range,avg_sqft_Workforce,avg_rent_Discretionary,avg_rent_High_Mid-Range,avg_rent_Low-Mid-Range,avg_rent_Workforce,Student_Housing,Affordable_Housing,Military_Housing,Senior_Housing,Adaptive_Reuse,Single_Family_Rental,Fractured_Condo
19,HomeGoods,FL,27.97878626,-81.96002689,374706,"27.97878626,-81.96002689",0,3,6,5,,1042.815909,934.0232766,885.5330735,,1655.666667,1382.8,1462,0,1,0,0,0,0,0
20,HomeGoods,FL,28.64519247,-81.26554995,349056,"28.64519247,-81.26554995",0,1,11,2,,1042.897764,991.1292508,602.9930889,,1594,1656.375,1185,0,3,0,0,0,1,1
21,HomeGoods,FL,26.1436978,-80.31846758,348545,"26.1436978,-80.31846758",0,11,4,0,,1079.010956,1024.09225,,,2373.272727,1996.75,,0,1,0,0,0,0,1
22,HomeGoods,FL,25.98144866,-80.35700351,343936,"25.98144866,-80.35700351",0,5,0,0,,1119.605616,,,,2733.8,,,0,0,0,0,0,0,0
23,HomeGoods,FL,27.00886746,-82.13459966,342255,"27.00886746,-82.13459966",0,0,1,4,,,991.2121212,551.1407143,,,1277,,0,5,0,4,0,0,0
24,HomeGoods,FL,26.04303387,-80.159139,339994,"26.04303387,-80.159139",0,8,7,14,,1092.85934,905.3692478,684.750294,,2464.75,1767.8,1190.714286,0,8,0,3,0,0,1
25,HomeGoods,FL,26.54326572,-81.87256439,339711,"26.54326572,-81.87256439",0,4,20,0,,1077.175278,933.9434558,,,1622.5,1408.666667,,0,2,0,0,0,0,0
26,HomeGoods,FL,26.72503533,-80.09046643,339550,"26.72503533,-80.09046643",3,13,29,22,923.0035602,1002.649596,952.6015494,812.7145658,3088,2369.545455,1914.066667,1323.444444,0,27,0,9,0,0,6
27,HomeGoods,FL,30.26986432,-81.39007952,338604,"30.26986432,-81.39007952",1,8,2,3,1236.720238,978.8272771,685.0852273,728.8736574,2241,1873.857143,1213,,0,4,0,2,0,0,0
28,HomeGoods,FL,30.51274856,-84.24940791,335144,"30.51274856,-84.24940791",0,2,10,0,,1060.619835,948.4492197,,,1353,1113.428571,,0,4,0,0,0,0,0
29,HomeGoods,FL,28.22413088,-81.64240978,329864,"28.22413088,-81.64240978",0,1,4,0,,1216.9,986.6014376,,,1784,1726,,0,0,0,1,0,0,0
30,HomeGoods,FL,26.48350393,-81.78857966,324403,"26.48350393,-81.78857966",0,5,5,0,,1134.748769,1101.807224,,,2181.75,2055.6,,3,0,0,0,0,0,0
31,HomeGoods,FL,28.66604187,-81.42310081,318395,"28.66604187,-81.42310081",0,22,17,3,,1049.370881,912.1107849,709.954955,,1718.409091,1524,1047,0,4,0,0,0,0,1
