,Rank,Name,State,Lat,Long,Total_Visits,client_coords,num_Discretionary,num_High-Mid-Range,num_Low-Mid-Range,num_Workforce,avg_sqft_Discretionary,avg_sqft_High_Mid-Range,avg_sqft_Low-Mid-Range,avg_sqft_Workforce,avg_rent_Discretionary,avg_rent_High_Mid-Range,avg_rent_Low-Mid-Range,avg_rent_Workforce,Student_Housing,Affordable_Housing,Military_Housing,Senior_Housing,Adaptive_Reuse,Single_Family_Rental,Fractured_Condo,Completed,Planned,Prospective,Under_Construction
21,8,HomeGoods,FL,26.43845946,-80.0875143,455531,"26.43845946,-80.0875143",19,24,9,3,1122.870558555462,1017.4997926060067,839.4400033159961,834.0,3013.4375,2565.0833333333335,,1361.0,0.0,16.0,0.0,3.0,0.0,0.0,1.0,35.0,6.0,11.0,4.0
22,9,HomeGoods,FL,26.00951958,-80.29762476,453034,"26.00951958,-80.29762476",16,19,17,0,1151.1626092477188,972.4245891713107,824.2867408090765,,2701.125,2327.909090909091,1755.625,,0.0,9.0,0.0,7.0,0.0,0.0,4.0,42.0,1.0,6.0,3.0
23,10,HomeGoods,FL,26.61141935,-81.93928049,445372,"26.61141935,-81.93928049",0,1,5,0,,994.9953917050691,589.0,,,1453.0,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0
24,11,HomeGoods,FL,30.18752975,-85.66929318,436436,"30.18752975,-85.66929318",2,5,16,19,1321.3059523809525,1179.4302600539556,1021.3343345389088,778.0402654422016,1400.5,1537.5,1119.2857142857142,950.8333333333334,0.0,18.0,1.0,3.0,0.0,1.0,0.0,32.0,2.0,5.0,3.0
25,12,HomeGoods,FL,27.39095759,-82.45131561,432976,"27.39095759,-82.45131561",6,13,2,0,1051.6451585197362,1018.1424719176217,,,2392.6,2022.888888888889,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,3.0,1.0
26,13,HomeGoods,FL,26.27045514,-80.2048016,428685,"26.27045514,-80.2048016",10,30,7,0,1064.8056637447087,987.3504128397046,897.5504908275168,,2462.2,2035.391304347826,1583.75,,0.0,4.0,0.0,2.0,0.0,0.0,3.0,41.0,1.0,5.0,1.0
27,14,HomeGoods,FL,27.92150533,-82.31622451,413292,"27.92150533,-82.31622451",10,33,31,4,1060.0516564321376,1024.8731601254412,892.4709062902685,,1989.1,1835.7586206896551,1362.75,,0.0,15.0,0.0,2.0,0.0,1.0,2.0,65.0,1.0,6.0,6.0
28,15,HomeGoods,FL,27.17784963,-80.23397274,412995,"27.17784963,-80.23397274",0,0,0,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
29,16,HomeGoods,FL,28.12517003,-82.50067145,396596,"28.12517003,-82.50067145",1,7,6,0,1114.2485875706216,917.7468939434026,881.645648742205,,2058.0,1588.2857142857142,1726.8,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,1.0,0.0
30,17,HomeGoods,FL,26.81035612,-80.10442322,395674,"26.81035612,-80.10442322",6,12,13,2,1197.4456132756134,1046.5816483382605,915.0158150863941,,2942.25,2371.8571428571427,1506.6666666666667,,0.0,11.0,0.0,3.0,0.0,0.0,1.0,24.0,1.0,7.0,1.0
31,18,HomeGoods,FL,28.19575308,-82.39523618,393463,"28.19575308,-82.39523618",4,16,1,0,1032.4189905002404,1018.8383720198458,,,1804.0,1774.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,4.0,2.0
32,19,HomeGoods,FL,27.97878626,-81.96002689,374706,"27.97878626,-81.96002689",1,6,8,5,1009.2727272727273,1041.9125850715075,881.9946644665048,705.3789954337899,1795.0,1630.6666666666667,1349.6,1188.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,2.0,0.0
33,20,HomeGoods,FL,28.64519247,-81.26554995,349056,"28.64519247,-81.26554995",0,14,17,7,,1021.948606227089,892.8709459552314,788.9657386021023,,1746.6666666666667,1493.9166666666667,1172.0,0.0,8.0,0.0,1.0,0.0,2.0,1.0,31.0,2.0,4.0,1.0
34,21,HomeGoods,FL,26.1436978,-80.31846758,348545,"26.1436978,-80.31846758",6,16,3,0,1074.9846078710193,1037.7385952063983,1035.3429487179487,,2464.1666666666665,2167.6153846153848,1990.0,,0.0,3.0,0.0,0.0,0.0,0.0,2.0,21.0,2.0,2.0,0.0
35,22,HomeGoods,FL,25.98144866,-80.35700351,343936,"25.98144866,-80.35700351",8,5,4,0,1160.5896506103284,1132.066710039225,948.75,,3034.0,2685.3333333333335,2027.0,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,13.0,1.0,3.0,0.0
36,23,HomeGoods,FL,27.00886746,-82.13459966,342255,"27.00886746,-82.13459966",0,1,4,5,,975.4597701149426,991.2121212121212,551.1407142857142,,1779.0,1277.0,,0.0,5.0,0.0,4.0,0.0,0.0,0.0,6.0,1.0,3.0,0.0
37,24,HomeGoods,FL,26.04303387,-80.159139,339994,"26.04303387,-80.159139",7,12,46,23,1015.7815259013418,1055.5690882250922,748.6029089752792,742.5316814863008,2156.0,2135.3,1398.142857142857,1111.0,0.0,15.0,0.0,4.0,0.0,0.0,1.0,34.0,18.0,29.0,7.0
38,25,HomeGoods,FL,26.54326572,-81.87256439,339711,"26.54326572,-81.87256439",1,16,15,0,1158.6822429906542,952.0378314027678,974.1422252169533,,1830.0,1458.7333333333333,1510.6363636363637,,0.0,2.0,0.0,1.0,0.0,0.0,0.0,28.0,0.0,2.0,2.0
39,26,HomeGoods,FL,26.72503533,-80.09046643,339550,"26.72503533,-80.09046643",14,25,50,23,963.2091577668863,946.8507330183828,916.0067234193384,728.9623642289339,3147.25,2116.125,1704.5555555555557,1266.4,0.0,38.0,0.0,13.0,1.0,0.0,6.0,76.0,11.0,16.0,10.0
40,27,HomeGoods,FL,30.26986432,-81.39007952,338604,"30.26986432,-81.39007952",9,3,7,0,986.781890227021,1173.0833333333333,711.3582853643818,,1905.0,2023.0,1213.0,,0.0,4.0,0.0,2.0,0.0,0.0,0.0,14.0,1.0,4.0,0.0
41,28,HomeGoods,FL,30.51274856,-84.24940791,335144,"30.51274856,-84.24940791",0,13,18,0,,969.5568871931482,935.2172904229035,,,1207.5,1117.3076923076924,,0.0,7.0,0.0,1.0,0.0,0.0,0.0,29.0,1.0,1.0,0.0
42,29,HomeGoods,FL,28.22413088,-81.64240978,329864,"28.22413088,-81.64240978",2,6,7,3,1166.0185975609756,1041.8331560140311,965.1130674846626,,1896.5,1735.1666666666667,1652.0,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,9.0,1.0,6.0,2.0
43,30,HomeGoods,FL,26.48350393,-81.78857966,324403,"26.48350393,-81.78857966",2,9,6,0,1043.3961538461538,1052.788747212423,1216.96,,1857.5,2121.375,2360.5,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,3.0,0.0
44,31,HomeGoods,FL,28.66604187,-81.42310081,318395,"28.66604187,-81.42310081",11,29,19,0,1118.652946062766,929.0570957594292,876.559711392621,,1758.3636363636363,1617.3076923076924,1363.6666666666667,,0.0,6.0,0.0,0.0,0.0,0.0,1.0,50.0,1.0,7.0,1.0
45,32,HomeGoods,FL,27.84483595,-82.79276146,315668,"27.84483595,-82.79276146",0,5,8,4,,862.3213899966719,852.5997586332601,822.4870857699806,,1795.2,1448.0,1344.5,0.0,4.0,0.0,1.0,0.0,0.0,2.0,15.0,0.0,1.0,1.0
