Rank,Name,StoreID,Total_Visits,Lat,Long,Place_ID,City,County,State,zipcode,GEOID,TRACT,StateID,CountyID,TractPopulation,TractMedianIncome
10,T.J. Maxx,235,625093,28.01355971,-82.73333397,,,,,,12103026812,26812,12,103,5044,69500
11,T.J. Maxx,424,596128,25.74593131,-80.33410972,,,,,,12086007709,7709,12,86,3515,116739
12,T.J. Maxx,710,592478,26.31583737,-80.15573678,,,,,,12011010402,10402,12,11,3470,55679
13,T.J. Maxx,593,584261,25.86853738,-80.29271011,,,,,,12086000718,718,12,86,4613,39233
14,T.J. Maxx,582,528605,27.84696052,-82.64561699,,,,,,12103024410,24410,12,103,3762,68750
15,T.J. Maxx,1129,505569,30.60089884,-87.12569893,,,,,,12113010704,10704,12,113,7023,77396
16,T.J. Maxx,47,502766,30.42708329,-86.64275731,,,,,,12091021902,21902,12,91,6690,71620
17,T.J. Maxx,1305,501134,28.09361164,-81.97052271,,,,,,12105012209,12209,12,105,6491,64021
18,T.J. Maxx,564,488801,30.18750453,-85.66889004,,,,,,12005001502,1502,12,5,6034,82757
19,T.J. Maxx,1531,487096,25.48055461,-80.44006876,,,,,,12086011003,11003,12,86,4986,42021
20,T.J. Maxx,645,486906,29.1655025,-82.17087219,,,,,,12083001600,1600,12,83,3868,41173
21,T.J. Maxx,641,483380,27.94218865,-82.32392391,,,,,,12057012212,12212,12,57,3426,46515
22,T.J. Maxx,84,474058,26.20787927,-81.76659535,,,,,,12021010432,10432,12,21,3535,119375
23,T.J. Maxx,1387,471527,26.72314373,-80.09031477,,,,,,12099001802,1802,12,99,3550,69118
24,T.J. Maxx,272,468333,30.31812252,-81.49467181,,,,,,12031014344,14344,12,31,4486,108654
25,T.J. Maxx,33,462091,26.54322828,-81.87297893,,,,,,12071001709,1709,12,71,2250,85833
26,T.J. Maxx,1410,452901,28.00274354,-81.71699889,,,,,,12105014005,14005,12,105,3620,82028
27,T.J. Maxx,259,447977,27.83769786,-82.78558611,,,,,,12103025107,25107,12,103,4054,89398
28,T.J. Maxx,1167,440521,28.34259836,-81.43024952,,,,,,12097042100,42100,12,97,10946,44026
29,T.J. Maxx,1037,437395,25.94449895,-80.16804489,,,,,,12086000222,222,12,86,4041,34641
30,T.J. Maxx,199,436561,28.35488355,-80.69962881,,,,,,12009071602,71602,12,9,2230,68777
