Rank,Name,State,Lat,Long,Total_Visits,client_coords,num_malls,tot_stores
20,Marshalls,TN,36.03737298,-83.8873844,241529,"36.03737298,-83.8873844",1,14.0
21,Marshalls,TN,36.32191681,-86.6014702,199711,"36.32191681,-86.6014702",2,41.0
1,Marshalls,FL,26.6834479,-80.22362638,819819,"26.6834479,-80.22362638",5,89.0
2,Marshalls,FL,29.11130473,-81.03616413,754601,"29.11130473,-81.03616413",1,45.0
3,Marshalls,FL,27.63733172,-80.44914495,702859,"27.63733172,-80.44914495",1,15.0
4,Marshalls,FL,28.52103765,-81.58389624,650072,"28.52103765,-81.58389624",1,92.0
5,Marshalls,FL,25.86463408,-80.31606456,622791,"25.86463408,-80.31606456",2,146.0
6,Marshalls,FL,29.86862798,-81.32534911,599968,"29.86862798,-81.32534911",2,54.0
7,Marshalls,FL,25.74786693,-80.38838071,562742,"25.74786693,-80.38838071",2,73.0
8,Marshalls,FL,28.34226274,-81.41032988,559928,"28.34226274,-81.41032988",4,138.0
9,Marshalls,FL,27.99839165,-81.96058114,559641,"27.99839165,-81.96058114",3,107.0
10,Marshalls,FL,28.20242974,-82.66406799,555623,"28.20242974,-82.66406799",2,42.0
11,Marshalls,FL,28.02853219,-82.50300763,552525,"28.02853219,-82.50300763",5,92.0
12,Marshalls,FL,26.14945018,-80.32563391,548214,"26.14945018,-80.32563391",2,22.0
13,Marshalls,FL,30.27075293,-81.39014639,541376,"30.27075293,-81.39014639",1,36.0
14,Marshalls,FL,29.62730729,-82.38218874,527287,"29.62730729,-82.38218874",1,115.0
15,Marshalls,FL,28.53635626,-82.50622751,502202,"28.53635626,-82.50622751",2,44.0
16,Marshalls,FL,25.6861927,-80.42254009,483807,"25.6861927,-80.42254009",6,254.0
17,Marshalls,FL,27.94261139,-82.32225189,482310,"27.94261139,-82.32225189",7,169.0
18,Marshalls,FL,25.93155015,-80.12302813,481957,"25.93155015,-80.12302813",7,180.0
19,Marshalls,FL,28.60393079,-81.36809838,473033,"28.60393079,-81.36809838",3,100.0
