Rank,Name,State,Lat,Long,Total_Visits,client_coords,num_malls,tot_stores
57,Marshalls,FL,26.44065508,-80.07277198,332075,"26.44065508,-80.07277198",2,28.0
58,Marshalls,FL,27.90785906,-82.50472481,331600,"27.90785906,-82.50472481",1,40.0
59,Marshalls,FL,27.98832505,-82.1249478,330807,"27.98832505,-82.1249478",1,32.0
60,Marshalls,FL,25.98142858,-80.35797757,323604,"25.98142858,-80.35797757",2,96.0
61,Marshalls,FL,28.79847527,-81.3341345,320817,"28.79847527,-81.3341345",3,94.0
62,Marshalls,FL,27.96626249,-82.72824974,315075,"27.96626249,-82.72824974",3,72.0
63,Marshalls,FL,26.01274602,-80.25153526,309341,"26.01274602,-80.25153526",7,195.0
64,Marshalls,FL,27.46365197,-82.63403533,305582,"27.46365197,-82.63403533",2,38.0
65,Marshalls,FL,26.6160286,-80.14417633,302981,"26.6160286,-80.14417633",3,82.0
66,Marshalls,FL,28.66364034,-81.38252103,287427,"28.66364034,-81.38252103",3,45.0
67,Marshalls,FL,28.26592456,-81.3308053,285714,"28.26592456,-81.3308053",0,0.0
68,Marshalls,FL,25.8314203,-80.25975734,283748,"25.8314203,-80.25975734",1,17.0
69,Marshalls,FL,27.83623061,-82.68780706,279016,"27.83623061,-82.68780706",2,66.0
70,Marshalls,FL,30.48203772,-87.20826445,277451,"30.48203772,-87.20826445",4,80.0
71,Marshalls,FL,30.31105405,-81.73429752,268583,"30.31105405,-81.73429752",2,43.0
72,Marshalls,FL,28.19081911,-82.45722617,268041,"28.19081911,-82.45722617",2,39.0
73,Marshalls,FL,26.23680797,-80.20107708,266804,"26.23680797,-80.20107708",3,91.0
74,Marshalls,FL,29.26168687,-81.02659535,264460,"29.26168687,-81.02659535",3,76.0
75,Marshalls,FL,26.06015291,-81.69784683,242889,"26.06015291,-81.69784683",1,15.0
76,Marshalls,FL,28.33256231,-81.47381297,242170,"28.33256231,-81.47381297",3,110.0
77,Marshalls,FL,28.54893327,-81.34961019,236513,"28.54893327,-81.34961019",6,128.0
78,Marshalls,FL,28.55435066,-81.47929418,235265,"28.55435066,-81.47929418",6,129.0
79,Marshalls,FL,25.93840204,-80.2473497,233046,"25.93840204,-80.2473497",0,0.0
80,Marshalls,FL,26.18834769,-80.20689326,223103,"26.18834769,-80.20689326",6,117.0
81,Marshalls,FL,30.14840093,-81.75340135,211309,"30.14840093,-81.75340135",0,0.0
82,Marshalls,FL,27.78893025,-82.73017403,201749,"27.78893025,-82.73017403",2,36.0
83,Marshalls,FL,26.11916123,-80.17708116,188704,"26.11916123,-80.17708116",1,79.0
84,Marshalls,FL,25.77398514,-80.32171357,175715,"25.77398514,-80.32171357",2,107.0
85,Marshalls,FL,28.65364973,-81.20987675,150855,"28.65364973,-81.20987675",2,40.0
86,Marshalls,FL,27.07493951,-82.42337358,127309,"27.07493951,-82.42337358",1,17.0
87,Marshalls,FL,27.89163011,-82.78264183,114594,"27.89163011,-82.78264183",1,68.0
1,Marshalls,AL,34.67480735,-86.5457253,579489,"34.67480735,-86.5457253",3,56.0
2,Marshalls,AL,30.37788523,-87.68632428,560818,"30.37788523,-87.68632428",0,0.0
3,Marshalls,AL,32.3596849,-86.15858661,459410,"32.3596849,-86.15858661",7,187.0
4,Marshalls,AL,30.67761061,-88.12260762,418587,"30.67761061,-88.12260762",4,152.0
5,Marshalls,AL,33.36105771,-86.85386633,395458,"33.36105771,-86.85386633",2,45.0
6,Marshalls,AL,33.63910488,-86.62771501,330430,"33.63910488,-86.62771501",4,96.0
7,Marshalls,AL,34.75430438,-86.74775761,266024,"34.75430438,-86.74775761",1,27.0
