Ranked Venues - T.J. Maxx / Florida - Total - Sep 01, 2021 - Aug 31,2022,,,
,,,,,
Rank,Name,Store ID,Total Visits,lat,lng
49,"T.J. Maxx / 1115 Cornerstone Blvd S, Daytona Beach, FL, United States",26,394250,29.21491333,-81.09462894
50,"T.J. Maxx / 40968 US 19 North, Tarpon Springs, FL, United States",1029,393258,28.14520774,-82.74282158
51,"T.J. Maxx / 8903 Glades Rd, Boca Raton, FL, United States",391,388285,26.36939616,-80.18476253
52,"T.J. Maxx / 463899 State Road 200, Yulee, FL, United States",1270,384661,30.62725796,-81.54318296
53,"T.J. Maxx / 18059 Tamiami Trl, North Port, FL, United States",1313,372532,27.03686694,-82.21180891
54,"T.J. Maxx / US-301, Ellenton, FL, United States",1297,361127,27.53392359,-82.5001003
55,"T.J. Maxx / 3809 NE 163rd St, North Miami Beach, FL, United States",377,358812,25.93157044,-80.13307806
56,"T.J. Maxx / 7250 NW 104th Ave, Miami, FL, United States",1443,358548,25.84220634,-80.36722567
57,"T.J. Maxx / 10001 W Flagler St, Miami, FL, United States",1380,357749,25.77152352,-80.3586794
58,"T.J. Maxx / 2314 Remi Dr, Melbourne, FL, United States",417,350150,28.23810502,-80.72728213
59,"T.J. Maxx / 5295 International Dr, Ste 500, Orlando, FL, United States",155,345585,28.46601142,-81.45315319
60,"T.J. Maxx / 1200 N University Dr, Coral Springs, FL, United States",322,344990,26.24607539,-80.25473906
61,"T.J. Maxx / 1502 Del Prado Blvd S, Cape Coral, FL, United States",197,342542,26.62472624,-81.94223871
62,"T.J. Maxx / 2105 66th St N, St. Petersburg, FL, United States",745,339013,27.78777098,-82.72691369
63,"T.J. Maxx / 8765 SW 136th St, Miami, FL, United States",291,337427,25.64533932,-80.33584156
64,"T.J. Maxx / 6001 Argyle Forest Blvd, Jacksonville, FL, United States",598,335570,30.19218922,-81.74298135
65,"T.J. Maxx / 7555 Hillsborough Ave, Tampa, FL, United States",289,335513,27.99824863,-82.56452435
66,"T.J. Maxx / Steve's Road, Florida, United States",1132,335203,28.53867377,-81.73534444
67,"T.J. Maxx / 75 E Indiantown Rd, Jupiter, FL, United States",841,333353,26.93601626,-80.09159423
68,"T.J. Maxx / 1301 Missouri Ave N, Largo, FL, United States",1332,333314,27.93010714,-82.7891115
69,"T.J. Maxx / 388 N Congress Ave, Boynton Beach, FL, United States",392,330921,26.53119923,-80.08904205
70,"T.J. Maxx / 5260 E Highway 100, Palm Coast, FL, United States",1105,330474,29.47775566,-81.2153126
71,"T.J. Maxx / NW 3rd Street, Florida, United States",1438,320118,26.00974618,-80.35720031
72,"T.J. Maxx / 405 21st St, Vero Beach, FL, United States",138,318362,27.6385425,-80.38230785
73,"T.J. Maxx / 16920 US Highway 441, Mount Dora, FL, United States",1408,317349,28.81919966,-81.67658074
74,"T.J. Maxx / 2430 Pga Blvd, Palm Beach Gardens, FL, United States",70,309767,26.8431894,-80.07067753
75,"T.J. Maxx / 620 US-441, The Villages, FL, United States",1025,308812,28.93295269,-81.93829386
76,"T.J. Maxx / 1626 S Federal Hwy, Delray Beach, FL, United States",1364,302075,26.44302204,-80.07223489
77,"T.J. Maxx / 1455 Semoran Blvd, Casselberry, FL, United States",283,299426,28.6278281,-81.31945704
78,"T.J. Maxx / 5107 US Highway 19, New Port Richey, FL, United States",1486,296551,28.23348648,-82.73085927
79,"T.J. Maxx / 80 W Grant St, Orlando, FL, United States",1123,280372,28.51589552,-81.37907899
80,"T.J. Maxx / 3215  Vineland Rd, Kissimmee, FL, United States",1506,276207,28.34613124,-81.482625
81,"T.J. Maxx / 7326 Gall Blvd, Zephyrhills, FL, United States",1194,271995,28.26414526,-82.18649301
82,"T.J. Maxx / 380 N State Road 434, Altamonte Springs, FL, United States",1530,264589,28.65683065,-81.42086953
83,"T.J. Maxx / 11926 Narcoossee Rd, Orlando, FL, United States",1499,264054,28.39139541,-81.24781724
84,"T.J. Maxx / 9370 Ben C Pratt, Fort Myers, FL, United States",1535,239397,26.60843087,-81.81345361
85,"T.J. Maxx / 3550 University Blvd W, Jacksonville, FL, United States",1373,182806,30.26072448,-81.6244509
86,"T.J. Maxx / 1920  Cordova Rd, Fort Lauderdale, FL, United States",1340,179403,26.09717542,-80.12949882
87,"T.J. Maxx / 6100 14th St W, Bradenton, FL, United States",791,134530,27.43332377,-82.57887006
88,"T.J. Maxx / North Miami, FL, United States",1377,112783,25.88796775,-80.16249003
