PROPERTY_ID,MARKETID,MARKET_NAME,SUBMARKET_CODE,SUBMARKET_NAME,COUNTY_NAME,PROPERTY_NAME,PROPERTY_PRIORNAMES,PROPERTY_ADDRESS,PROPERTY_CITY,PROPERTY_STATE,PROPERTY_ZIPCODE,PROPERTY_LATITUDE,PROPERTY_LONGITUDE,PROPERTY_PHONE,PROPERTY_UNITS,PROPERTY_SQFT,PROPERTY_ACRES,PROPERTY_IMPRATING,PROPERTY_LOCRATING,PROPERTY_STATUS,PROPERTY_DATE_PLANNED,PROPERTY_DATE_UNDERCONSTRUCTION,PROPERTY_DATE_RENTUP,PROPERTY_DATECOMPLETED,PROPERTY_MIXEDUSE,PROPERTY_MIXEDUSE_NOTES,PROPERTY_STUDENTHOUSING,PROPERTY_AFFORDABLEHOUSING,PROPERTY_MILITARYHOUSING,PROPERTY_AGERESTRICTED,PROPERTY_FRACTUREDCONDO,PROPERTY_ADAPTIVEREUSE,PROPERTY_SINGLEFAMILYRENTAL,PROPERTY_CURRENT_OCCUPANCY,PROPERTY_CURRENT_RENT,PROPERTY_MATRIX_URL
143_1303803,143,Huntsville,1,Huntsville - Downtown,Madison,Searcy Homes,,426 Dallas Avenue,Huntsville,AL,35801,34.7315762,-86.5931517,2565352263,78,77930,15.81,C,C+,Completed,,,,1/1/71 0:00,FALSE,,N,A,N,N,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=143&PropertyID=1303803
143_1315,143,Huntsville,3,Huntsville - West Central,Madison,Westgate,,2211 Pizitz Drive SW,Huntsville,AL,35805,34.710163,-86.59345,2565391911,88,74500,4.26,C,C,Completed,,,,1/1/58 0:00,FALSE,,N,A,N,N,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=143&PropertyID=1315
143_1316,143,Huntsville,13,Athens,Limestone,Windscape,,2220 Windscape Drive,Athens,AL,35611,34.783502,-86.979869,2562300004,84,89040,10.58,B-,C+,Completed,,,,1/1/03 0:00,FALSE,,N,A,N,N,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=143&PropertyID=1316
143_1318196,143,Huntsville,7,Huntsville - Southwest,Madison,Springs Madison,,Disk Drive & Intergraph Way,Madison,AL,35758,34.673188,-86.74,,88,0,,,B,Prospective,,,,,,,,,,,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=143&PropertyID=1318196
143_1354,143,Huntsville,3,Huntsville - West Central,Madison,Brookside,,214 Seminole Drive SW,Huntsville,AL,35805,34.718125,-86.595896,2565352254,72,52275,10.47,C,C,Completed,,,,1/1/61 0:00,FALSE,,N,A,N,N,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=143&PropertyID=1354
143_1362,143,Huntsville,5,Huntsville - South,Madison,Flint River,,388 Wade Road,Owens Cross Roads,AL,35763,34.650765,-86.480121,2564174272,72,85025,6,B,B,Completed,,5/1/15 0:00,9/1/16 0:00,10/15/16 0:00,FALSE,,N,A,N,N,,FALSE,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=143&PropertyID=1362
143_1373,143,Huntsville,6,Huntsville - Northwest,Madison,Stoneridge Villas,,1700 Balch Road,Madison,AL,35757,34.767676,-86.769136,2563264880,80,90800,11,B,B-,Completed,,8/1/18 0:00,11/1/18 0:00,6/30/19 0:00,FALSE,,N,A,N,A,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=143&PropertyID=1373
143_161,143,Huntsville,13,Athens,Limestone,Tanglewood,,800 Tanglewood Drive,Athens,AL,35611,34.783007,-86.951381,2562331900,88,82480,6.5,C+,B,Completed,,,,1/1/80 0:00,FALSE,,N,N,N,N,,,,98.9,817,matrix.pi-ei.com/PropertyDetail/All?MarketID=143&PropertyID=161
143_162,143,Huntsville,13,Athens,Limestone,Woodridge,,1200 Woodridge Drive,Athens,AL,35611,34.814135,-86.9984319,2562332173,72,73408,7.7,C+,C+,Completed,,,,1/1/80 0:00,FALSE,,N,A,N,N,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=143&PropertyID=162
143_173,143,Huntsville,11,Decatur,Morgan,Avalon Cove,"Morgan Manor Townhomes, Vieux Carre",3526 Highway 31 South,Decatur,AL,35603,34.5403709,-86.9726618,2563030280,82,102690,8.18,C+,C+,Completed,,,,1/1/73 0:00,FALSE,,N,N,N,N,,,,98.8,858,matrix.pi-ei.com/PropertyDetail/All?MarketID=143&PropertyID=173
143_177,143,Huntsville,11,Decatur,Morgan,Courtney Square,,305 Courtney Drive SW,Decatur,AL,35603,34.5547474,-86.9854779,2563401759,96,116400,6.4,B,B-,Completed,,,,1/1/90 0:00,FALSE,,N,N,N,N,,,,95.8,848,matrix.pi-ei.com/PropertyDetail/All?MarketID=143&PropertyID=177
143_184,143,Huntsville,11,Decatur,Morgan,H Riley Summer Manor,,300 Wilson Street NE,Decatur,AL,35601,34.611944,-86.979281,2563534691,75,42000,2.1,C-,C+,Completed,,,,1/1/66 0:00,FALSE,,N,A,N,A,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=143&PropertyID=184
143_195,143,Huntsville,7,Huntsville - Southwest,Madison,Madison Pines,Hunter's Chase,340 Gillespie Road,Madison,AL,35758,34.727315,-86.75237,2564300478,91,113267,12.13,B,B,Completed,,,,1/1/90 0:00,FALSE,,N,N,N,N,,,,100,1349,matrix.pi-ei.com/PropertyDetail/All?MarketID=143&PropertyID=195
143_208,143,Huntsville,6,Huntsville - Northwest,Madison,Willow Run Towers,Willow Run Adventist Apartments,1915 Rideout Drive NW,Huntsville,AL,35806,34.7524552,-86.6705204,2568301046,76,41040,4.18,C,C+,Completed,,,,1/1/95 0:00,FALSE,,N,A,N,A,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=143&PropertyID=208
143_211,143,Huntsville,1,Huntsville - Downtown,Madison,Belk Hudson Lofts,,110 Washington Street NE,Huntsville,AL,35801,34.7325106,-86.5858145,2565335550,75,75469,0.6,A,B,Completed,,,,1/1/12 0:00,FALSE,,N,N,N,N,,TRUE,,100,1589,matrix.pi-ei.com/PropertyDetail/All?MarketID=143&PropertyID=211
143_216,143,Huntsville,1,Huntsville - Downtown,Madison,Gateway Place,,715 Gallatin Street SW,Huntsville,AL,35801,34.722806,-86.582215,2565354499,86,63855,4,B-,B-,Completed,,,,1/1/11 0:00,FALSE,,N,A,N,A,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=143&PropertyID=216
143_224,143,Huntsville,9,Marshall County,Marshall,Quail Ridge/Hunter's Landing,,110 8th Street NW,Arab,AL,35016,34.31645,-86.508012,2565864183,74,73400,7.4,C+,C,Completed,,,,1/1/81 0:00,FALSE,,N,A,N,N,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=143&PropertyID=224
143_237,143,Huntsville,10,Hartselle,Morgan,Quail Run,,1000 Mitwede Street SW,Hartselle,AL,35640,34.4314269,-86.9508145,2567731712,96,85800,10,C,C+,Completed,,,,1/1/79 0:00,FALSE,,N,A,N,N,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=143&PropertyID=237
143_241,143,Huntsville,3,Huntsville - West Central,Madison,Valley Bend,,3800 Squaw Valley Drive SW,Huntsville,AL,35805,34.684367,-86.621645,2565341111,96,99720,8.01,B-,C+,Completed,,,,1/1/74 0:00,FALSE,,N,N,N,N,,,,97.9,902,matrix.pi-ei.com/PropertyDetail/All?MarketID=143&PropertyID=241
143_256,143,Huntsville,6,Huntsville - Northwest,Madison,Westlake,,1901 Sparkman Drive NW,Huntsville,AL,35816,34.755391,-86.642016,2568378502,72,81425,6,C+,C+,Completed,,,,1/1/80 0:00,FALSE,,N,A,N,N,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=143&PropertyID=256
143_259,143,Huntsville,4,Huntsville - North,Madison,First Seventh - Day Adventist,,3409 Venona Avenue NW,Huntsville,AL,35810,34.7680699,-86.5957381,2568525402,76,41040,3.99,C,C,Completed,,,,1/1/87 0:00,FALSE,,N,A,N,A,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=143&PropertyID=259
143_263,143,Huntsville,9,Marshall County,Marshall,Suntrace,,928 West Main Street,Albertville,AL,35950,34.272059,-86.227196,2568780423,80,78424,9.6,B-,C+,Completed,,,,1/1/75 0:00,FALSE,,N,N,N,N,,,,98.8,480,matrix.pi-ei.com/PropertyDetail/All?MarketID=143&PropertyID=263
143_267,143,Huntsville,5,Huntsville - South,Madison,Glenview,,2500 Redstone Road SW,Huntsville,AL,35803,34.618146,-86.574853,2568802513,90,58875,5.01,C+,B-,Completed,,,,1/1/86 0:00,FALSE,,N,N,N,N,,,,96.7,653,matrix.pi-ei.com/PropertyDetail/All?MarketID=143&PropertyID=267
143_281,143,Huntsville,6,Huntsville - Northwest,Madison,Huntsville Place,,4955 Century Street NW,Huntsville,AL,35816,34.741818,-86.65112,2567215995,84,105000,6.51,B+,B-,Completed,,,,1/1/08 0:00,FALSE,,A,N,N,N,,,,,2060,matrix.pi-ei.com/PropertyDetail/All?MarketID=143&PropertyID=281
143_290,143,Huntsville,9,Marshall County,Marshall,Pine Ridge Colony,,640 Greenview Street,Albertville,AL,35950,34.256837,-86.192836,2565059164,72,58080,3.51,C+,C+,Completed,,,,1/1/86 0:00,FALSE,,N,N,N,N,,,,100,633,matrix.pi-ei.com/PropertyDetail/All?MarketID=143&PropertyID=290
143_291,143,Huntsville,2,Huntsville - East Central,Madison,Fagan Springs,,2515 Toll Gate Road SE,Huntsville,AL,35801,34.741008,-86.554388,2565398092,90,86700,5.36,C+,B+,Completed,,,,1/1/63 0:00,FALSE,,N,N,N,N,,,,100,800,matrix.pi-ei.com/PropertyDetail/All?MarketID=143&PropertyID=291
143_292,143,Huntsville,13,Athens,Limestone,Oakview,,1111 Juniper Circle,Athens,AL,35611,34.814934,-86.948248,2562306999,84,80350,7.65,B-,C+,Completed,,,,1/1/10 0:00,FALSE,,N,A,N,N,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=143&PropertyID=292
143_293,143,Huntsville,4,Huntsville - North,Madison,Stonehurst,,2040 Blue Spring Road NW,Huntsville,AL,35810,34.752038,-86.602266,2568512280,80,74540,8.8,B,C,Completed,,,,1/1/07 0:00,FALSE,,N,A,N,N,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=143&PropertyID=293
143_295,143,Huntsville,11,Decatur,Morgan,Summer Lodge,,2506 Spring Avenue SW,Decatur,AL,35601,34.5636481,-86.9989712,2565527573,96,79040,6.96,C+,C+,Completed,,,,1/1/77 0:00,FALSE,,N,N,N,N,,,,100,760,matrix.pi-ei.com/PropertyDetail/All?MarketID=143&PropertyID=295
143_296,143,Huntsville,13,Athens,Limestone,Montclair,,17984 Arrowhead Circle,Athens,AL,35611,34.817679,-86.995863,2562169091,72,69426,32.86,B,C+,Completed,,,,1/1/05 0:00,FALSE,,N,A,N,A,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=143&PropertyID=296
143_306,143,Huntsville,11,Decatur,Morgan,Parkway Place,Alta Vista Manor,2115 Central Pkwy SW,Decatur,AL,35601,34.572453,-86.985474,2563554004,98,79532,11.6,C,C+,Completed,,,,1/1/74 0:00,FALSE,,N,A,N,N,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=143&PropertyID=306
143_322,143,Huntsville,5,Huntsville - South,Morgan,Pine Tree Village,,11575 Memorial Pkwy South,Huntsville,AL,35803,34.61917,-86.565351,2568815046,88,85804,4.92,B-,B,Completed,,,,1/1/84 0:00,FALSE,,N,N,N,N,,,,97.7,1025,matrix.pi-ei.com/PropertyDetail/All?MarketID=143&PropertyID=322
143_332,143,Huntsville,9,Marshall County,Marshall,Ashbrook,,67 Ashbrook Lane,Albertville,AL,35951,34.277313,-86.195633,2568915113,72,78920,6.22,B-,C+,Completed,,,,1/1/07 0:00,FALSE,,N,A,N,N,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=143&PropertyID=332
143_336,143,Huntsville,10,Hartselle,Morgan,Cambridge,,1614 Barkley Bridge Road SW,Hartselle,AL,35640,34.428422,-86.9424839,2567516533,90,87210,9.3,B-,C+,Completed,,,,1/1/00 0:00,FALSE,,N,N,N,N,,,,98.9,652,matrix.pi-ei.com/PropertyDetail/All?MarketID=143&PropertyID=336
143_339,143,Huntsville,3,Huntsville - West Central,Madison,Park Point,Lynnwood Garden,4405 Judith Lane SW,Huntsville,AL,35805,34.714713,-86.630205,2568373308,88,86680,6.52,B-,C+,Completed,,,,1/1/65 0:00,FALSE,,N,N,N,N,,,,95.5,724,matrix.pi-ei.com/PropertyDetail/All?MarketID=143&PropertyID=339
143_349,143,Huntsville,5,Huntsville - South,Madison,Chaney Place,,1060 SE Chaney Place Drive,Huntsville,AL,35803,34.608775,-86.550988,2567150513,80,116320,9.5,B+,B,Completed,,,,1/1/14 0:00,FALSE,,N,N,N,N,,,,98.8,1651,matrix.pi-ei.com/PropertyDetail/All?MarketID=143&PropertyID=349
143_917044,143,Huntsville,5,Huntsville - South,Madison,"Summit at Hobbs, The",,12225 Bell Road SW,Huntsville,AL,35803,34.612653,-86.575327,,80,0,,,B-,Prospective,,,,,,,,A,,A,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=143&PropertyID=917044
159_1297136,159,Lafayette - Lake Charles,1,Lafayette - North,Lafayette Parish,Arbours at Lafayette,,1012 Alcide Dominique Drive,Lafayette,LA,70506,30.248794,-92.040131,,84,0,,,C,Under Construction,,5/1/21 0:00,,3/31/22 0:00,,,,,,,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=159&PropertyID=1297136
159_1340001,159,Lafayette - Lake Charles,16,Lake Charles,Calcasieu Parish,"Villas of Lake Charles Redevelopment, The",,5100 Weaver Road,Lake Charles,LA,70605,30.164693,-93.259322,3374770380,78,88656,11.67,,C+,Under Construction,,10/15/20 0:00,9/28/21 0:00,12/31/21 0:00,FALSE,,N,A,N,A,,,TRUE,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=159&PropertyID=1340001
