"","Brand","Store.Number","Street.Address","City","State.Province","Postcode","Longitude","Latitude"
"83","Starbucks","72549-101114","9501 S. Northshore Dr., West Town Knoxville","Knoxville","TN","379225814",-84.07,35.86
"84","Starbucks","17209-170647","9225 Kingston Rd.","Knoxville","TN","379223660",-84.09,35.91
"85","Starbucks","8578-82640","329 N Cedar Bluff Blvd","Knoxville","TN","379234507",-84.09,35.92
"86","Starbucks","19156-196044","7600 Kingston Pike","Knoxville","TN","37919",-84.04,35.93
"87","Starbucks","76590-97611","4700 New Harvest Ln","Knoxville","TN","379187000",-83.89,36.04
"88","Starbucks","75119-60419","1017 Francis Street","Knoxville","TN","379163433",-83.93,35.95
"89","Starbucks","17546-166068","1900 Town Center Blvd","Knoxville","TN","37922",-84.1,35.87
"90","Starbucks","8536-65600","4924 Kingston Pike","Knoxville","TN","379195111",-83.99,35.94
"91","Starbucks","8590-85180","11038 Park Side Dr","Knoxville","TN","379341952",-84.15,35.9
"92","Starbucks","21676-194333","8040 Ray Mears Blvd","Knoxville West","TN","37919",-84.05,35.92
"93","Starbucks","26251-242645","9014 Highway 64, 102","Lakeland","TN","38002",-89.76,35.21
"94","Starbucks","21303-210544","9025 Hwy 64","Lakeland","TN","38002",-89.76,35.2
"95","Starbucks","22767-216485","604 S Cumberland St","Lebanon","TN","37087",-86.29,36.19
"96","Starbucks","47952-260464","404 Hwy 321 N","Lenoir City","TN","37771",-84.26,35.8
"97","Starbucks","23875-231824","870 Hwy 321 N, 1","Lenor City","TN","37771",-84.27,35.82
"98","Starbucks","8551-75322","1907 Gallatin Pike North","Madison","TN","371152027",-86.7,36.3
"99","Starbucks","10574-101089","84 Campground","Manchester","TN","373556541",-86.05,35.46
"100","Starbucks","26008-237282","730 Watkins Rd","Maryville","TN","37801",-83.99,35.75
"101","Starbucks","11820-106483","1011 W Lamar Alexander Pkwy","Maryville","TN","378014580",-83.99,35.75
"102","Starbucks","13547-107882","5679 Poplar Ave, 103","Memphis","TN","381193854",-89.87,35.1
"103","Starbucks","19344-194452","506 University St","Memphis","TN","38112",-89.99,35.15
"104","Starbucks","78038-115427","2491 Winchester Rd","Memphis","TN","381163851",-89.98,35.05
"105","Starbucks","8345-13178","3388 Poplar Avenue","Memphis","TN","381114644",-89.95,35.13
"106","Starbucks","5120-148331","601 Colonial Road","Memphis","TN","381175132",-89.9,35.11
"107","Starbucks","11770-104925","1615 Sycamore View","Memphis","TN","381347313",-89.87,35.17
"108","Starbucks","18200-182624","4545 Poplar Ave.","Memphis","TN","38117",-89.91,35.12
"109","Starbucks","8423-17394","6161 Poplar Avenue, Wolfchase Galleria","Memphis","TN","381194741",-89.86,35.1
"110","Starbucks","8297-5927","1850 Union Avenue","Memphis","TN","381044027",-90,35.14
"111","Starbucks","75252-95273","6019 Walnut Grove Rd","Memphis","TN","381202113",-89.86,35.13
"112","Starbucks","76352-97101","7989 US Hwy 64","Memphis","TN","381334007",-89.8,35.2
"113","Starbucks","48904-222786","1761 Union Ave, Centennial Crossing Shopping Center","Memphis","TN","38104",-90,35.14
"114","Starbucks","8450-14492","7945 Winchester Road, D","Memphis","TN","381252363",-89.8,35.05
"115","Starbucks","75805-96442","2491 Winchester Road","Memphis","TN","381163851",-89.98,35.05
"116","Starbucks","70357-138226","5959 Poplar Avenue","Memphis","TN","381193938",-89.86,35.1
"117","Starbucks","10054-69380","2801 Kirby Parkway","Memphis","TN","38119",-89.84,35.07
"118","Starbucks","75923-96829","201 S 3rd St","Memphis","TN","381034019",-90.05,35.14
"119","Starbucks","75802-97854","2491 Winchester Road","Memphis","TN","381163851",-89.98,35.05
"120","Starbucks","25391-230638","262 Danny Thomas Pl","Memphis","TN","38105",-90.04,35.15
"121","Starbucks","8360-10799","5201 Poplar Avenue","Memphis","TN","381177611",-89.89,35.11
"122","Starbucks","8352-5936","2698 N Germantown Pkwy, Wolfchase Galleria","Memphis","TN","381338115",-89.79,35.2
"123","Starbucks","13669-108417","2760 GERMANTOWN PKWY, 181","Memphis","TN","381338153",-89.79,35.2
"124","Starbucks","7954-95452","8507 Hwy 51","Millington","TN","380531535",-89.89,35.36
"125","Starbucks","19309-200485","3980 W. Andrew Johnson Hwy.","Morristown","TN","37814",-83.35,36.2
"126","Starbucks","76574-100203","401 S  Mount Juliet Rd, 600","Mount Juliet","TN","371226359",-86.51,36.17
"127","Starbucks","24573-237624","11309 Lebanon Rd","Mt Juliet","TN","37122",-86.52,36.23
"128","Starbucks","21373-211486","621 S Mt Juliet Rd, 101","Mt Juliet","TN","37122",-86.51,36.16
"129","Starbucks","22828-224024","1641 North Memorial","Murfreesboro","TN","37129",-86.39,35.87
"130","Starbucks","11821-105184","1804 Old Fort Parkway, The Avenues","Murfreesboro","TN","371293363",-86.42,35.85
"131","Starbucks","20178-188604","2615 Medical Center Parkway","Murfreesboro","TN","37129",-86.44,35.86
"132","Starbucks","13773-108477","2935 S Rutherford Blvd","Murfreesboro","TN","371305977",-86.35,35.83
"133","Starbucks","3572-86323","1611 Alumni Dr","Murfreesboro","TN","37132",-86.36,35.85
"134","Starbucks","10698-102250","2904 S Church Street, Unit A","Murfreesboro","TN","371278351",-86.4,35.79
"135","Starbucks","48897-135767","2449 Old Fort Pkwy","Murfreesboro","TN","37128",-86.44,35.84
"136","Starbucks","72579-101480","2050 Lascassas Pike","Murfreesboro","TN","371301936",-86.35,35.87
"137","Starbucks","47795-240787","Hwy 96 & Veterans Parkway","Murfreesboro","TN","37128",-86.49,35.84
"138","Starbucks","23685-232353","1851 Old Fort Pkwy","Murfreesboro","TN","37129",-86.42,35.85
"139","Starbucks","75459-105628","3901 Granny White Pike","Nashville","TN","372043903",-86.8,36.11
"140","Starbucks","76524-97607","26 White Bridge Rd","Nashville","TN","372051400",-86.85,36.13
"141","Starbucks","8300-5895","402 21st Avenue S, Mall at Green Hills","Nashville","TN","372032404",-86.8,36.15
