Ranked Venues - Burlington / Florida - Total - Sep 01, 2021 - Aug 31, 2022
Rank,Name,Store ID,Total Visits,lat,lng
57,"Burlington / 850 Ives Dairy Road, Miami, FL, United States",1195,233534,25.960191243170765,-80.18674757185208
58,"Burlington / Daryl Carter Parkway, Florida, United States",1086,228118,28.39220865908222,-81.48386905443974
59,"Burlington / 5280 East Bay Drive, Largo, FL, United States",1248,227029,27.918095688355155,-82.7319684517692
60,"Burlington / 675 Durbin Pavilion Dr Suite 105, Saint Johns, FL, United States",1146,226322,30.09625836676716,-81.51969788581987
61,"Burlington / 1645 NW 107th Avenue, Miami, FL, United States",1220,207784,25.78912633891846,-80.36812370013105
62,"Burlington / 25589 Sierra Center Blvd, Lutz, FL, United States",1123,204168,28.19601787579197,-82.39483428021185
63,"Burlington / 12803 Citrus Plaza Drive, Tampa, FL, United States",1289,202942,28.063774391698708,-82.57405908222084
64,"Burlington / 11655 W Hillsborough Ave, Tampa, FL, United States",1242,201426,28.016889851067987,-82.6139801884
65,"Burlington / 10008 Gulf Center Dr, Fort Myers, FL, United States",1214,195488,26.48349801114041,-81.78901979616363
66,"Burlington / 1719 Apalachee Pkwy, Tallahasse, FL, United States",326,195313,30.43153878651511,-84.251759807881
67,"Burlington / 12725 Tamiami Trail East, Suite 132, Naples, FL, United States",1257,185495,26.067251010848278,-81.69920291492248
68,"Burlington / 8372 S Tamiami Trl, Sarasota, FL, United States",1294,133496,27.229629309171514,-82.49616445076079
